战斗id	跨服16进8押注花费	跨服16进8押注奖励	跨服8进4押注花费	跨服8进4押注奖励	跨服4进2押注花费	跨服4进2押注奖励	跨服2进1押注花费	跨服2进1押注奖励	本服16进8押注花费	本服16进8押注奖励	本服8进4押注花费	本服8进4押注奖励	本服4进2押注花费	本服4进2押注奖励	本服2进1押注花费	本服2进1押注奖励
1	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
2	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
3	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
4	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
5	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
6	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
7	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
8	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
9	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
10	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
11	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000	11001:1001:1000	11001:1001:2000
