type	id	beginTime	actionName	itemId	lastTime
1	1	0.4	ruchang	1	0
1	2	0.1	ruchang	2	0
1	3	0.1	ruchang	3	0
1	4	0.1	ruchang	4	0
1	5	0.1	ruchang	5	0
1	6	1	zhandou	1	0
1	7	0	zhandou	2	0
1	8	0	zhandou	3	0
1	9	0	zhandou	4	0
1	10	0	zhandou	5	0
1	11	2	jiesuan	5	0
1	12	0.1	jiesuan	4	0
1	13	0.1	jiesuan	3	0
1	14	0.1	jiesuan	2	0
1	15	0.1	jiesuan	1	0
1	16	1.1	score	1	0
1	17	0.1	score	2	0
1	18	0.1	score	3	0
1	19	0.1	score	4	0
1	20	0.1	score	5	0
1	21	2	tuichang	1	0
1	22	0	tuichang	2	0
1	23	0	tuichang	3	0
1	24	0	tuichang	4	0
1	25	0	tuichang	5	0
2	1	0	dengdaishangchang01	1	2
2	2	1	dengdaishangchang02	1	1
2	3	1	dengdaishangchang03	1	1
3	1	0	zhandouzhong01	1	2
3	2	1	zhandouzhong02	1	1
3	3	1	zhandouzhong02	1	1
4	1	0	dengdaixiayilun01	1	2
4	2	1	dengdaixiayilun02	1	1
4	3	1	dengdaixiayilun03	1	1
5	1	0	guanzhanzhong01	1	2
5	2	1	guanzhanzhong02	1	1
5	3	1	guanzhanzhong03	1	1
6	1	0	1	1	10
