消耗类型	消耗ID	消耗数量	产出类型	产出ID	产出数量
62	1	1	61001	1513001	2000
62	2	1	61001	1513001	2000
62	3	1	61001	1513001	2000
62	4	1	61001	1513001	2000
62	5	1	61001	1513001	2000
62	6	1	61001	1513001	2000
62	7	1	61001	1513001	2000
62	8	1	61001	1513001	2000
62	9	1	61001	1513001	2000
62	10	1	61001	1513001	2000
62	11	1	61001	1513001	100
62	12	1	61001	1513001	100
62	13	1	61001	1513001	100
62	14	1	61001	1513001	100
62	15	1	61001	1513001	100
62	16	1	61001	1513001	100
62	17	1	61001	1513001	100
62	18	1	61001	1513001	100
62	19	1	61001	1513001	100
64	100001	1	61001	1513001	2000
64	100002	1	61001	1513001	2000
64	100003	1	61001	1513001	2000
64	100004	1	61001	1513001	2000
64	100005	1	61001	1513001	2000
64	100006	1	61001	1513001	2000
64	100007	1	61001	1513001	2000
64	100008	1	61001	1513001	2000
64	100009	1	61001	1513001	2000
64	100010	1	61001	1513001	2000
64	100011	1	61001	1513001	2000
64	100012	1	61001	1513001	2000
64	100013	1	61001	1513001	2000
64	100014	1	61001	1513001	2000
64	100015	1	61001	1513001	2000
64	100016	1	61001	1513001	2000
64	200001	1	61001	1513001	100
64	200002	1	61001	1513001	100
64	200003	1	61001	1513001	100
64	200004	1	61001	1513001	100
64	200005	1	61001	1513001	100
64	200006	1	61001	1513001	100
64	200007	1	61001	1513001	100
64	200008	1	61001	1513001	100
64	200009	1	61001	1513001	100
64	200010	1	61001	1513001	100
64	200011	1	61001	1513001	100
64	200012	1	61001	1513001	100
64	200013	1	61001	1513001	100
64	200014	1	61001	1513001	100
64	200015	1	61001	1513001	100
64	200016	1	61001	1513001	100
