id	名称	描述	购买价格	价格类型	操作类型	跳转界面	按钮文本	icon路径	海报路径	原价	所属分页	购买次数	包含道具	是否是宝石	是否在包裹中显示	购买结束时间	orderId	开启等级	是否含保底奖励	物品品质	批量开启
1101001	空白海盗旗	使用后可立即修改当前海贼团的名称。	1000	2	4	ChangeNamePage	使用	itemposter/poster_item_haidaoqi.png	itemposter/poster_item_haidaoqi.png	0	1	-1	none	0	4	0	1	0	0	2	0
1101002	音贝	空岛特产，可将话语传播给世界各地的人。	1000	2	3	none	none	itemposter/poster_item_yinbei.png	itemposter/poster_item_yinbei.png	0	1	-1	none	0	4	0	2	0	0	3	0
1101003	觉醒药剂	船员觉醒的必备药剂。	999999	2	0	none	none	itemposter/poster_item_UpgradeItem.png	itemposter/poster_item_UpgradeItem.png	0	0	-1	none	0	4	0	3	0	0	1	0
1101004	能量药剂	新世界的神奇药剂，觉醒时使用可返回更多的潜能药剂	99999	2	0	none	none	itemposter/poster_item_UCEnergyItem.png	itemposter/poster_item_UCEnergyItem.png	0	0	0	none	0	4	0	4	0	0	1	0
1101005	海贼船解锁道具	解锁新船舱的必要道具	99999	2	3	none	none	itemposter/poster_item_yinbei.png	itemposter/poster_item_yinbei.png	0	0	-1	none	0	4	0	5	0	0	1	0
1101006	船之精魄	用于开启和升级高级船舱的必备道具	99999	2	3	none	none	itemposter/poster_item_chuanzhijingpo.png	itemposter/poster_item_chuanzhijingpo.png	0	0	-1	none	0	4	0	6	0	0	1	0
1101007	船舱修理锤	当船长达到14级时，可以用来开启船舱中的船员位，船舱升级的必备道具。	99999	2	3	none	none	itemposter/poster_item_HullRenovationKey.png	itemposter/poster_item_HullRenovationKey.png	0	0	-1	none	0	4	0	7	0	0	1	0
1101008	进化药剂	船员进化的必备药剂。	999999	2	0	none	none	itemposter/poster_item_jinhuayaoji.png	itemposter/poster_item_jinhuayaoji.png	0	0	-1	none	0	4	0	8	0	0	1	0
1101009	超人系精华	凝聚了超强基因的精华，据说可使人100%的掌握自己的身体，从而完成肉体的升华	999999	2	0	none	none	itemposter/poster_item_chaorenxijinghua.png	itemposter/poster_item_chaorenxijinghua.png	0	0	-1	none	0	4	0	9	0	0	1	0
1101010	动物系精华	凝聚了所有动物基因的精华，可使吸收者拥有熊的力量，豹的速度，狼的眼睛！	999999	2	0	none	none	itemposter/poster_item_dongwuxijinghua.png	itemposter/poster_item_dongwuxijinghua.png	0	0	-1	none	0	4	0	10	0	0	1	0
1101011	自然系精华	凝聚了大自然气息的精华，吸收者可将自己与自然的领悟提升到更高的层次	999999	2	0	none	none	itemposter/poster_item_ziranxijinghua.png	itemposter/poster_item_ziranxijinghua.png	0	0	-1	none	0	4	0	11	0	0	1	0
1101012	剑客精华	凝聚了无上剑道的精华，参悟者据说可达到人剑合一的境界。	999999	2	0	none	none	itemposter/poster_item_jiankejinghua.png	itemposter/poster_item_jiankejinghua.png	0	0	-1	none	0	4	0	12	0	0	1	0
1101013	海洋精华	凝聚了散落于深海中的神秘能量，据说能够唤醒统御大海的力量。	999999	2	0	none	none	itemposter/poster_item_haiyangjinghua.png	itemposter/poster_item_haiyangjinghua.png	0	0	-1	none	0	4	0	13	0	0	1	0
1101014	体术精华	加入了极其细小的强化分子，可以使人在服用后毫不费力的成为体术大师。	999999	2	0	none	none	itemposter/poster_item_shentiqianghuajinghua.png	itemposter/poster_item_shentiqianghuajinghua.png	0	0	-1	none	0	4	0	14	0	0	1	0
1101015	重生药剂	船员重生的必备药剂。	999999	2	0	none	none	itemposter/poster_item_UCEnergyItem.png	itemposter/poster_item_UCEnergyItem.png	0	0	-1	none	0	4	0	15	0	0	1	0
1101016	奥义孔碎片	最终奥义孔散落的碎片，找到所有的碎片后可以拼合成一个完整的最终奥义孔。	999999	2	0	none	none	itemposter/poster_item_tiesuipian.png	itemposter/poster_item_tiesuipian.png	0	0	-1	none	0	4	0	16	0	0	2	0
1101017	粘合剂	粘合奥义孔碎片的必备神器。	999999	2	0	none	none	itemposter/poster_item_nianheji.png	itemposter/poster_item_nianheji.png	0	0	-1	none	0	4	0	17	0	0	1	0
1101018	魔力药剂	富含魔力的药剂，可以给最终奥义孔升级。	999999	2	0	none	none	itemposter/poster_item_moliyaoji.png	itemposter/poster_item_moliyaoji.png	0	0	-1	none	0	4	0	18	0	0	1	0
1101019	炼金石	古老的炼金术遗留的剩余材料，可用来升级船舱奥义位。	999999	2	0	none	none	itemposter/poster_item_lianjinshi.png	itemposter/poster_item_lianjinshi.png	0	0	-1	none	0	4	0	19	0	0	1	0
1501001	朗姆酒	使用后，自动给阵容中等级最低的船员增加2000点经验值，增加经验不受船长等级影响。	20	2	1	MessageBox.ccb	使用	itemposter/poster_item_langmujiu.png	itemposter/poster_item_langmujiu.png	0	0	0	none	0	4	0	20	0	0	4	2
1501002	葡萄酒	使用后，自动给阵容中的所有船员增加2000点经验值，增加经验不受船长等级影响。	20	2	1	MessageBox.ccb	使用	itemposter/poster_item_langmujiu.png	itemposter/poster_item_langmujiu.png	0	0	0	none	0	4	0	21	0	0	3	0
1501003	金牌朗姆酒	使用后，自动给阵容中等级最低的船员增加20000点经验值，增加经验不受船长等级影响。	20	2	1	MessageBox.ccb	使用	itemposter/poster_item_gaojilangmujiu.png	itemposter/poster_item_gaojilangmujiu.png	0	0	0	none	0	4	0	22	0	0	3	0
1502001	潜能药剂	培养船员，提升潜力时的必需物品。	999999	2	3	DisciplePage	培养	itemposter/poster_item_qiannengyaoji.png	itemposter/poster_item_qiannengyaoji.png	0	0	0	none	0	4	0	23	0	0	1	0
1503001	普通传承药剂	船员之间传承经验时所需丹药，可以使某个大于等于2级的船员的80%经验传递给另一人。	28	2	3	DisciplePage	传承	itemposter/poster_item_ptchuanchengyaoji.png	itemposter/poster_item_ptchuanchengyaoji.png	0	1	-1	none	0	4	0	24	0	0	3	0
1503002	高级传承药剂	船员之间传承经验时所需丹药，可以使某个大于等于2级的船员的100%经验传递给另一人。	198	2	3	DisciplePage	传承	itemposter/poster_item_gjchuanchengyaoji.png	itemposter/poster_item_gjchuanchengyaoji.png	0	1	-1	none	0	4	0	25	0	0	2	0
1504001	召唤卷轴(雷利)	召唤雷利所需的必备道具，活动到期后自动消失	999999	2	3	none	none	itemposter/poster_item_zhjuanzhou.png	itemposter/poster_item_zhjuanzhou.png	0	0	0	none	0	4	0	26	0	0	1	0
1504002	召唤卷轴	none	999999	2	3	none	none	itemposter/poster_item_zhjuanzhou.png	itemposter/poster_item_zhjuanzhou.png	0	0	0	none	0	4	0	27	0	0	1	0
1504003	召唤卷轴	none	999999	2	3	none	none	itemposter/poster_item_zhjuanzhou.png	itemposter/poster_item_zhjuanzhou.png	0	0	0	none	0	4	0	28	0	0	1	0
1504004	召唤卷轴	none	999999	2	3	none	none	itemposter/poster_item_zhjuanzhou.png	itemposter/poster_item_zhjuanzhou.png	0	0	0	none	0	4	0	29	0	0	1	0
1504005	召唤卷轴	none	999999	2	3	none	none	itemposter/poster_item_zhjuanzhou.png	itemposter/poster_item_zhjuanzhou.png	0	0	0	none	0	4	0	30	0	0	1	0
1505001	铜制招募令	用于进行百万悬赏招募	1000	2	3	MarketPage	招募	itemposter/poster_item_tongzhizhaomuling.png	itemposter/poster_item_tongzhizhaomuling.png	0	1	-1	none	0	4	0	31	0	0	3	0
1505002	银质招募令	用于进行千万悬赏招募	2000	2	3	MarketPage	招募	itemposter/poster_item_yinzhizhaomuling.png	itemposter/poster_item_yinzhizhaomuling.png	0	1	-1	none	0	4	0	32	0	0	2	0
1505003	金质招募令	用于进行亿万悬赏招募	3000	2	3	MarketPage	招募	itemposter/poster_item_jinzhizhaomuling.png	itemposter/poster_item_jinzhizhaomuling.png	0	1	-1	none	0	4	0	33	0	0	1	0
1506001	低级宠物经验药水	使用后，自动给阵容中等级最低的宠物增加3600点经验。	20	2	1	MessageBox.ccb	使用	itemposter/poster_item_dijiyaoshui.png	itemposter/poster_item_dijiyaoshui.png	0	0	0	none	0	4	0	34	0	0	4	2
1506002	高级宠物经验药水	使用后，自动给阵容中等级最低的宠物增加14400点经验。	100	2	1	MessageBox.ccb	使用	itemposter/poster_item_gaojiyaoshui.png	itemposter/poster_item_gaojiyaoshui.png	0	0	0	none	0	4	0	35	0	0	3	0
1507001	驯兽棒	用于提升宠物忠诚度的低级道具	20	2	0	none	none	itemposter/poster_item_xunshoubang.png	itemposter/poster_item_xunshoubang.png	0	0	0	none	0	4	0	36	0	0	3	0
1507002	驯兽书	用于提升宠物忠诚度的高级道具	100	2	0	none	none	itemposter/poster_item_xunshoushu.png	itemposter/poster_item_xunshoushu.png	0	0	0	none	0	4	0	37	0	0	3	0
1508001	低级宠物传承药剂	宠物之间传承经验时所需丹药，可以使某个大于等于2级的宠物的80%经验传递给另一宠物。	20	2	0	none	none	itemposter/poster_item_dijichuanchengyaoji.png	itemposter/poster_item_dijichuanchengyaoji.png	0	0	0	none	0	4	0	38	0	0	4	0
1508003	高级宠物传承药剂	宠物之间传承经验时所需丹药，可以使某个大于等于2级的宠物的100%经验传递给另一宠物。	1000	2	3	none	none	itemposter/poster_item_gaojichuanchengyaoshui.png	itemposter/poster_item_gaojichuanchengyaoshui.png	0	0	0	none	0	4	0	39	0	0	3	0
1509001	青铜材料	青铜质地的材料，可用来改造强化装备，每次初级改造消耗1个。	20	2	0	none	none	itemposter/poster_item_qingtongcailiao.png	itemposter/poster_item_qingtongcailiao.png	0	0	0	none	0	4	0	40	0	0	3	0
1509002	白银材料	白银质地的材料，可用来改造强化装备，每次中级改造消耗1个。	20	2	0	none	none	itemposter/poster_item_baiyincailiao.png	itemposter/poster_item_baiyincailiao.png	0	0	0	none	0	4	0	41	0	0	2	0
1509003	黄金材料	黄金质地的材料，可用来改造强化装备，每次高级改造消耗1个。	20	2	0	none	none	itemposter/poster_item_huangjincailiao.png	itemposter/poster_item_huangjincailiao.png	0	0	0	none	0	4	0	42	0	0	1	0
