ID	合成目标	合成所需	合成成功率（百分之）
5004001	51001:1:1	61001:5004001:1,61001:5003001:250,61001:5003002:150	100
5004002	51001:2:1	61001:5004002:1,61001:5003001:300,61001:5003002:100	100
5004003	51001:3:1	61001:5004003:1,61001:5003001:150,61001:5003002:100	100
5004004	51001:4:1	61001:5004004:1,61001:5003001:200,61001:5003002:100	100
5004005	51001:5:1	61001:5004005:1,61001:5003001:150,61001:5003002:100	100
5004006	51002:6:1	61001:5004006:1,61001:5003001:80,61001:5003002:80	100
5004007	51002:7:1	61001:5004007:1,61001:5003001:80,61001:5003002:80	100
5004008	51002:8:1	61001:5004008:1,61001:5003001:80,61001:5003002:80	100
5004009	51002:9:1	61001:5004009:1,61001:5003001:80,61001:5003002:80	100
5004010	51002:10:1	61001:5004010:1,61001:5003001:80,61001:5003002:80	100
5004011	51002:14:1	61001:5004011:1,61001:5003001:150,61001:5003002:150	100
5004012	51001:92:1	61001:5004012:1,61001:5003001:200,61001:5003002:200	100
5004013	51001:93:1	61001:5004013:1,61001:5003001:200,61001:5003002:200	100
5004014	51001:97:1	61001:5004014:1,61001:5003001:300,61001:5003002:300	100
5004015	51001:103:1	61001:5004015:1,61001:5003001:200,61001:5003002:200	100
5005001	52001:38:1	61001:5005001:1,61001:5003001:150,61001:5003002:100	100
5005002	52001:39:1	61001:5005002:1,61001:5003001:200,61001:5003002:100	100
5005003	52001:40:1	61001:5005003:1,61001:5003001:150,61001:5003002:100	100
5005004	52001:41:1	61001:5005004:1,61001:5003001:150,61001:5003002:100	100
5005005	52001:42:1	61001:5005005:1,61001:5003001:150,61001:5003002:100	100
5005006	52002:43:1	61001:5005006:1,61001:5003001:50,61001:5003002:50	100
5005007	52002:44:1	61001:5005007:1,61001:5003001:50,61001:5003002:50	100
5005008	52002:45:1	61001:5005008:1,61001:5003001:50,61001:5003002:50	100
5005009	52002:46:1	61001:5005009:1,61001:5003001:100,61001:5003002:100	100
5005010	52002:47:1	61001:5005010:1,61001:5003001:50,61001:5003002:50	100
5005011	52001:94:1	61001:5005011:1,61001:5003001:300,61001:5003002:200	100
5005012	52001:95:1	61001:5005012:1,61001:5003001:300,61001:5003002:200	100
5005013	52001:98:1	61001:5005013:1,61001:5003001:300,61001:5003002:200	100
5005014	52001:101:1	61001:5005014:1,61001:5003001:300,61001:5003002:200	100
5006001	53001:66:1	61001:5006001:1,61001:5003001:400,61001:5003002:100	100
5006002	53001:67:1	61001:5006002:1,61001:5003001:400,61001:5003002:100	100
5006003	53001:68:1	61001:5006003:1,61001:5003001:400,61001:5003002:100	100
5006004	53001:69:1	61001:5006004:1,61001:5003001:400,61001:5003002:100	100
5006005	53001:70:1	61001:5006005:1,61001:5003001:400,61001:5003002:100	100
5006006	53002:71:1	61001:5006006:1,61001:5003001:100,61001:5003002:150	100
5006007	53002:72:1	61001:5006007:1,61001:5003001:100,61001:5003002:100	100
5006008	53002:73:1	61001:5006008:1,61001:5003001:100,61001:5003002:100	100
5006009	53002:74:1	61001:5006009:1,61001:5003001:100,61001:5003002:300	100
5006010	53002:75:1	61001:5006010:1,61001:5003001:100,61001:5003002:200	100
5006011	53001:96:1	61001:5006011:1,61001:5003001:350,61001:5003002:100	100
5006012	53001:102:1	61001:5006012:1,61001:5003001:350,61001:5003002:100	100
