序号	连续登陆天数	奖励内容
1	1	11001:1001:200000,61001:1502001:1000,61001:4006001:10
2	2	31001:253:1,51001:97:1,61001:1101008:30
3	3	61001:4002002:1,61001:1502001:1000,61001:1101009:30
4	4	61001:2502001:20,61001:1502001:1000,61001:1101010:30
5	5	61001:2501001:20,61001:1502001:1000,61001:1101011:30
6	6	31001:17:1,61001:1502001:1000,61001:1101012:30
7	7	41001:17:1,61001:1502001:1000,61001:1101013:30
8	8	31001:11:1,61001:1502001:1000,61001:1101014:30
9	9	61001:1101008:10,61001:1502001:1000,61001:1101008:30
10	10	31001:37:1,61001:1502001:500,61001:1101009:30
11	11	61001:2502001:20,61001:1502001:1000,61001:1101010:30
12	12	61001:5004001:1,61001:1502001:1000,61001:1101011:30
13	13	61001:1101011:10,61001:1502001:1000,61001:1101012:30
14	14	61001:1101011:10,61001:1502001:1000,61001:1101013:30
15	15	61001:2501001:20,61001:1502001:1000,61001:1101014:30
16	16	61001:2502001:20,61001:1502001:1000,61001:1101008:30
17	17	61001:2502001:20,61001:1502001:1000,61001:1101009:30
18	18	61001:2501001:20,61001:1502001:1000,61001:1101010:30
19	19	61001:2502001:20,61001:1502001:1000,61001:1101011:30
20	20	61001:2501001:20,51001:104:1,61001:1101012:30
21	21	41001:19:1,61001:1502001:1000,61001:1101013:30
22	22	61001:2501001:20,61001:1502001:1000,61001:1101014:30
23	23	61001:2501001:20,61001:1502001:1000,61001:1101008:30
24	24	61001:2501001:20,61001:1502001:1000,61001:1101009:30
25	25	61001:2501001:20,51001:105:1,61001:1101010:30
26	26	61001:2501001:20,61001:1502001:1000,61001:1101011:30
27	27	61001:2501001:20,61001:1502001:1000,61001:1101012:30
28	28	61001:2501001:20,61001:1502001:1000,61001:1101013:30
29	29	61001:2501001:20,61001:1502001:1000,61001:1101008:30
30	30	61001:2501001:20,31001:285:1,11001:1001:500000
