领奖名次	1期奖励	2期奖励	3期奖励	4期奖励
1	11001:1001:200,61001:1502001:500	11001:1001:300,61001:1502001:500	11001:1001:400,61001:1502001:500	11001:1001:500,61001:1502001:500
2	11001:1001:180,61001:1502001:400	11001:1001:270,61001:1502001:400	11001:1001:360,61001:1502001:400	11001:1001:450,61001:1502001:400
3	11001:1001:160,61001:1502001:300	11001:1001:240,61001:1502001:300	11001:1001:320,61001:1502001:300	11001:1001:400,61001:1502001:300
10	11001:1001:140,61001:1502001:200	11001:1001:210,61001:1502001:200	11001:1001:280,61001:1502001:200	11001:1001:350,61001:1502001:200
50	11001:1001:120,61001:1502001:100	11001:1001:180,61001:1502001:100	11001:1001:240,61001:1502001:100	11001:1001:300,61001:1502001:100
200	11001:1001:100	11001:1001:150	11001:1001:200	11001:1001:250
500	11001:1001:80	11001:1001:120	11001:1001:160	11001:1001:200
1000	11001:1001:60	11001:1001:90	11001:1001:120	11001:1001:150
5000	11001:1001:40	11001:1001:60	11001:1001:80	11001:1001:100
x	11001:1001:20	11001:1001:30	11001:1001:40	11001:1001:50
