Type	名称	品质	初始经验	装备上限	相克ID	能量之核孔数	缘分id	Icom图片路径	海报图片路径	说明	orderId
1	震震果实	1	1500	-1	none	5	1	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	超人系，能产生地震波，震动的地方包括地面以及空间，也能让部分的空间充满强大的震动力。是可以毁灭世界的果实。	1
2	人人果实	1	1500	-1	none	5	2	devilFruit/Poster_fruit_a_01.png	devilFruit/Poster_fruit_a_01.png	动物系“幻兽种”，变成大佛。发出佛之冲击，威力巨大。	2
3	风风果实	1	1500	-1	none	5	3	devilFruit/Poster_fruit_a_04.png	devilFruit/Poster_fruit_a_04.png	疑似自然系的“风”属性恶魔果实，名称不明。	3
4	岩浆果实	1	1500	-1	none	5	4	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	自然系，身体可变为岩浆攻击敌人，没有实体，在一定范围内进行毁灭性的攻击。	4
5	冰冻果实	1	1500	-1	none	5	5	devilFruit/Poster_fruit_a_06.png	devilFruit/Poster_fruit_a_06.png	自然系，可以将一切物品变成冰冻，可以用冰制造武器,被冰冻的人会失去意识而且变成冰的性质。	5
6	闪闪果实	1	1500	-1	none	5	6	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	自然系，遇到普通攻击时身体能够光子化，借助光的各种特性作为攻击手段，并能用光速移动。	6
7	黑暗果实	1	1500	-1	none	5	7	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	自然系，当身体变化成“黑暗”时，拥有黑洞般的引力，可以将一切与“黑暗”接触的事物吸入，压缩，及粉碎。缺点是受到的伤害会加倍。	7
8	幻兽果实	1	1500	-1	none	5	8	devilFruit/Poster_fruit_a_01.png	devilFruit/Poster_fruit_a_01.png	动物系“幻兽种”，名称不明。比自然系和古代种还罕见稀有的幻兽种。可以变成全身放出蓝色火焰的白虎。	8
9	酸酸果实	1	1500	-1	none	5	9	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	疑为超人系，具有十分强大的腐蚀能力，其余能力不明。	9
10	线线果实	1	1500	-1	none	5	10	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	超人系，能够借着手指的细微操作，自由的控制细到肉眼看不见的线。	10
11	肉球果实	1	1500	-1	none	5	11	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	超人系，食用者会在双掌中产生像是熊掌一样的柔软“肉球”。拥有将一切弹开的力量。	11
12	幻兽果实	1	1500	-1	none	5	12	devilFruit/Poster_fruit_a_04.png	devilFruit/Poster_fruit_a_04.png	动物系“幻兽种”，名称不明。比自然系和古代种还罕见稀有的幻兽种。可以变成全身放出蓝色火焰的不死鸟，因为有“复活的蓝色火焰”可让伤口再生复原的不死鸟之能力。	12
13	烧烧果实	1	1500	-1	none	5	13	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	自然系，可以变成火的能力，施放火炎网、火拳攻击。	13
14	磁铁果实	1	1500	-1	none	5	14	devilFruit/Poster_fruit_a_01.png	devilFruit/Poster_fruit_a_01.png	疑似超人系，名称不明。可以控制任何金属物品，疑似磁铁的能力。	14
15	手术果实	1	1500	-1	none	5	15	devilFruit/Poster_fruit_a_06.png	devilFruit/Poster_fruit_a_06.png	超人系，可以在自己制造出的半圆罩式的特定空间内自由分割组合任何物件的空间改造人。使用时会消耗使用者的体力。	15
16	毒毒果实	1	1500	-1	none	5	16	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	超人系，可从口中呼出毒气，亦可从身体释放出大量含剧毒的液体。由于毒性实在太强，食用者会不停的拉肚子。	16
17	响雷果实	1	1500	-1	none	5	17	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	自然系，身体可变雷电，控制雷电，也可以制造雷电，还可以利用雷电制造高温，也可以雷电的形态和光的速度在导体和空气中快速移动。	17
18	甜甜果实	1	1500	-1	none	5	18	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	超人系，对好使用者色的人及所持物能起到石化的效果，对不好其色的人、物种及物品无效。	18
19	沙沙果实	1	1500	-1	none	5	19	devilFruit/Poster_fruit_a_03.png	devilFruit/Poster_fruit_a_03.png	自然系，可以变成沙，能将身体变成的沙砌成刀的形状作出攻击，右手能吸干所接触生物或物件的水份，让岩石、土壤等变回沙粒。	19
20	影影果实	1	1500	-1	none	5	20	devilFruit/Poster_fruit_a_01.png	devilFruit/Poster_fruit_a_01.png	超人系，拥有能够控制影子的能力。装入体内的影子越多，就越强大。	20
21	娃娃果实	1	1500	-1	none	5	21	devilFruit/Poster_fruit_a_06.png	devilFruit/Poster_fruit_a_06.png	疑似超人系，名称不明。会借由巫毒娃娃将伤害转移至他人身上来抵销攻击，亦可变化为稻草人型态进行攻击。巫毒娃娃能够抵销的攻击有次数限制。	21
22	恐龙果实	1	1500	-1	none	5	22	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	动物系，名称不明。非常稀有的古代种果实，可以变成兽脚亚目（暴龙、异特龙）的恐龙。	22
23	城堡果实	1	1500	-1	none	5	23	devilFruit/Poster_fruit_a_04.png	devilFruit/Poster_fruit_a_04.png	疑似超人系，名称不明。可以把自己的手下、大炮、马匹等缩小化收纳在身体里，释放出来后会恢复原状。	23
24	时间果实	1	1500	-1	none	5	24	devilFruit/Poster_fruit_a_03.png	devilFruit/Poster_fruit_a_03.png	疑似超人系，名称不明。可以自由改变自己或别人的年龄。	24
25	钻石果实	1	1500	-1	none	5	25	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	超人系，名称不明。能够将身体的任何一处变成透明纯净的钻石，变成钻石的部位拥有世上最坚硬的状态，具有极高的防御力和攻击力。	25
26	沼泽果实	1	1500	-1	none	5	26	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	自然系，体质变成沼泽也可以改变周围的环境使其沼泽化。	26
27	换换果实	1	1500	-1	none	5	27	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	疑似超人系，名称不明。身体受到伤害越大越使身体巨大化大幅度提升威力。	27
28	音波果实	1	1500	-1	none	5	28	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	超人系，名称不明。身体任何部位都可以变成乐器，透过不同的演奏产生不同的音波攻击能对人体造成不同的伤害。	28
29	荷尔蒙果实	1	1500	-1	none	5	29	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	超人系，从手指射出可以控制人体的性别、体温、色素、成长、转生等的荷尔蒙。	29
30	猫猫果实	1	1500	-1	none	5	30	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	动物系，豹形态，变成豹。力量速度爆发俱大幅度得到加强。	30
31	橡胶果实	1	1500	-1	none	5	31	devilFruit/Poster_fruit_a_05.png	devilFruit/Poster_fruit_a_05.png	超人系，身体变成橡胶体质，可以随意伸缩，但仍有一定的范围。不怕打击雷电系，惧怕斩击。	31
32	犬犬果实	2	750	-1	none	4	32	devilFruit/Poster_fruit_b_01.png	devilFruit/Poster_fruit_b_01.png	动物系，大麦町形态，变成大麦町。	32
33	千里眼果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_02.png	devilFruit/Poster_fruit_b_02.png	超人系，可以在一千米以内的任何地方长出一个眼，并且拥有可以穿透墙壁的视力。	33
34	黄泉果实	2	750	-1	none	4	34	devilFruit/Poster_fruit_b_03.png	devilFruit/Poster_fruit_b_03.png	超人系，死后可以复活一次。拥有灵魂出窍的能力，并可把灵魂力量附在武器上。	34
35	人人果实	2	750	-1	none	4	35	devilFruit/Poster_fruit_b_04.png	devilFruit/Poster_fruit_b_04.png	动物系，变成人。既可以和动物说话，又可以和人说话，缺点是伤害能力低，蓝波球可强化伤害能力。	35
36	剪剪果实	2	750	-1	none	4	36	devilFruit/Poster_fruit_b_05.png	devilFruit/Poster_fruit_b_05.png	超人系，能将双手变成巨大的剪刀，可以切开任何东西。切开的东西一定时间内可以像布一样被使用。	36
37	幽灵果实	2	750	-1	none	4	37	devilFruit/Poster_fruit_b_06.png	devilFruit/Poster_fruit_b_06.png	超人系，拥有随意产生出灵体的能力。被穿过的人变得消极，对乌索普无效。	37
38	烟雾果实	2	750	-1	none	4	38	devilFruit/Poster_fruit_b_07.png	devilFruit/Poster_fruit_b_07.png	自然系，体质变成烟雾，烟雾可实体化、困住敌人。	38
39	瓦斯果实	2	750	-1	none	4	39	devilFruit/Poster_fruit_b_08.png	devilFruit/Poster_fruit_b_08.png	自然系，体质变成气体。可以净化和压缩身体周围气体,操控一定范围内的空气。	39
40	牛牛果实	2	750	-1	none	4	40	devilFruit/Poster_fruit_b_09.png	devilFruit/Poster_fruit_b_09.png	动物系，长颈鹿形态，变成长颈鹿。	40
41	犬犬果实	2	750	-1	none	4	41	devilFruit/Poster_fruit_b_09.png	devilFruit/Poster_fruit_b_09.png	动物系，狼形态，变成狼，会继承狼的性格，变得喜爱说谎。	41
42	鸟鸟果实	2	750	-1	none	4	42	devilFruit/Poster_fruit_b_08.png	devilFruit/Poster_fruit_b_08.png	疑似动物系，名称不明。全世界五种有飞行的能力之一，可在背上生出翅膀飞行。	42
43	槌槌果实	2	750	-1	none	4	43	devilFruit/Poster_fruit_b_07.png	devilFruit/Poster_fruit_b_07.png	疑似超人系恶魔果实，名称不明。能够将物体储存在身体中。贮藏区域在他的下巴附近。此能力的限制未知。目前为止他只从右下巴附近口袋里拿出过巨槌。	43
44	槛槛果实	2	750	-1	none	4	44	devilFruit/Poster_fruit_b_06.png	devilFruit/Poster_fruit_b_06.png	超人系，能够从身体的任何地方创造出铁条进行禁锢。“被我身体穿过的东西都将被锁住！”	44
45	四分五裂果实	2	750	-1	none	4	45	devilFruit/Poster_fruit_b_05.png	devilFruit/Poster_fruit_b_05.png	超人系，身体能随意分裂合并，脚不可离开地面，分裂部分不得离中心200以外，否则会失去控制。	45
46	雪雪果实	2	750	-1	none	4	46	devilFruit/Poster_fruit_b_04.png	devilFruit/Poster_fruit_b_04.png	自然系，能够将自己的双翼进行型态变化来创造出雪，身躯能变成如冰一般的低温，即使被纯物理攻击击溃身体也能瞬间重组。	46
47	透明果实	2	750	-1	none	4	47	devilFruit/Poster_fruit_b_03.png	devilFruit/Poster_fruit_b_03.png	超人系，可以让自己的身体透明化。香吉士梦寐以求的果实，被人吃掉变得十分恼火。	47
48	门门果实	2	750	-1	none	4	48	devilFruit/Poster_fruit_b_02.png	devilFruit/Poster_fruit_b_02.png	超人系，可以在任何地方开门自由出入。打不过的话可以躲入门之空间来逃避敌人的攻击。	48
49	泡泡果实	2	750	-1	none	4	49	devilFruit/Poster_fruit_b_01.png	devilFruit/Poster_fruit_b_01.png	超人系，可以从身体的任何地方产生泡沫或肥皂。产生的泡泡可以让敌人无力攻击。	49
50	洗洗果实	2	750	-1	none	4	50	devilFruit/Poster_fruit_b_05.png	devilFruit/Poster_fruit_b_05.png	超人系，能将人与物变成衣服洗好后晾干。也能将人的“恶”心洗去，使人的“恶”变弱。	50
51	蛇蛇果实	2	750	-1	none	4	51	devilFruit/Poster_fruit_b_07.png	devilFruit/Poster_fruit_b_07.png	动物系，蟒蛇形态，变成蟒蛇。	51
52	蛇蛇果实	2	750	-1	none	4	52	devilFruit/Poster_fruit_b_06.png	devilFruit/Poster_fruit_b_06.png	动物系，眼镜蛇形态，变成眼镜蛇。	52
53	模仿果实	2	750	-1	none	4	53	devilFruit/Poster_fruit_b_02.png	devilFruit/Poster_fruit_b_02.png	超人系，可以变成右手触摸过的任何一个人。左手摸脸则会变回原状。	53
54	融化果实	2	750	-1	none	4	54	devilFruit/Poster_fruit_b_04.png	devilFruit/Poster_fruit_b_04.png	超人系，能够将自己的身体融化，产生大量的蜡烛黏液。没有灯光的时候可以点燃自己来照明。	54
55	快斩果实	3	375	-1	none	3	55	devilFruit/Poster_fruit_c_01.png	devilFruit/Poster_fruit_c_01.png	超人系，可以把身体的任何一部分变成钢铁刀刃。同时也让皮肤像钢铁一样坚韧。	55
56	锈锈果实	3	375	-1	none	3	56	devilFruit/Poster_fruit_c_02.png	devilFruit/Poster_fruit_c_02.png	超人系，能将身体碰到的金属腐蚀并变成粉末。	56
57	豆豆果实	3	375	-1	none	3	57	devilFruit/Poster_fruit_c_03.png	devilFruit/Poster_fruit_c_03.png	超人系，能够让自己分裂成许多颗球体。“吃饭，睡觉，打豆豆。”	57
58	鸟鸟果实	3	375	-1	none	3	58	devilFruit/Poster_fruit_c_04.png	devilFruit/Poster_fruit_c_04.png	动物系，隼形态。变成隼，五种可以飞的能力之一。	58
59	象象果实	3	375	-1	none	3	59	devilFruit/Poster_fruit_c_05.png	devilFruit/Poster_fruit_c_05.png	动物系，经由科技使斯潘达姆的爱刀法古佛里德食用，成为一把可以变成大象的刀。	59
60	弹簧果实	3	375	-1	none	3	60	devilFruit/Poster_fruit_c_06.png	devilFruit/Poster_fruit_c_06.png	超人系，能够将身体的任何一部分变成弹簧。可用强力的弹跳做冲撞攻击！。	60
61	迟缓果实	3	375	-1	none	3	61	devilFruit/Poster_fruit_c_07.png	devilFruit/Poster_fruit_c_07.png	超人系，可以发射桃红色的迟缓光子，让敌人处于慢速世界。	61
62	溜溜果实	3	375	-1	none	3	62	devilFruit/Poster_fruit_c_08.png	devilFruit/Poster_fruit_c_08.png	超人系，能够让自己全身上下的皮肤表面变得滑嫩无比。缺点是无法躲避爆炸攻击。	62
63	犬犬果实	3	375	-1	none	3	63	devilFruit/Poster_fruit_c_09.png	devilFruit/Poster_fruit_c_09.png	动物系，胡狼形态，变成胡狼。	63
64	牛牛果实	3	375	-1	none	3	64	devilFruit/Poster_fruit_c_10.png	devilFruit/Poster_fruit_c_10.png	动物系，野牛形态，变成野牛，大幅强化身体。	64
65	公斤果实	3	375	-1	none	3	65	devilFruit/Poster_fruit_c_03.png	devilFruit/Poster_fruit_c_03.png	超人系，可以任意改变自己的体重。	65
66	荆棘果实	3	375	-1	none	3	66	devilFruit/Poster_fruit_c_05.png	devilFruit/Poster_fruit_c_05.png	超人系，可以让身体的任何一部分长出无数的针刺。	66
67	炸弹果实	3	375	-1	none	3	67	devilFruit/Poster_fruit_c_08.png	devilFruit/Poster_fruit_c_08.png	超人系，身体的任何部份都可以引爆。	67
68	犬犬果实	3	375	-1	none	3	68	devilFruit/Poster_fruit_c_02.png	devilFruit/Poster_fruit_c_02.png	动物系，腊肠狗形态，变成腊肠狗。	68
69	吞吞果实	3	375	-1	none	3	69	devilFruit/Poster_fruit_c_10.png	devilFruit/Poster_fruit_c_10.png	超人系，可吞下任何东西，可将吞下物与自己合体，也可合成新的物品，还可吞下自己令自己变瘦。	69
70	屏障果实	1	1500	-1	none	5	70	devilFruit/Poster_fruit_a_03.png	devilFruit/Poster_fruit_a_03.png	超人系，能够在周围形成屏障借此抵挡任何攻击。	70
71	靶靶果实	1	1500	-1	none	5	71	devilFruit/Poster_fruit_a_04.png	devilFruit/Poster_fruit_a_04.png	超人系，被获得此能力的人用手碰到后，就会被当成标的锁定。锁定的目标与手掌的数量相同，且不能洗手，洗手就会失去效果。	71
72	花花果实	1	1500	-1	none	5	72	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	超人系，身体的任何一个部位都能在任何地方像花一般的展开。十分方便的能力。	72
73	滕蔓果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_03.png	devilFruit/Poster_fruit_b_03.png	超人系，全身可以伸出藤蔓捆绑敌人，身体力量变大，可以轻松的将敌人举起。	73
74	霸者之魂	1	1500	-1	none	5	74	devilFruit/Poster_fruit_a_bazhe.png	devilFruit/Poster_fruit_a_bazhe.png	为了守护伙伴，香克斯可以付出自己的一切，无论是肉体还是灵魂！强烈的想要守护同伴凝聚的守护之魂。	74
75	变色龙果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_03.png	devilFruit/Poster_fruit_b_03.png	动物系，可以根据环境改变自身颜色和背景融为一体，很难被发现。	75
76	蒲公英果实	1	1500	-1	none	5	none	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	超人系，可以操纵蒲公英飘落，制造出无数蒲公英籽攻击敌人，也可以用蒲公英覆盖敌人，借此控制对方的行动。	76
77	镜子果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_03.png	devilFruit/Poster_fruit_b_03.png	超人系，可以把身体部分变成镜子反射敌人攻击，平时梳妆时可以用手当镜子。	77
78	水流果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_03.png	devilFruit/Poster_fruit_b_03.png	自然系，可以操纵水，缺点是吃了盐会过敏，无法使用能力。	78
79	分身果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_01.png	devilFruit/Poster_fruit_b_01.png	动物系幻兽果实的变种，可以制造出和本体外型一样的分身，分身可以按本体意志行动吗，分身一旦受到伤害就会消失。	79
80	纸纸果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_06.png	devilFruit/Poster_fruit_b_06.png	超人系，使用纸片飞刀攻击敌人，全身都可以化为纸蝶飞舞，浪漫的果实。	80
81	酒酒果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_07.png	devilFruit/Poster_fruit_b_07.png	超人系，可以制造出美酒，平时开宴会很方便，酒鬼们的好伙伴，战斗时可以散发酒气让敌人酒精中毒。	81
82	分析果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_08.png	devilFruit/Poster_fruit_b_08.png	超人系，强化大脑的果实。可以通过战斗经验分析对方的弱点，可以根据战斗情况随时计算出我方的出手时机。	82
