id	type	exchangeCount	nameType
10001	1	30	1
20001	2	30	1
30001	3	30	1
40001	4	30	1
50001	5	30	1
60001	6	30	1
70001	7	30	1
80001	8	30	1
90001	9	30	1
100001	10	30	1
110001	11	30	1
120001	12	30	1
130001	13	30	1
140001	14	30	1
150001	15	30	1
160001	16	30	1
170001	17	30	1
180001	18	30	1
190001	19	30	1
200001	20	30	1
210001	21	30	1
220001	22	30	1
230001	23	30	1
240001	24	30	1
250001	25	30	1
260001	26	30	1
270001	27	30	1
280001	28	30	1
290001	29	30	1
300001	30	30	1
310001	31	30	1
700001	70	30	1
710001	71	30	1
720001	72	30	1
740001	74	30	2
760001	76	30	1
830001	83	30	1
840001	84	30	1
850001	85	30	1
860001	86	30	1
870001	87	30	1
880001	88	30	1
890001	89	30	1
910001	91	30	1
940001	94	30	1
970001	97	30	2
980001	98	30	2
990001	99	30	2
1000001	100	30	2
1010001	101	30	2
1020001	102	30	2
1030001	103	30	2
1040001	104	30	2
1050001	105	30	2
1060001	106	30	2
1070001	107	30	2
1080001	108	30	2
1090001	109	30	2
1100001	110	30	2
1110001	111	30	2
1120001	112	30	2
1130001	113	30	2
1140001	114	30	2
1150001	115	30	2
1160001	116	30	2
1170001	117	30	2
1180001	118	30	2
1190001	119	30	1
1200001	120	30	1
1210001	121	30	1
1220001	122	30	1
1230001	123	30	1
1240001	124	30	1
