武将等级	角色经验系数
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	3
17	3
18	3
19	3
20	3
21	3
22	6
23	6
24	6
25	9
26	9
27	9
28	10
29	10
30	10
31	14
32	14
33	14
34	15
35	15
36	15
37	20
38	20
39	20
40	23
41	23
42	23
43	26
44	26
45	26
46	36
47	36
48	36
49	40
50	40
51	40
52	47
53	47
54	47
55	50
56	50
57	50
58	61
59	61
60	61
61	82
62	82
63	82
64	102
65	102
66	102
67	134
68	134
69	134
70	169
71	169
72	169
73	210
74	210
75	210
76	257
77	257
78	257
79	425
80	425
81	425
82	538
83	538
84	538
85	710
86	710
87	710
88	757
89	757
90	757
91	1375
92	1375
93	1375
94	1767
95	1767
96	1767
97	2227
98	2227
99	2227
100	2508
101	2508
102	2508
103	3000
104	3000
105	3000
106	3443
107	3443
108	3443
109	3717
110	3717
111	3717
112	4092
113	4092
114	4092
115	4508
116	4508
117	4508
118	4967
119	4967
120	4967
121	5467
122	5467
123	5467
124	6017
125	6017
126	6017
127	6625
128	6625
129	6625
130	7292
131	7292
132	7292
133	8025
134	8025
135	8025
136	8833
137	8833
138	8833
139	9717
140	9717
141	9717
142	10692
143	10692
144	10692
145	11762
146	11762
147	11762
148	12940
149	12940
150	12940
151	14234
152	14234
153	14234
154	15657
155	15657
156	15657
157	17223
158	17223
159	17223
160	18945
161	18945
162	18945
163	20840
164	20840
165	20840
166	22924
167	22924
168	22924
169	25216
170	25216
171	25216
172	27738
173	27738
174	27738
175	30512
176	30512
177	30512
178	33563
179	33563
180	33000
181	34500
182	35400
183	36300
184	37200
185	38100
186	39000
187	39900
188	40800
189	41700
190	42600
191	43500
192	44400
193	45300
194	46200
195	47100
196	48000
197	48900
198	49800
199	50700
200	51600
201	52500
202	53400
203	54300
204	55200
205	56100
206	57000
207	57900
208	58800
209	59700
210	60600
211	61500
212	62400
213	63300
214	64200
215	65100
216	66000
217	66900
218	67800
219	68700
220	69600
221	70500
222	71400
223	72300
224	73200
225	74100
226	75000
227	75900
228	76800
229	77700
230	78600
231	79500
232	80400
233	81300
234	82200
235	83100
236	84000
237	84900
238	85800
239	86700
240	87600
241	88500
242	89400
243	90300
244	91200
245	92100
246	93000
247	93900
248	94800
249	95700
250	96600
251	97500
252	98400
253	99300
254	100200
255	101100
256	102000
257	102900
258	103800
259	104700
260	105600
261	106500
262	107400
263	108300
264	109200
265	110100
266	111000
267	111900
268	112800
269	113700
270	114600
271	115500
272	116400
273	117300
274	118200
275	119100
276	120000
277	120900
278	121800
279	122700
280	123600
281	124500
282	125400
283	126300
284	127200
285	128100
286	129000
287	129900
288	130800
289	131700
290	132600
291	133500
292	134400
293	135300
294	136200
295	137100
296	138000
297	138900
298	139800
299	140700
300	141600
