ID	能量之核Type	等级	经验	吞噬经验转换百分比	售价	属性值	身价
10001	1	1	480	100	12000	200	140
10002	1	2	960	100	48000	400	440
10003	1	3	1920	100	96000	600	740
10004	1	4	3840	100	192000	800	1040
10005	1	5	7680	100	384000	1000	1340
10006	1	6	15360	100	768000	1200	1640
10007	1	7	30720	100	1536000	1400	1940
10008	1	8	61440	100	3072000	1600	2240
10009	1	9	122880	100	6144000	1800	2540
10010	1	10	122880	100	12288000	2000	2840
20001	2	1	480	100	12000	100	70
20002	2	2	960	100	48000	200	220
20003	2	3	1920	100	96000	300	370
20004	2	4	3840	100	192000	400	520
20005	2	5	7680	100	384000	500	670
20006	2	6	15360	100	768000	600	820
20007	2	7	30720	100	1536000	700	970
20008	2	8	61440	100	3072000	800	1120
20009	2	9	122880	100	6144000	900	1270
20010	2	10	122880	100	12288000	1000	1420
30001	3	1	480	100	12000	80	56
30002	3	2	960	100	48000	160	176
30003	3	3	1920	100	96000	240	296
30004	3	4	3840	100	192000	320	416
30005	3	5	7680	100	384000	400	536
30006	3	6	15360	100	768000	480	656
30007	3	7	30720	100	1536000	560	776
30008	3	8	61440	100	3072000	640	896
30009	3	9	122880	100	6144000	720	1016
30010	3	10	122880	100	12288000	800	1136
40001	4	1	480	100	12000	200	140
40002	4	2	960	100	48000	400	440
40003	4	3	1920	100	96000	600	740
40004	4	4	3840	100	192000	800	1040
40005	4	5	7680	100	384000	1000	1340
40006	4	6	15360	100	768000	1200	1640
40007	4	7	30720	100	1536000	1400	1940
40008	4	8	61440	100	3072000	1600	2240
40009	4	9	122880	100	6144000	1800	2540
40010	4	10	122880	100	12288000	2000	2840
50001	5	1	480	100	12000	150	70
50002	5	2	960	100	48000	300	200
50003	5	3	1920	100	96000	450	330
50004	5	4	3840	100	192000	600	460
50005	5	5	7680	100	384000	750	590
50006	5	6	15360	100	768000	900	720
50007	5	7	30720	100	1536000	1050	850
50008	5	8	61440	100	3072000	1200	980
50009	5	9	122880	100	6144000	1350	1110
50010	5	10	122880	100	12288000	1500	1240
60001	6	1	480	100	12000	100	47
60002	6	2	960	100	48000	200	133
60003	6	3	1920	100	96000	300	220
60004	6	4	3840	100	192000	400	307
60005	6	5	7680	100	384000	500	393
60006	6	6	15360	100	768000	600	480
60007	6	7	30720	100	1536000	700	567
60008	6	8	61440	100	3072000	800	653
60009	6	9	122880	100	6144000	900	740
60010	6	10	122880	100	12288000	1000	827
70001	7	1	480	100	12000	125	58
70002	7	2	960	100	48000	250	167
70003	7	3	1920	100	96000	375	275
70004	7	4	3840	100	192000	500	383
70005	7	5	7680	100	384000	625	492
70006	7	6	15360	100	768000	750	600
70007	7	7	30720	100	1536000	875	708
70008	7	8	61440	100	3072000	1000	817
70009	7	9	122880	100	6144000	1125	925
70010	7	10	122880	100	12288000	1250	1033
80001	8	1	480	100	12000	200	93
80002	8	2	960	100	48000	400	267
80003	8	3	1920	100	96000	600	440
80004	8	4	3840	100	192000	800	613
80005	8	5	7680	100	384000	1000	787
80006	8	6	15360	100	768000	1200	960
80007	8	7	30720	100	1536000	1400	1133
80008	8	8	61440	100	3072000	1600	1307
80009	8	9	122880	100	6144000	1800	1480
80010	8	10	122880	100	12288000	2000	1653
90001	9	1	480	100	12000	125	58
90002	9	2	960	100	48000	250	167
90003	9	3	1920	100	96000	375	275
90004	9	4	3840	100	192000	500	383
90005	9	5	7680	100	384000	625	492
90006	9	6	15360	100	768000	750	600
90007	9	7	30720	100	1536000	875	708
90008	9	8	61440	100	3072000	1000	817
90009	9	9	122880	100	6144000	1125	925
90010	9	10	122880	100	12288000	1250	1033
100001	10	1	480	100	12000	200	93
100002	10	2	960	100	48000	400	267
100003	10	3	1920	100	96000	600	440
100004	10	4	3840	100	192000	800	613
100005	10	5	7680	100	384000	1000	787
100006	10	6	15360	100	768000	1200	960
100007	10	7	30720	100	1536000	1400	1133
100008	10	8	61440	100	3072000	1600	1307
100009	10	9	122880	100	6144000	1800	1480
100010	10	10	122880	100	12288000	2000	1653
110001	11	1	240	100	6000	100	45
110002	11	2	480	100	24000	200	170
110003	11	3	960	100	48000	300	295
110004	11	4	1920	100	96000	400	420
110005	11	5	3840	100	192000	500	545
110006	11	6	7680	100	384000	600	670
110007	11	7	15360	100	768000	700	795
110008	11	8	30720	100	1536000	800	920
110009	11	9	61440	100	3072000	900	1045
110010	11	10	61440	100	6144000	1000	1170
120001	12	1	240	100	6000	50	23
120002	12	2	480	100	24000	100	85
120003	12	3	960	100	48000	150	148
120004	12	4	1920	100	96000	200	210
120005	12	5	3840	100	192000	250	273
120006	12	6	7680	100	384000	300	335
120007	12	7	15360	100	768000	350	398
120008	12	8	30720	100	1536000	400	460
120009	12	9	61440	100	3072000	450	523
120010	12	10	61440	100	6144000	500	585
130001	13	1	240	100	6000	40	18
130002	13	2	480	100	24000	80	68
130003	13	3	960	100	48000	120	118
130004	13	4	1920	100	96000	160	168
130005	13	5	3840	100	192000	200	218
130006	13	6	7680	100	384000	240	268
130007	13	7	15360	100	768000	280	318
130008	13	8	30720	100	1536000	320	368
130009	13	9	61440	100	3072000	360	418
130010	13	10	61440	100	6144000	400	468
140001	14	1	240	100	6000	100	45
140002	14	2	480	100	24000	200	170
140003	14	3	960	100	48000	300	295
140004	14	4	1920	100	96000	400	420
140005	14	5	3840	100	192000	500	545
140006	14	6	7680	100	384000	600	670
140007	14	7	15360	100	768000	700	795
140008	14	8	30720	100	1536000	800	920
