源装备ID	转换类型	目标装备ID	需要道具
107	1	217	61001:2508001:60
107	2	218	61001:2508002:60
107	3	219	61001:2508003:60
108	1	220	61001:2508001:60
108	2	221	61001:2508002:60
108	3	222	61001:2508003:60
109	1	223	61001:2508001:60
109	2	224	61001:2508002:60
109	3	225	61001:2508003:60
110	1	226	61001:2508001:60
110	2	227	61001:2508002:60
110	3	228	61001:2508003:60
111	1	229	61001:2508001:60
111	2	230	61001:2508002:60
111	3	231	61001:2508003:60
124	1	187	61001:2508001:60
124	2	188	61001:2508002:60
124	3	189	61001:2508003:60
125	1	190	61001:2508001:60
125	2	191	61001:2508002:60
125	3	192	61001:2508003:60
126	1	193	61001:2508001:60
126	2	194	61001:2508002:60
126	3	195	61001:2508003:60
127	1	196	61001:2508001:60
127	2	197	61001:2508002:60
127	3	198	61001:2508003:60
128	1	199	61001:2508001:60
128	2	200	61001:2508002:60
128	3	201	61001:2508003:60
137	1	163	61001:2508001:60
137	2	164	61001:2508002:60
137	3	165	61001:2508003:60
138	1	166	61001:2508001:60
138	2	167	61001:2508002:60
138	3	168	61001:2508003:60
139	1	169	61001:2508001:60
139	2	170	61001:2508002:60
139	3	171	61001:2508003:60
140	1	172	61001:2508001:60
140	2	173	61001:2508002:60
140	3	174	61001:2508003:60
141	1	175	61001:2508001:60
141	2	176	61001:2508002:60
141	3	177	61001:2508003:60
150	1	232	61001:2508001:60
150	2	233	61001:2508002:60
150	3	234	61001:2508003:60
151	1	235	61001:2508001:60
151	2	236	61001:2508002:60
151	3	237	61001:2508003:60
152	1	202	61001:2508001:60
152	2	203	61001:2508002:60
152	3	204	61001:2508003:60
153	1	205	61001:2508001:60
153	2	206	61001:2508002:60
153	3	207	61001:2508003:60
154	1	178	61001:2508001:60
154	2	179	61001:2508002:60
154	3	180	61001:2508003:60
155	1	208	61001:2508001:60
155	2	209	61001:2508002:60
155	3	210	61001:2508003:60
156	1	211	61001:2508001:60
156	2	212	61001:2508002:60
156	3	213	61001:2508003:60
157	1	181	61001:2508001:60
157	2	182	61001:2508002:60
157	3	183	61001:2508003:60
158	1	238	61001:2508001:60
158	2	239	61001:2508002:60
158	3	240	61001:2508003:60
159	1	241	61001:2508001:60
159	2	242	61001:2508002:60
159	3	243	61001:2508003:60
160	1	244	61001:2508001:60
160	2	245	61001:2508002:60
160	3	246	61001:2508003:60
161	1	214	61001:2508001:60
161	2	215	61001:2508002:60
161	3	216	61001:2508003:60
162	1	184	61001:2508001:60
162	2	185	61001:2508002:60
162	3	186	61001:2508003:60
163	3	165	61001:2508003:60
165	1	163	61001:2508001:60
166	3	168	61001:2508003:60
168	1	166	61001:2508001:60
169	3	171	61001:2508003:60
171	1	169	61001:2508001:60
172	3	174	61001:2508003:60
174	1	172	61001:2508001:60
175	3	177	61001:2508003:60
177	1	175	61001:2508001:60
178	3	180	61001:2508003:60
180	1	178	61001:2508001:60
181	3	183	61001:2508003:60
183	1	181	61001:2508001:60
184	3	186	61001:2508003:60
186	1	184	61001:2508001:60
187	3	189	61001:2508003:60
189	1	187	61001:2508001:60
190	3	192	61001:2508003:60
192	1	190	61001:2508001:60
193	3	195	61001:2508003:60
195	1	193	61001:2508001:60
196	3	198	61001:2508003:60
198	1	196	61001:2508001:60
199	3	201	61001:2508003:60
201	1	199	61001:2508001:60
202	3	204	61001:2508003:60
204	1	202	61001:2508001:60
205	3	207	61001:2508003:60
207	1	205	61001:2508001:60
208	3	210	61001:2508003:60
210	1	208	61001:2508001:60
211	3	213	61001:2508003:60
213	1	211	61001:2508001:60
214	3	216	61001:2508003:60
216	1	214	61001:2508001:60
217	3	219	61001:2508003:60
219	1	217	61001:2508001:60
220	3	222	61001:2508003:60
222	1	220	61001:2508001:60
223	3	225	61001:2508003:60
225	1	223	61001:2508001:60
226	3	228	61001:2508003:60
228	1	226	61001:2508001:60
229	3	231	61001:2508003:60
231	1	229	61001:2508001:60
232	3	234	61001:2508003:60
234	1	232	61001:2508001:60
235	3	237	61001:2508003:60
237	1	235	61001:2508001:60
238	3	240	61001:2508003:60
240	1	238	61001:2508001:60
241	3	243	61001:2508003:60
243	1	241	61001:2508001:60
244	3	246	61001:2508003:60
246	1	244	61001:2508001:60
250	1	253	61001:2508001:100
250	2	254	61001:2508003:100
250	3	255	61001:2508003:100
251	1	256	61001:2508001:100
251	2	257	61001:2508003:100
251	3	258	61001:2508003:100
252	1	259	61001:2508001:100
252	2	260	61001:2508003:100
252	3	261	61001:2508003:100
