ID	名称	类型	品质	装备说明	初始值	升级成长值	Icom图片路径	海报图片路径	名字图片路径	orderId	套装
1	黑刀夜	1	1	世界最强之黑刀，无上大快刀之一，漆黑的利刃，为乱刃重花丁字型。	201	15	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	149	none
2	王者薙刀	1	1	巨大的长柄薙刀，因为其主人白胡子的缘故，散发出王者霸气。	189	13.7	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	152	none
3	初代鬼彻	1	1	无上大快刀之一，传说中的妖刀。只有比剑灵强大，才能驾驭，否则最终被吞噬，死于非命。	178	12.6	equipposter/poster_weapon_chudaiguiche.png	equipposter/poster_weapon_chudaiguiche.png	equiptex/tex_weapon_chudaiguiche.png	154	none
4	七星剑	1	1	闪耀着七星光辉的圣剑，因为受到诅咒，从而成为足以毁天灭地的妖刀。	169	11.7	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	156	none
5	恶魔战斧	1	1	巨大的战斧，传说为恶魔的兵刃，散发着诡异恐怖的气息。	164	11	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	157	none
6	金色手钩	1	2	纯金打造的海盗手钩，仿若蝎子的尾巴，其尖钩内藏着剧毒，见血封侯。	120	8.9	equipposter/poster_weapon_jinseshougou.png	equipposter/poster_weapon_jinseshougou.png	equiptex/tex_weapon_jinseshougou.png	185	none
7	黄金手枪	1	2	纯金打造的手枪，除了拥有拉风的造型外，威力也非同小可，是身份与实力的象征。	115	8.5	equipposter/poster_weapon_huangjinshouqiang.png	equipposter/poster_weapon_huangjinshouqiang.png	equiptex/tex_weapon_huangjinshouqiang.png	186	none
8	黄金棍	1	2	纯金打造的长棍，因其良好的导电性，被艾尼路当做施展天罚的重要武器。	102	8.4	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	187	none
9	和道一文字	1	2	大快刀之一，朴素无华，内中却蕴含着无上的杀气，承载着古伊娜与索隆两个人的梦想。	101	8.3	equipposter/poster_weapon_hedaoyiwenzi.png	equipposter/poster_weapon_hedaoyiwenzi.png	equiptex/tex_weapon_hedaoyiwenzi.png	188	none
10	秋水	1	2	大快刀之一，经过无数次折叠锻打，刀脊厚实而结实，杀伤力极大。	99	8.2	equipposter/poster_weapon_qiushui.png	equipposter/poster_weapon_qiushui.png	equiptex/tex_weapon_qiushui.png	189	none
