id	名称	描述	icon路径	showType
1	入盟好处	可以通过多种渠道获得联盟贡献，在联盟商店购买各种稀有道具和卡牌影子。	none	1
2	联盟贡献	获取方式有：捐献资金建设联盟、攻打其他联盟的恶魔之力、参与联盟战争。退出联盟后，联盟贡献会清零。	none	1
3	每日必做	1.攻击其他联盟恶魔之力获取贡献；2.19:00领取自己联盟的贡献；3.在联盟商店购买商品；4.参与联盟战。	none	1
4	联盟等级	联盟共7级，等级越高，可招收的成员数越多。其他建筑的等级不可超过联盟等级。	none	1
5	联盟商店	联盟商店等级越高，出售的东西越多越好，每天12:30联盟商店会随机刷新出售的道具。	none	1
6	恶魔之力	恶魔之力关系到领取贡献的多少，也关系到夺取其他联盟旗帜的难度，以及盟战的实力加成，具体玩法可在恶魔之力页面查看。	none	1
7	联盟旗帜	每个联盟都有自己的默认旗帜，联盟升至7级则可以点击帆船上的旗帜，领取一个特殊旗帜（仅限1个），数量有限，先到先得。点击其他联盟恶魔之力中间的夺旗按钮，与对方盟主战斗，胜利可夺取旗帜！	none	1
8	盟战竞价	每天21:30--次日19:00，盟主或副盟主可使用联盟资金，竞价想要攻打的据点，19:00会公布该据点出价最高的联盟，与占领据点的联盟对战。可竞价多个据点，竞价失败后全部联盟资金退回。	none	1
9	盟战准备	每天21:00--21:10，盟主可从尚未摧毁的恶魔之力中，挑选一个为盟战成员临时提高战斗力，如果交战对手刚好选择的恶魔之力克制自己，则战斗力会被削弱（没有选择恶魔之力则被任意恶魔之力克制）。	none	1
10	盟战开始	每天21:10--21:30，获得盟战资格的联盟，成员须主动选择据点参与战斗，随机匹配该据点中的对战联盟成员，胜利得3分，失败得1分，时间结束得分多的一方获胜。	none	1
11	盟战奖励	盟战过程中参战双方均获得潜能药剂（立即获得），最终获胜方所有成员还会获得额外奖励（邮件发放）。	none	1
12	恶魔之力作用	1.每天19:00-19:30可根据联盟恶魔之力血量，领取联盟贡献。2.盟战时，盟主可选择一个恶魔之力给参战玩家提供临时的能力加成。3.夺取旗帜时，每摧毁一个恶魔之力，防守方盟主的战力就会下降一定百分比。	none	2
13	恶魔之力攻打	每人每天攻击其他联盟恶魔之力，有20次上限，战斗胜利则可以获得联盟贡献（每天10次）。当总攻击次数耗尽后，可花费钻石回复攻击次数，但不会额外获得贡献。	none	2
14	恶魔之力修复	盟主或副盟主可点击损血的恶魔之力，消耗一定的联盟资金来进行修复。同一时间只能修复一个恶魔之力，修复时间为4小时。	none	2
15	恶魔之力克制	在盟战开始前10分钟内，盟主或副盟主可选择一个尚未摧毁的恶魔之力给己方参战成员提供战斗力加成，但当对方选择的恶魔之力克制自己时，不但无法获得加成，还会根据对方恶魔之力等级，削弱对应战力。	none	2
16	建筑升级	选择一个建筑，然后点击捐献按钮，捐献贝里或者钻石，来增加建筑建设进度，进度达到一定数值即可升级。建筑等级不能超过联盟等级	none	3
17	联盟商店	联盟商店中出售的稀有商品，都需要联盟贡献来兑换。联盟商店等级越高，商品越多越好。商店中道具标价均为购买1个商品的价格。	none	3
18	商品刷新	联盟商店的商品在每天12:30会进行一次刷新，随机更换出售的商品。	none	3
19	购买限制	每种商品，都有一定的购买数量限制；此外每次购买商品（不论购买1个还是多个商品），都会进入购买冷却时间，可花费钻石消除购买冷却。有些商品还需要在联盟中达到一定的职位才能购买。	none	3
20	盟战竞价	每天21:40-次日19:00为盟战竞价时间，盟主或副盟主可使用联盟资金，对各个据点进行竞价，19:00揭晓结果，出价最高者可获得据点攻打权限，失败者退还所有竞价联盟资金。	none	4
21	盟战准备	每天21:00，获得盟战资格的联盟，盟主可选择恶魔之力提供战斗力加成，其他成员可提前选择要参战的战场，点击参战按钮进入战斗页面等待，防止错过第一轮战斗。	none	4
22	盟战开始	每天21:10-21:30，为盟战进行阶段。每个据点，每1分钟进行1轮战斗，共计20轮战斗。	none	4
23	对战规则	每轮战斗开始时，会对在同一据点中的交战双方成员，随机匹配进行1v1对战。双方人数不相等时，没有匹配到对手的人在本轮将轮空。对战胜利者为本方增加3分，轮空增加2分，失败增加1分。20轮战斗结束后，积分高的一方获胜。	none	4
24	特别注意	（1）如果在一轮战斗开始后，才加入到战场中来，则需要等到下一轮才会加入战斗，所以频繁切换战场会得不偿失哦。（2）轮空的成员每轮战斗均可直接得分，所以请注意各个据点的人数分配。	none	4
25	战场调度	战斗界面中新增本联盟各个据点战斗人员分配情况和积分对比查看，帮助大家及时了解盟战局势，盟主可主动发起调度玩家去某个据点的请求，成员接受后会自动切换到指定据点。	none	4
26	职位晋升	1.排行以7天为一周期，每周日24:00清零本周贡献，每周都可以争夺联盟职位	none	5
27	 	2.进入联盟贡献周排行的联盟成员，才可以进行职位晋升。	none	5
28	 	3.贡献周排行的上榜条件是当周联盟贡献大于2000，且处于排行前十的联盟成员。	none	5
