title	content
恶魔果实获得	玩家可在果实采集活动中，通过“采摘”功能，收集恶魔果实。每次进行采集时，可获得随机品质恶魔果实，同时会累积采集幸运值。幸运值达到100%时，继续下次采摘，必得一枚A品质果实。活动期间，玩家采摘恶魔果实，在获得恶魔果实的同时，还将有一定概率获得指定恶魔果实的种子，不同的果实种子可拼合成指定的恶魔果实。
恶魔果实装备	玩家可为阵容中的船员装备恶魔果实，将果实装备在特定船员的身上，会激活恶魔果实的缘分属性加成。
恶魔果实升级	玩家需通过将恶魔升级来解锁恶魔果实的能力与能量之核的镶嵌孔，恶魔果实升级需要吞噬其他的恶魔果实进行。
果实种子培育	玩家可通过“果实采集”页面，点击“培育”按钮，将已获得的指定果实种子拼合成完整的恶魔果实，拼合恶魔果实需要一定数量对应种子，数量足够才可进行拼合。
能量之核获得	玩家可在探索功能中，通过探索来获得能量之核。越高品质的宝箱，越容易出现高品质的能量之核。花费600钻石，可直接晋级至伟大航路最高的宝箱进行探索。
能量之核装备	玩家可在已上阵的恶魔果实上，装备能量之核。能量之核的装备数量，受果实品质与等级的限制。
能量之核升级	玩家需通过吞噬大量的能量之核，来进行能量之核的升级。升级能量之核，可提升能量之核的加成属性。
暴击能量之核	暴击：增加玩家攻击时触发暴击的几率。
韧性能量之核	韧性：降低玩家在防御时，受到暴击的几率
命中能量之核	命中：增加玩家攻击时命中敌方单位的几率。
躲闪能量之核	躲闪：增加玩家防御时的躲闪几率。
格挡能量之核	格挡：降低玩家受到的普通攻击的伤害，并触发反击效果。
破防能量之核	破防：降低防守方玩家格挡的几率。
