TYPEID	名称	MAINTYPE
10	USER_PROPERTY_TYPE	0
11001	USER_PROPERTY	10
1001	USER_PROPERTY_GOLD_COINS	0
1002	USER_PROPERTY_SILVER_COINS	0
1003	USER_PROPERTY_EXP	0
1004	USER_LEAGUE_CONTRIBUTION	0
12001	USER_LEVEL_PROPERTY	10
2002	USER_PROPERTY_LEVEL_SILVER_COINS	0
21001	DISCIPLE_PROPERTY	0
31	DISCIPLE_TYPE	0
31001	A_DISCIPLE	31
31002	B_DISCIPLE	31
31003	C_DISCIPLE	31
31004	D_DISCIPLE	31
31005	S_DISCIPLE	31
32	SOUL_TYPE	0
32001	A_SOUL	32
32002	B_SOUL	32
32003	C_SOUL	32
32004	D_SOUL	32
32005	S_SOUL	32
41	SKILL_TYPE	0
41001	A_SKILL	41
41002	B_SKILL	41
41003	C_SKILL	41
41004	D_SKILL	41
41005	S_SKILL	41
42	SKILL_PIECE_TYPE	0
42000	SKILL_PIECE	42
42001	A_SKILL_PIECE	42
42002	B_SKILL_PIECE	42
42003	C_SKILL_PIECE	42
42004	D_SKILL_PIECE	42
42005	S_SKILL_PIECE	42
50	EQUIP_TYPE	0
51001	A_WEAPON	50
51002	B_WEAPON	50
51003	C_WEAPON	50
51004	D_WEAPON	50
51005	S_WEAPON	50
52001	A_ARMOR	50
52002	B_ARMOR	50
52003	C_ARMOR	50
52004	D_ARMOR	50
52005	S_ARMOR	50
53001	A_ACCESSORIES	50
53002	B_ACCESSORIES	50
53003	C_ACCESSORIES	50
53004	D_ACCESSORIES	50
53005	S_ACCESSORIES	50
60	TOOLS_TYPE	0
61001	USER_TOOLS	60
70	INTERFACE_TYPE	0
71001	USER_INTERFACE	70
80	FRUIT_TYPE	0
80000	FRUIT_ALL	80
80001	A_FRUIT	80
80002	B_FRUIT	80
80003	C_FRUIT	80
80004	D_FRUIT	80
80005	S_FRUIT	80
81	ENERGYCORE_TYPE	0
81000	ENERGYCORE_ALL	81
81001	A_ENERGYCORE	81
81002	B_ENERGYCORE	81
81003	C_ENERGYCORE	81
81004	D_ENERGYCORE	81
81005	S_ENERGYCORE	81
82	FRUITSEED_TYPE	0
82000	FRUITSEED_ALL	82
82001	A_FRUITSEED	82
82002	B_FRUITSEED	82
82003	C_FRUITSEED	82
82004	D_FRUITSEED	82
82005	S_FRUITSEED	82
3001001	WOOD_TREASURE	3002001
3001002	COPPER_TREASURE	3002002
3001003	SILVER_TREASURE	3002003
3001004	GOLD_TREASURE	3002004
3002001	WOOD_KEY	0
3002002	COPPER_KEY	0
3002003	SILVER_KEY	0
3002004	GOLD_KEY	0
3003001	ANCIENT_TREASURE	0
2501001	HAIXIANFAN	0
2502001	JISUZHEN	0
2503001	TIAOZHANSHU	0
2	GIFTBOXPAGE	0
1101002	YINBEI	0
5002001	PUNCHHOLE	0
5002002	REMOVESTONE	0
70	WINE_TYPE	0
1501001	WINE_LANGMU	70
1501002	WINE_PUTAO	70
5004	ForgingMap_WEAPON	0
5005	ForgingMap_ARMOR	0
5006	ForgingMap_ACCESSORIES	0
62	PET_TYPE	0
62001	A_PET 	62
62002	B_PET 	62
62003	C_PET 	62
62004	D_PET 	62
62005	S_PET 	62
63	PET_SOUL_TYPE	0
63001	A_PET_SOUL	63
63002	B_PET_SOUL	63
63003	C_PET_SOUL	63
63004	D_PET_SOUL	63
63005	S_PET_SOUL	63
64	PET_SKILL_TYPE	0
64001	A_PET_SKILL	64
64002	B_PET_SKILL	64
64003	C_PET_SKILL	64
64004	D_PET_SKILL	64
64005	S_PET_SKILL	64
65	PET_SKILL_CHIP_TYPE	0
65001	A_PET_SKILL_CHIP	65
65002	B_PET_SKILL_CHIP	65
65003	C_PET_SKILL_CHIP	65
65004	D_PET_SKILL_CHIP	65
65005	S_PET_SKILL_CHIP	65
