﻿ID	原影子itemid	目标影子ItemId	消耗钻石数	消耗道具	数量限制
1	37:1	7	1500	61001:1101003:10	1000
2	22:1	5	1500	61001:1101003:10	1000
3	23:1	13	1500	61001:1101003:10	1000
4	9:1	14	1500	61001:1101003:10	1000
5	10:1	3	1500	61001:1101003:10	1000
6	11:1	203	2000	61001:1101003:15	1000
7	21:1	201	2000	61001:1101003:15	1000
8	30:1	2	1500	61001:1101003:10	1000
9	38:1	4	1500	61001:1101003:5	1000
10	41:1	19	1500	61001:1101003:10	1000
11	19:1	222	1500	61001:1101003:10	1000
12	25:1	18	1500	61001:1101003:10	1000
13	40:1	219	2000	61001:1101003:15	1000
14	36:1	220	1500	61001:1101003:15	1000
15	29:1	8	1500	61001:1101003:15	1000
16	27:1	12	1500	61001:1101003:15	1000
