船员ID	卡牌1	卡牌2	卡牌3	卡牌4	是否开放
3	32001:6:5	32001:3:1	32001:3:5	32001:3:10	1
6	32001:4:5	32001:6:1	32001:6:5	32001:6:10	1
8	32001:34:5	32001:8:1	32001:8:5	32001:8:10	1
10	32001:9:5	32001:10:1	32001:10:5	32001:10:10	1
11	32001:10:5	32001:11:1	32001:11:5	32001:11:10	1
13	32001:14:5	32001:13:1	32001:13:5	32001:13:10	1
14	32001:7:5	32001:14:1	32001:14:5	32001:14:10	1
18	32001:19:5	32001:18:1	32001:18:5	32001:18:10	1
21	32001:13:5	32001:21:1	32001:21:5	32001:21:10	1
22	32001:30:5	32001:22:1	32001:22:5	32001:22:10	1
23	32001:36:5	32001:23:1	32001:23:5	32001:23:10	1
24	32001:26:5	32001:24:1	32001:24:5	32001:24:10	1
26	32001:15:5	32001:26:1	32001:26:5	32001:26:10	1
27	32001:16:5	32001:27:1	32001:27:5	32001:27:10	1
28	32001:37:5	32001:28:1	32001:28:5	32001:28:10	1
29	32001:40:5	32001:29:1	32001:29:5	32001:29:10	1
30	32001:12:5	32001:30:1	32001:30:5	32001:30:10	1
31	32001:32:5	32001:31:1	32001:31:5	32001:31:10	1
32	32001:33:5	32001:32:1	32001:32:5	32001:32:10	1
33	32001:28:5	32001:33:1	32001:33:5	32001:33:10	1
36	32001:11:5	32001:36:1	32001:36:5	32001:36:10	1
39	32001:31:5	32001:39:1	32001:39:5	32001:39:10	1
40	32001:8:5	32001:40:1	32001:40:5	32001:40:10	1
