©D	名称	触发类别	触发条件	加成类型	属性提升额度	机缘描述
1	艾斯至亲	1	41#210#253#1253#2253	4	25	与路飞齐上阵,意志提升25%。
2	爱抽雪茄	1	73#298#299#1299#2298	4	25	与斯摩格齐上阵,意志提升25%。
3	暗恋署长	1	22	1	20	与麦哲伦齐上阵,血量提升20%。
4	七星剑	3	4#110#226#227#228#267#268#269#270#271	2	29	装备七星剑,攻击提升29%。
5	霸者之兵	3	2#108#220#221#222#277#290#291#292#293	2	26	装备王者薙刀,攻击提升26%。
6	逼入绝境	1	201#228#1228	3	28	与罗杰齐上阵,防御提升28%。
7	白胡子老爹	1	2#230#1230	1	20	与白胡子齐上阵,血量提升20%。
8	白铁合体	1	193	2	18	与杰斯齐上阵,攻击提升18%。
9	白铁合体	1	168	2	18	与克罗马利蒙齐上阵,攻击提升18%。
10	百年对手	1	104	2	23	与布洛基齐上阵,攻击提升23%。
11	百年对手	1	103	2	23	与东利齐上阵,攻击提升23%。
12	百年约定	1	169	4	19	与文布兰·库力克齐上阵,意志提升19%。
13	颁布屠魔令	1	60#217#258#1258	1	33	与妮可罗宾齐上阵,血量提升33%。
14	伴随左右	1	26#266#1266#2266	3	17	与克洛克达尔齐上阵,防御提升17%。
15	宝刀不老	1	4#236#1236_6#240#1240	3	23	与战国、雷利齐上阵,防御提升23%。
16	宝刀不老	1	3#231#1231_6#240#1240	2	29	与卡普、雷利齐上阵,攻击提升29%。
17	宝刀不老	1	4#236#1236_3#231#1231	2	29	与战国、卡普齐上阵,攻击提升29%。
18	保护鱼人岛	1	2#230#1230	3	23	与白胡子齐上阵,防御提升23%。
19	暴虐恶名	1	30#249#1249	1	20	与雨之希留齐上阵,血量提升20%。
20	爆裂杀球	1	194	1	15	与汉堡齐上阵,血量提升15%。
21	爆炸头	1	61#218#271#1271#2271	1	20	与布鲁克齐上阵,血量提升29%。
22	爆炸头	1	150	1	20	与福克斯齐上阵,血量提升20%。
23	爆炸头	1	4#236#1236	1	20	与战国齐上阵,血量提升20%。
24	贝雷帽	3	58	3	19	装备贝雷帽,防御提升19%。
25	被除名	1	39#277#1277	1	15	与罗布·路奇齐上阵,血量提升15%。
26	被盯上了	1	26#266#1266#2266	1	20	与克洛克达尔齐上阵,血量提升20%。
27	被击败	1	22	3	23	与麦哲伦齐上阵,防御提升23%。
28	本垒打	3	34	2	20	装备球棒,攻击提升20%。
29	绷带骷髅	1	112	3	21	与T·本恩齐上阵,防御提升21%。
30	冰河时代	2	14#1014	2	18	装备冰河时代技能,攻击提升18%。
31	冰天雪地	1	65#211#259#1259#2259	4	29	与娜美齐上阵,意志提升29%。
32	冰雪魔女	1	91	4	25	与莫奈齐上阵,意志提升25%。
33	博士实验	1	58	2	28	与战桃丸齐上阵,攻击提升28%。
34	不可斩断	1	53#212#256#1256#2256	2	18	与索隆齐上阵,攻击提升18%。
35	不灭梦魇	1	13#235#1235#2235	1	22	与凯多齐上阵,血量提升22%。
36	不灭梦魇	1	27#267#1301	4	20	与莫利亚齐上阵,意志提升20%。
37	不屈意志	1	41#210#253#1253#2253	3	18	与路飞齐上阵,防御提升18%。
38	不死鸟	1	18#278#1278	1	16	与马尔科齐上阵,血量提升16%。
39	部下之子	1	64#215#262#1262	1	24	与乌索普齐上阵,血量提升24%。
40	残忍杀害	1	27#267#1301	3	20	与莫利亚齐上阵,防御提升20%。
41	惨遭暗算	1	106	4	25	与Mr.3齐上阵,意志提升25%。
42	草帽厨师	1	59#213#257#1257#2257	1	23	与香吉士齐上阵,血量提升23%。
43	草帽船长	1	41#210#253#1253#2253	3	28	与路飞齐上阵,防御提升28%。
44	草帽航海士	1	65#211#259#1259#2259	1	25	与娜美齐上阵,血量提升25%。
45	草帽剑客	1	53#212#256#1256#2256	4	23	与索隆齐上阵,意志提升23%。
46	草帽乐队	1	61#218#271#1271#2271	2	28	与布鲁克齐上阵,攻击提升28%。
47	草帽乐队	1	62#216#261#1261#2261	4	25	与弗兰奇齐上阵,意志提升25%。
48	草帽双姝	1	65#211#259#1259#2259	4	25	与娜美齐上阵,意志提升25%。
49	草帽双姝	1	60#217#258#1258	4	20	与妮可罗宾齐上阵,意志提升20%。
50	草帽约定	1	41#210#253#1253#2253	2	30	与路飞齐上阵,攻击提升30%。
51	草帽约定	1	7#241#1241	2	21	与香克斯齐上阵,攻击提升21%。
52	草帽战斗员	1	53#212#256#1256#2256	2	22	与索隆齐上阵,攻击提升22%。
53	曾经的敌人	1	2#230#1230	4	28	与白胡子齐上阵,意志提升28%。
54	曾经的朋友	1	16#263	3	26	与熊齐上阵,防御提升26%。
55	曾经挚友	1	38#287#1287	3	30	与伊万科夫齐上阵,防御提升30%。
56	超低悬赏	1	63#214#260#1260	3	18	与乔巴齐上阵,防御提升18%。
57	超长射程	3	13#119	2	23	装备狙击火枪,攻击提升23%。
58	承受重伤	1	162	1	14	与Mr.5齐上阵,血量提升14%。
59	最强之刃	3	1#107#217#218#219#262#263#264#265#266	2	30	装备黑刀夜,攻击提升30%。
60	持续追捕	1	41#210#253#1253#2253	1	20	与路飞齐上阵,血量提升20%。
61	持有影子	1	41#210#253#1253#2253	2	23	与路飞齐上阵,攻击提升23%。
62	宠物跟班	1	111	3	27	与贝波齐上阵,防御提升27%。
63	仇人之子	1	19#251#1251#2251	1	20	与艾斯齐上阵,血量提升20%。
64	踌躇之桥	1	41#210#253#1253#2253	1	14	与路飞齐上阵,血量提升14%。
65	初次交锋	1	36#250#1250	2	25	与乌尔基齐上阵,防御提升25%。
66	初次交锋	1	31#254#1254	3	28	与基拉齐上阵,防御提升28%。
67	厨师帽	3	63	3	23	装备厨师帽,防御提升23%。
68	处刑竞技	1	41#210#253#1253#2253	3	23	与路飞齐上阵,防御提升23%。
69	处刑竞技	1	41#210#253#1253#2253	3	23	与路飞齐上阵,防御提升23%。
70	处刑人	3	60	3	21	装备海贼披风,防御提升21%。
71	处于下风	1	48	3	23	与大麦町齐上阵,防御提升23%。
72	传送攻击	1	16#263	2	23	与熊齐上阵,攻击提升23%。
73	船厂秘书	1	174	4	25	与冰山齐上阵,意志提升25%。
74	船厂兄弟	1	62#216#261#1261#2261	3	18	与弗兰奇齐上阵,防御提升18%。
75	船长副手	1	109	1	15	与克洛船长齐上阵,血量提升15%。
76	十字项链	3	68#139#169#170#171#289#338#339#340#341	2	21	装备十字挂饰，攻击提升21%。
77	催眠师	1	155	2	18	与赞高齐上阵,攻击提升18%。
78	打伤船员	1	145	4	25	与罗西欧齐上阵,意志提升25%。
79	大匕首	3	22	2	17	装备廓尔喀弯刀,攻击提升17%。
80	A.S.L	1	222#255#1300	3	27	与萨博齐上阵,防御提升27%。
81	大斗笠	1	19#251#1251#2251	3	27	与艾斯齐上阵,防御提升27%。
82	大捆绑	1	38#287#1287	2	23	与伊万科夫齐上阵,攻击提升23%。
83	大老板	1	26#266#1266#2266	1	20	与克洛克达尔齐上阵,血量提升20%。
