id	名称
111	Android_Youai
0	Android_Default
1	Android_91
2	Android_UC
3	Android_360
4	Android_DangLe
5	Android_XiaoMi
6	Android_WanDouJia
7	Android_BaiduDuoKu
8	Android_BaiduAppCenter
9	Android_AndroidMarket91
10	Android_KuWo
11	Android_FeiLiu
12	Android_JiFeng
13	Android_AnZhi
14	Android_RenRen
15	Android_Sina
16	Android_Game4399
17	Android_YingYongHui
23	Android_JinShan
24	Android_BaiDuGame
25	Android_LvDouGame
26	Android_Oppo
27	Android_ChuKong
28	Android_XunLei
29	Android_GTV
30	Android_KuGou
31	Android_HuaWei
32	Android_SouGou
33	Android_BaiDuMobile
34	Android_CMGE
35	Android_YouaiYdmm
36	Android_PiPaw
37	Android_YouaiLenov
38	Android_YouaiNduoa
39	Android_Sjyx
40	Android_OuPeng
41	Android_YouaiMeizu
42	Android_37ww
43	Android_Keke
44	Android_YouaiLenoq
46	Android_Youai189wo
47	Android_37wan
48	Android_Zhuoran
49	Android_Jinli
50	Android_2324
51	Android_51
52	Android_Mumayi
53	Android_YouaiGGTW
54	Android_YouaiGGXMT
55	Android_YouaiThai
56	Android_YouaiGGWS
57	Android_Vivo
58	Android_YouaiGGTop
59	Android_MengChengHuDong
60	Android_Openqq
61	Android_EloveGame
62	Android_YouaiGGZH
63	Android_YouaiYingYu
64	Android_Youaikorean
65	Android_Youaiggbw
66	Android_Amazon
67	Android_Coolpay
68	Android_MiPad
69	Android_YouaiGgfb
70	Android_YouaiGash
73	Android_Qitian
75	Android_YouaiCard
76	Android_YouaiBlueStack
77	Android_Nduo2
78	Android_YouLong
89	Android_Doudou
133	Android_AnZhiGG
200	WPStore
