ID	人物名称	人物品质	角色阵营	人物说明	默认技能	初始血量	初始攻击力	初始防御力	初始内力	初始经验值	人物机缘1	人物机缘2	人物机缘3	人物机缘4	人物机缘5	人物机缘6	是否显示	Icom图片路径	海报图片路径	名字图片路径	背景图片路径	战斗图片	音效	orderId	潜力成长值	能否觉醒	觉醒后id	觉醒需求等级	觉醒需求突破等级	觉醒需求觉醒药剂	使用能量药剂数量
41	路飞	1	1	草帽海贼团船长，头戴草帽，乐观善良、天真单纯，立志成为海贼王；喜欢探险，最爱吃肉。	26	175	158	68	145	180	426	52	42	44	51	571	1	members/head_char_lufei.png	person/poster_char_lufei.png	chartex/tex_char_lufei.png	card04	person/poster_char_lufei.png	sound/lufei.mp3	43	35	1	210	80	3	45	20
53	索隆	2	1	草帽海贼团副船长、剑士，腰带上佩三把刀，自称三刀流剑客，欲成为世界第一剑客。	27	170	155	60	140	136	43	433	352	334	601	59	1	members/head_char_suolong.png	person/poster_char_suolong.png	chartex/tex_char_suolong.png	card04	person/poster_char_suolong.png	sound/suolong.mp3	55	15	1	212	80	3	40	10
59	香吉士	2	1	草帽海贼团厨师，金发卷眉，香烟不离口，海贼中的绅士，一见到美女战斗力为零的家伙。	28	170	130	75	150	136	43	318	204	584	393	118	1	members/head_char_xiangjishi.png	person/poster_char_xiangjishi.png	chartex/tex_char_xiangjishi.png	card02	person/poster_char_xiangjishi.png	sound/xiangjishi.mp3	61	15	1	213	80	3	40	10
60	妮可罗宾	2	1	草帽海贼团团员，是个天才考古学家，拥有着花花恶魔果实的能力者。	35	180	124	66	160	136	43	351	48	315	418	520	1	members/head_char_luobin.png	person/poster_char_luobin.png	chartex/tex_char_luobin.png	card03	person/poster_char_luobin.png	sound/luobin.mp3	62	15	1	217	80	3	40	10
61	布鲁克	2	1	草帽海贼团音乐家，因为吃了黄泉果实，死后复活过一次。梦想到达伟大航道的尽头。	36	188	120	68	150	136	43	23	47	45	603	166	1	members/head_char_buluke.png	person/poster_char_buluke.png	chartex/tex_char_buluke.png	card02	person/poster_char_buluke.png	sound/buluke.mp3	63	15	1	218	80	3	20	10
62	弗兰奇	2	1	草帽海贼团船匠，身为改造人。传说中的船匠托姆的其中一位徒弟。	34	189	129	65	150	140	43	46	532	542	233	565	1	members/head_char_folanqi.png	person/poster_char_folanqi.png	chartex/tex_char_folanqi.png	card04	person/poster_char_folanqi.png	sound/folanqi.mp3	64	15	1	216	80	3	20	10
63	乔巴	2	1	草帽海贼团船医，吃了人人果实的驯鹿能力者，人人驯鹿。	31	213	129	59	138	136	43	147	361	188	388	477	1	members/head_char_qiaoba.png	person/poster_char_qiaoba.png	chartex/tex_char_qiaoba.png	card03	person/poster_char_qiaoba.png	sound/qiaoba.mp3	65	15	1	214	80	3	20	10
64	乌索普	2	1	草帽海贼团狙击手，曾是出一名的吹牛大王，但人比较善良，梦想是要成为勇敢的海上战士。	29	195	131	62	146	136	43	148	533	141	643	93	1	members/head_char_wusuopu.png	person/poster_char_wusuopu.png	chartex/tex_char_wusuopu.png	card04	person/poster_char_wusuopu.png	sound/wusuopu.mp3	66	15	1	215	80	3	30	10
65	娜美	2	1	草帽海贼团航海士，精通气象学和航海术，头脑聪明又机灵，能用身体感知天气。	25	170	130	60	165	136	43	213	49	335	390	499	1	members/head_char_namei.png	person/poster_char_namei.png	chartex/tex_char_namei.png	card03	person/poster_char_namei.png	sound/namei.mp3	67	15	1	211	80	3	40	10
210	2年后路飞	1	1	草帽海贼团船长，头戴草帽，乐观善良、天真单纯，立志成为海贼王；喜欢探险，最爱吃肉。	26	212	182	80	290	184	426	52	42	44	51	571	1	members/head_char_lufei2.png	person/poster_char_lufei2.png	chartex/tex_char_lufei2.png	card04	person/poster_char_lufei2.png	sound/lufei.mp3	210	36	0	0	0	0	0	0
211	2年后娜美	1	1	草帽海贼团航海士，精通气象学和航海术，头脑聪明又机灵，能用身体感知天气。	25	200	160	78	322	188	43	213	49	335	390	499	1	members/head_char_namei2.png	person/poster_char_namei2.png	chartex/tex_char_namei2.png	card03	person/poster_char_namei2.png	sound/namei.mp3	211	33	0	0	0	0	0	0
212	2年后索隆	1	1	草帽海贼团副船长、剑士，腰带上佩三把刀，自称三刀流剑客，欲成为世界第一剑客。	27	205	175	75	290	184	43	433	352	334	601	59	1	members/head_char_suolong2.png	person/poster_char_suolong2.png	chartex/tex_char_suolong2.png	card04	person/poster_char_suolong2.png	sound/suolong.mp3	212	35	0	0	0	0	0	0
