id	开关	名称
111	0	Android_Youai
0	0	Android_Default
1	1	Android_91
2	1	Android_UC
3	1	Android_360
4	0	Android_DangLe
5	1	Android_XiaoMi
6	1	Android_WanDouJia
7	0	Android_BaiduDuoKu
8	0	Android_BaiduAppCenter
9	0	Android_AndroidMarket91
10	0	Android_KuWo
11	1	Android_FeiLiu
12	0	Android_JiFeng
13	0	Android_AnZhi
14	0	Android_RenRen
15	1	Android_Sina
16	1	Android_Game4399
17	0	Android_YingYongHui
26	1	Android_Oppo
27	0	Android_ChuKong
37	1	Android_YouaiLenov
44	1	Android_YouaiLenoq
47	1	Android_37wan
53	0	Android_YouaiGGTW
54	0	Android_YouaiGGXMT
55	0	Android_YouaiThai
56	0	Android_YouaiGGWS
57	0	Android_Vivo
58	0	Android_YouaiGGTop
59	0	Android_MengChengHuDong
60	0	Android_Openqq
62	0	Android_YouaiGGZH
63	0	Android_YouaiYingYu
64	0	Android_Youaikorean
65 	0	Android_Youaiggbw
68	1	Android_MiPad
78	0	Android_YouLong
89	0	Android_Doudou
