战斗id	本服淘汰赛参与奖励	本服胜者组16强奖励	本服胜者组8强奖励	本服胜者组4强奖励	本服胜者组2强奖励	本服胜者组1强奖励	本服败者组16强奖励	本服败者组8强奖励	本服败者组4强奖励	本服败者组2强奖励	本服败者组1强奖励	跨服淘汰赛参与奖励	跨服胜者组16强奖励	跨服胜者组8强奖励	跨服胜者组4强奖励	跨服胜者组2强奖励	跨服胜者组1强奖励	跨服败者组16强奖励	跨服败者组8强奖励	跨服败者组4强奖励	跨服败者组2强奖励	跨服败者组1强奖励	跨服冠军服奖励
1	11001:1002:2000000,61001:1502001:30	11001:1002:50000000,61001:4006001:10	11001:1002:80000000,61001:4006001:15	11001:1002:150000000,61001:4006001:30,61001:5001082:1	11001:1002:300000000,61001:4006001:40,61001:5001082:1	11001:1002:500000000,61001:4006001:50,61001:5001082:2	11001:1002:20000000,61001:4006001:5	11001:1002:40000000,61001:4006001:10	11001:1002:60000000,61001:4006001:15	11001:1002:80000000,61001:4006001:20	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:10000000,61001:1502001:200,61001:5003001:5	11001:1002:500000000,61001:5001081:1,61001:5003007:5	11001:1002:800000000,61001:5003006:1,61001:5001081:1,61001:5003007:15	11001:1002:1000000000,61001:5003006:1,61001:5001081:2,61001:5003007:30	11001:1002:1500000000,61001:5003006:3,61001:5001081:4,61001:5003007:40	11001:1002:2000000000,61001:5003006:5,61001:5001081:8,61001:5003007:80	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:200000000,61001:4006001:30,61001:5001082:1,61001:5003007:10	11001:1002:500000000,61001:4006001:40,61001:5001082:2,61001:5003007:20	11001:1002:800000000,61001:5003006:1,61001:5001082:4,61001:5003007:30	11001:1002:1000000000,61001:5003006:1,61001:5001082:8,61001:5003007:40	11001:1001:30000,61001:1101015:50,61001:2507002:40
2	11001:1002:2000000,61001:1502001:30	11001:1002:50000000,61001:4006001:10	11001:1002:80000000,61001:4006001:15	11001:1002:150000000,61001:4006001:30,61001:5001082:1	11001:1002:300000000,61001:4006001:40,61001:5001082:1	11001:1002:500000000,61001:4006001:50,61001:5001082:2	11001:1002:20000000,61001:4006001:5	11001:1002:40000000,61001:4006001:10	11001:1002:60000000,61001:4006001:15	11001:1002:80000000,61001:4006001:20	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:10000000,61001:1502001:200,61001:5003001:5	11001:1002:500000000,61001:5001081:1,61001:5003007:5	11001:1002:800000000,61001:5003006:1,61001:5001081:1,61001:5003007:15	11001:1002:1000000000,61001:5003006:1,61001:5001081:2,61001:5003007:30	11001:1002:1500000000,61001:5003006:3,61001:5001081:4,61001:5003007:40	11001:1002:2000000000,61001:5003006:5,61001:5001081:8,61001:5003007:80	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:200000000,61001:4006001:30,61001:5001082:1,61001:5003007:10	11001:1002:500000000,61001:4006001:40,61001:5001082:2,61001:5003007:20	11001:1002:800000000,61001:5003006:1,61001:5001082:4,61001:5003007:30	11001:1002:1000000000,61001:5003006:1,61001:5001082:8,61001:5003007:40	11001:1001:30000,61001:1101015:50,61001:2507002:40
3	11001:1002:2000000,61001:1502001:30	11001:1002:50000000,61001:4006001:10	11001:1002:80000000,61001:4006001:15	11001:1002:150000000,61001:4006001:30,61001:5001082:1	11001:1002:300000000,61001:4006001:40,61001:5001082:1	11001:1002:500000000,61001:4006001:50,61001:5001082:2	11001:1002:20000000,61001:4006001:5	11001:1002:40000000,61001:4006001:10	11001:1002:60000000,61001:4006001:15	11001:1002:80000000,61001:4006001:20	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:10000000,61001:1502001:200,61001:5003001:5	11001:1002:500000000,61001:5001081:1,61001:5003007:5	11001:1002:800000000,61001:5003006:1,61001:5001081:1,61001:5003007:15	11001:1002:1000000000,61001:5003006:1,61001:5001081:2,61001:5003007:30	11001:1002:1500000000,61001:5003006:3,61001:5001081:4,61001:5003007:40	11001:1002:2000000000,61001:5003006:5,61001:5001081:8,61001:5003007:80	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:200000000,61001:4006001:30,61001:5001082:1,61001:5003007:10	11001:1002:500000000,61001:4006001:40,61001:5001082:2,61001:5003007:20	11001:1002:800000000,61001:5003006:1,61001:5001082:4,61001:5003007:30	11001:1002:1000000000,61001:5003006:1,61001:5001082:8,61001:5003007:40	11001:1001:30000,61001:1101015:50,61001:2507002:40
4	11001:1002:2000000,61001:1502001:30	11001:1002:50000000,61001:4006001:10	11001:1002:80000000,61001:4006001:15	11001:1002:150000000,61001:4006001:30,61001:5001082:1	11001:1002:300000000,61001:4006001:40,61001:5001082:1	11001:1002:500000000,61001:4006001:50,61001:5001082:2	11001:1002:20000000,61001:4006001:5	11001:1002:40000000,61001:4006001:10	11001:1002:60000000,61001:4006001:15	11001:1002:80000000,61001:4006001:20	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:10000000,61001:1502001:200,61001:5003001:5	11001:1002:500000000,61001:5001081:1,61001:5003007:5	11001:1002:800000000,61001:5003006:1,61001:5001081:1,61001:5003007:15	11001:1002:1000000000,61001:5003006:1,61001:5001081:2,61001:5003007:30	11001:1002:1500000000,61001:5003006:3,61001:5001081:4,61001:5003007:40	11001:1002:2000000000,61001:5003006:5,61001:5001081:8,61001:5003007:80	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:200000000,61001:4006001:30,61001:5001082:1,61001:5003007:10	11001:1002:500000000,61001:4006001:40,61001:5001082:2,61001:5003007:20	11001:1002:800000000,61001:5003006:1,61001:5001082:4,61001:5003007:30	11001:1002:1000000000,61001:5003006:1,61001:5001082:8,61001:5003007:40	11001:1001:30000,61001:1101015:50,61001:2507002:40
5	11001:1002:2000000,61001:1502001:30	11001:1002:50000000,61001:4006001:10	11001:1002:80000000,61001:4006001:15	11001:1002:150000000,61001:4006001:30,61001:5001082:1	11001:1002:300000000,61001:4006001:40,61001:5001082:1	11001:1002:500000000,61001:4006001:50,61001:5001082:2	11001:1002:20000000,61001:4006001:5	11001:1002:40000000,61001:4006001:10	11001:1002:60000000,61001:4006001:15	11001:1002:80000000,61001:4006001:20	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:10000000,61001:1502001:200,61001:5003001:5	11001:1002:500000000,61001:5001081:1,61001:5003007:5	11001:1002:800000000,61001:5003006:1,61001:5001081:1,61001:5003007:15	11001:1002:1000000000,61001:5003006:1,61001:5001081:2,61001:5003007:30	11001:1002:1500000000,61001:5003006:3,61001:5001081:4,61001:5003007:40	11001:1002:2000000000,61001:5003006:5,61001:5001081:8,61001:5003007:80	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:200000000,61001:4006001:30,61001:5001082:1,61001:5003007:10	11001:1002:500000000,61001:4006001:40,61001:5001082:2,61001:5003007:20	11001:1002:800000000,61001:5003006:1,61001:5001082:4,61001:5003007:30	11001:1002:1000000000,61001:5003006:1,61001:5001082:8,61001:5003007:40	11001:1001:30000,61001:1101015:50,61001:2507002:40
6	11001:1002:2000000,61001:1502001:30	11001:1002:50000000,61001:4006001:10	11001:1002:80000000,61001:4006001:15	11001:1002:150000000,61001:4006001:30,61001:5001082:1	11001:1002:300000000,61001:4006001:40,61001:5001082:1	11001:1002:500000000,61001:4006001:50,61001:5001082:2	11001:1002:20000000,61001:4006001:5	11001:1002:40000000,61001:4006001:10	11001:1002:60000000,61001:4006001:15	11001:1002:80000000,61001:4006001:20	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:10000000,61001:1502001:200,61001:5003001:5	11001:1002:500000000,61001:5001081:1,61001:5003007:5	11001:1002:800000000,61001:5003006:1,61001:5001081:1,61001:5003007:15	11001:1002:1000000000,61001:5003006:1,61001:5001081:2,61001:5003007:30	11001:1002:1500000000,61001:5003006:3,61001:5001081:4,61001:5003007:40	11001:1002:2000000000,61001:5003006:5,61001:5001081:8,61001:5003007:80	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:200000000,61001:4006001:30,61001:5001082:1,61001:5003007:10	11001:1002:500000000,61001:4006001:40,61001:5001082:2,61001:5003007:20	11001:1002:800000000,61001:5003006:1,61001:5001082:4,61001:5003007:30	11001:1002:1000000000,61001:5003006:1,61001:5001082:8,61001:5003007:40	11001:1001:30000,61001:1101015:50,61001:2507002:40
7	11001:1002:2000000,61001:1502001:30	11001:1002:50000000,61001:4006001:10	11001:1002:80000000,61001:4006001:15	11001:1002:150000000,61001:4006001:30,61001:5001082:1	11001:1002:300000000,61001:4006001:40,61001:5001082:1	11001:1002:500000000,61001:4006001:50,61001:5001082:2	11001:1002:20000000,61001:4006001:5	11001:1002:40000000,61001:4006001:10	11001:1002:60000000,61001:4006001:15	11001:1002:80000000,61001:4006001:20	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:10000000,61001:1502001:200,61001:5003001:5	11001:1002:500000000,61001:5001081:1,61001:5003007:5	11001:1002:800000000,61001:5003006:1,61001:5001081:1,61001:5003007:15	11001:1002:1000000000,61001:5003006:1,61001:5001081:2,61001:5003007:30	11001:1002:1500000000,61001:5003006:3,61001:5001081:4,61001:5003007:40	11001:1002:2000000000,61001:5003006:5,61001:5001081:8,61001:5003007:80	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:200000000,61001:4006001:30,61001:5001082:1,61001:5003007:10	11001:1002:500000000,61001:4006001:40,61001:5001082:2,61001:5003007:20	11001:1002:800000000,61001:5003006:1,61001:5001082:4,61001:5003007:30	11001:1002:1000000000,61001:5003006:1,61001:5001082:8,61001:5003007:40	11001:1001:30000,61001:1101015:50,61001:2507002:40
8	11001:1002:2000000,61001:1502001:30	11001:1002:50000000,61001:4006001:10	11001:1002:80000000,61001:4006001:15	11001:1002:150000000,61001:4006001:30,61001:5001082:1	11001:1002:300000000,61001:4006001:40,61001:5001082:1	11001:1002:500000000,61001:4006001:50,61001:5001082:2	11001:1002:20000000,61001:4006001:5	11001:1002:40000000,61001:4006001:10	11001:1002:60000000,61001:4006001:15	11001:1002:80000000,61001:4006001:20	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:10000000,61001:1502001:200,61001:5003001:5	11001:1002:500000000,61001:5001081:1,61001:5003007:5	11001:1002:800000000,61001:5003006:1,61001:5001081:1,61001:5003007:15	11001:1002:1000000000,61001:5003006:1,61001:5001081:2,61001:5003007:30	11001:1002:1500000000,61001:5003006:3,61001:5001081:4,61001:5003007:40	11001:1002:2000000000,61001:5003006:5,61001:5001081:8,61001:5003007:80	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:200000000,61001:4006001:30,61001:5001082:1,61001:5003007:10	11001:1002:500000000,61001:4006001:40,61001:5001082:2,61001:5003007:20	11001:1002:800000000,61001:5003006:1,61001:5001082:4,61001:5003007:30	11001:1002:1000000000,61001:5003006:1,61001:5001082:8,61001:5003007:40	11001:1001:30000,61001:1101015:50,61001:2507002:40
9	11001:1002:2000000,61001:1502001:30	11001:1002:50000000,61001:4006001:10	11001:1002:80000000,61001:4006001:15	11001:1002:150000000,61001:4006001:30,61001:5001082:1	11001:1002:300000000,61001:4006001:40,61001:5001082:1	11001:1002:500000000,61001:4006001:50,61001:5001082:2	11001:1002:20000000,61001:4006001:5	11001:1002:40000000,61001:4006001:10	11001:1002:60000000,61001:4006001:15	11001:1002:80000000,61001:4006001:20	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:10000000,61001:1502001:200,61001:5003001:5	11001:1002:500000000,61001:5001081:1,61001:5003007:5	11001:1002:800000000,61001:5003006:1,61001:5001081:1,61001:5003007:15	11001:1002:1000000000,61001:5003006:1,61001:5001081:2,61001:5003007:30	11001:1002:1500000000,61001:5003006:3,61001:5001081:4,61001:5003007:40	11001:1002:2000000000,61001:5003006:5,61001:5001081:8,61001:5003007:80	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:200000000,61001:4006001:30,61001:5001082:1,61001:5003007:10	11001:1002:500000000,61001:4006001:40,61001:5001082:2,61001:5003007:20	11001:1002:800000000,61001:5003006:1,61001:5001082:4,61001:5003007:30	11001:1002:1000000000,61001:5003006:1,61001:5001082:8,61001:5003007:40	11001:1001:30000,61001:1101015:50,61001:2507002:40
10	11001:1002:2000000,61001:1502001:30	11001:1002:50000000,61001:4006001:10	11001:1002:80000000,61001:4006001:15	11001:1002:150000000,61001:4006001:30,61001:5001082:1	11001:1002:300000000,61001:4006001:40,61001:5001082:1	11001:1002:500000000,61001:4006001:50,61001:5001082:2	11001:1002:20000000,61001:4006001:5	11001:1002:40000000,61001:4006001:10	11001:1002:60000000,61001:4006001:15	11001:1002:80000000,61001:4006001:20	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:10000000,61001:1502001:200,61001:5003001:5	11001:1002:500000000,61001:5001081:1,61001:5003007:5	11001:1002:800000000,61001:5003006:1,61001:5001081:1,61001:5003007:15	11001:1002:1000000000,61001:5003006:1,61001:5001081:2,61001:5003007:30	11001:1002:1500000000,61001:5003006:3,61001:5001081:4,61001:5003007:40	11001:1002:2000000000,61001:5003006:5,61001:5001081:8,61001:5003007:80	11001:1002:100000000,61001:4006001:25,61001:5001082:1	11001:1002:200000000,61001:4006001:30,61001:5001082:1,61001:5003007:10	11001:1002:500000000,61001:4006001:40,61001:5001082:2,61001:5003007:20	11001:1002:800000000,61001:5003006:1,61001:5001082:4,61001:5003007:30	11001:1002:1000000000,61001:5003006:1,61001:5001082:8,61001:5003007:40	11001:1001:30000,61001:1101015:50,61001:2507002:40
