ID	名称	触发条件	加成类型	属性提升额度
1	震震果实	2,12,230,238	2	23
2	人人果实	4,236	2	18
3	风风果实	5,233	2	22
4	岩浆果实	9,237	2	23
5	冰冻果实	10,242	3	23
6	闪闪果实	11,244	2	19
7	黑暗果实	12,238	2	18
8	幻兽果实	13,235	2	23
9	酸酸果实	14,234	3	22
10	线线果实	15,247	3	21
11	肉球果实	16,263	3	19
12	幻兽果实	18	2	23
13	烧烧果实	19,222,251,255	2	20
14	磁铁果实	20,252	2	20
15	手术果实	21	3	22
16	毒毒果实	22	3	19
17	响雷果实	23,248	2	22
18	甜甜果实	25,265	2	22
19	沙沙果实	26,266	2	20
20	影影果实	27,267	4	23
21	娃娃果实	28	2	17
22	恐龙果实	29	3	20
23	城堡果实	32	2	20
24	时间果实	33	3	20
25	钻石果实	34	3	20
26	沼泽果实	35	3	16
27	换换果实	36,250	3	20
28	音波果实	37	3	20
29	荷尔蒙果实	38	3	17
30	猫猫果实	39	3	18
31	橡胶果实	41,210,253	3	25
32	犬犬果实	48	3	11
33	千里眼果实	none	none	none
34	黄泉果实	61,218,271	3	11
35	人人果实	63,214,260	2	12
36	剪剪果实	66	2	11
37	幽灵果实	72	1	9
38	烟雾果实	73	2	11
39	瓦斯果实	76	2	11
40	牛牛果实	77	2	11
41	犬犬果实	78	2	11
42	鸟鸟果实	81	1	9
43	槌槌果实	86	3	11
44	槛槛果实	88	2	11
45	四分五裂果实	90	3	10
46	雪雪果实	91	2	11
47	透明果实	93	3	11
48	门门果实	95	3	11
49	泡泡果实	96	2	11
50	洗洗果实	99	1	9
51	蛇蛇果实	100	1	9
52	蛇蛇果实	101	1	9
53	模仿果实	105	2	11
54	融化果实	106	1	9
55	快斩果实	115	3	8
56	锈锈果实	119	3	8
57	豆豆果实	120	2	8
58	鸟鸟果实	126	3	11
59	象象果实	139	3	7
60	弹簧果实	141	2	8
61	迟缓果实	150	2	7
62	溜溜果实	152	2	7
63	犬犬果实	156	3	11
64	牛牛果实	157	2	11
65	公斤果实	158	2	8
66	荆棘果实	159	3	7
67	炸弹果实	162	2	7
68	犬犬果实	163	3	11
69	吞吞果实	166	2	8
70	屏障果实	205	1	17
71	靶靶果实	208	2	15
72	花花果实	60,217,258	3	20
73	滕蔓果实	none	none	none
74	霸者之魂	7,241	2	22
75	变色龙果实	none	none	none
76	蒲公英果实	none	none	none
77	镜子果实	none	none	none
78	水流果实	none	none	none
79	分身果实	none	none	none
80	纸纸果实	none	none	none
81	酒酒果实	none	none	none
82	分析果实	none	none	none
83	传送果实	none	none	none
84	长长果实	none	none	none
85	螳螂果实	none	none	none
86	猫猫果实	none	none	none
87	九尾狐果实	none	none	none
88	神速果实	none	none	none
89	暂停果实	none	none	none
90	颠倒果实	none	none	none
91	向日葵果实	none	none	none
92	嫉妒果实	none	none	none
93	惊吓果实	none	none	none
94	月光果实	none	none	none
95	预言果实	none	none	none
96	拟声果实	none	none	none
97	铁拳之爱	3,231	3	22
98	冥王	6,240	2	21
99	鹰之眼	8,239	2	23
100	狙击之魂	17	2	19
101	大海之子	24,264	3	20
102	剑客之魂	30,249	2	19
103	杀手之魂	31,254	2	20
104	花之剑	40	2	18
105	神偷之心	65,211,259	3	20
106	剑之尊严	53,212,256	2	21
107	力量之魂	59,213,257	3	20
108	可乐能量	62,216,261	3	19
109	狙击之魂	64,215,262	2	22
110	海皇之魂	203,229	3	23
111	人鱼之王	206,243	2	20
112	激素	1,272	2	25
113	王者之魂	201,228	3	24
114	钢骨元帅	219	3	20
115	白马之魂	223,268	3	20
116	斗牛之魂	220,245	3	22
117	海王之魂	206,243	3	23
118	铁椎之魂	204,270	3	24
119	重力果实	221,246	3	21
120	嗜鲨之魂	207,269	3	23
121	疯狂之力	none	2	25
122	疯狂之体	none	3	25
123	定制果实攻	none	2	50
124	定制果实防	none	3	50
200	震震果实	2,12,230,238	2	28
201	人人果实	4,236	2	23
202	风风果实	5,233	2	27
203	岩浆果实	9,237	2	28
204	冰冻果实	10,242	3	28
205	闪闪果实	11,244	2	24
206	黑暗果实	12,238	2	23
207	幻兽果实	13,235	2	28
208	酸酸果实	14,234	3	27
209	线线果实	15,247	3	26
210	肉球果实	16,263	3	26
211	幻兽果实	18	2	28
212	烧烧果实	19,222,251,255	2	25
213	磁铁果实	20,252	2	25
214	手术果实	21	3	25
215	毒毒果实	22	2	24
216	响雷果实	23,248	2	27
217	甜甜果实	25,265	2	27
218	沙沙果实	26,266	2	25
219	影影果实	27,267	3	22
220	娃娃果实	28	2	22
221	恐龙果实	29	1	21
222	城堡果实	32	2	24
223	时间果实	33	1	20
224	钻石果实	34	3	25
225	沼泽果实	35	3	21
226	换换果实	36,250	3	22
227	音波果实	37	1	19
228	荷尔蒙果实	38	3	22
229	猫猫果实	39	2	24
230	橡胶果实	41,210,253	3	30
231	屏障果实	205	1	22
232	靶靶果实	208	2	20
233	花花果实	60,217,258	3	25
234	霸者之魂	7,241	2	27
235	蒲公英果实	none	none	none
236	传送果实	none	none	none
237	长长果实	none	none	none
238	螳螂果实	none	none	none
239	猫猫果实	none	none	none
240	九尾狐果实	none	none	none
241	神速果实	none	none	none
242	暂停果实	none	none	none
243	向日葵果实	none	none	none
244	月光果实	none	none	none
245	铁拳之爱	3,231	3	27
246	冥王	6,240	2	26
247	鹰之眼	8,239	2	28
248	狙击之魂	17	2	24
249	大海之子	24,264	1	25
250	剑客之魂	30,249	2	24
251	杀手之魂	31,254	2	22
252	花之剑	40	2	23
253	神偷之心	65,211,259	3	25
254	剑之尊严	53,212,256	2	26
255	力量之魂	59,213,257	3	25
256	可乐能量	62,216,271	3	24
257	狙击之魂	64,215,262	2	27
258	海皇之魂	203,229	3	28
259	人鱼之王	206,243	2	25
260	激素	1,272	2	28
261	王者之魂	201,228	3	29
262	钢骨元帅	219	3	25
263	白马之魂	223,268	3	25
264	斗牛之魂	220,245	3	27
265	海王之魂	206,243	3	28
266	铁椎之魂	204,270	3	29
267	重力果实	221,246	3	26
268	嗜鲨之魂	207,269	3	28
269	疯狂之力	none	2	30
270	疯狂之体	none	3	30
