ID	人物名称	人物品质	角色阵营	人物说明	默认技能	初始血量	初始攻击力	初始防御力	初始内力	初始经验值	人物机缘1	人物机缘2	人物机缘3	人物机缘4	人物机缘5	人物机缘6	是否显示	Icom图片路径	TitleIcon图片路径	海报图片路径	名字图片路径	背景图片路径	战斗图片	音效	orderId
974	光月·大和	5	1	四皇百兽凯多的女儿，和艾斯是旧识，性格开朗温和，自称光月御田。	30	750	350	340	750	172	1075	1076	1077	1078	1079	1080	1	members/poster_char_S++_dahe1.png	topmembers/poster_char_S++_dahe1.png	person/poster_char_S++_dahe.png	chartex/tex_char_leijiu.png	card03	battleperson/poster_char_S++_dahe.png	sound/man07.mp3	1
975	光月·御田	5	1	和之国九里大名，原和之国将军继承人，上任和之国将军光月寿喜烧的儿子。拥有聆听万物之声的能力。	30	850	350	340	750	172	1069	1070	1071	1072	1073	1074	1	members/poster_char_S++_yutian1.png	topmembers/poster_char_S++_yutian1.png	person/poster_char_S++_yutian.png	chartex/tex_char_leijiu.png	card03	battleperson/poster_char_S++_yutian.png	sound/man07.mp3	1
976	光月·日和	5	1	和之国的公主，光月家族。被和之国的居民称之为“和之国第一美女”。曾经化名为小紫。	30	350	350	340	750	172	1063	1064	1065	1066	1067	1068	1	members/poster_char_S++_xiaozi1.png	topmembers/poster_char_S++_xiaozi1.png	person/poster_char_S++_xiaozi.png	chartex/tex_char_leijiu.png	card03	battleperson/poster_char_S++_xiaozi.png	sound/man07.mp3	1
977	杰尔马·伽治	5	1	被称作“怪鸟迦楼罗”，文斯莫克家族老爷、杰尔马王国国王、杰尔马66统帅，是本作主角之一的山治父亲，梦想是让杰尔马王国再次称霸北海。	30	650	350	340	750	172	1057	1058	1059	1060	1061	1062	1	members/poster_char_S++_jiazhi1.png	topmembers/poster_char_S++_jiazhi1.png	person/poster_char_S++_jiazhi.png	chartex/tex_char_leijiu.png	card03	battleperson/poster_char_S++_jiazhi.png	sound/man07.mp3	1
978	旱灾·杰克	5	1	新世界四皇凯多麾下三灾之一旱灾，其拥有足矣毁灭整座岛屿的力量，可化身大象形态 。	31	580	350	350	850	184	1008	1009	1010	1011	1012	1013	1	members/head_char_S++_jack.png	topmembers/tophead_char_S++_jack.png	person/poster_char_S++_jack.png	chartex/tex_char_S++_jack.png	card04	battleperson/poster_battle_S++_jack.png	sound/man03.mp3	1
979	炎灾·烬	5	1	新世界四皇凯多麾下三灾之一炎灾，世界上数一数二的剑客，可驾驭火焰之剑。	31	580	350	350	850	184	1014	1015	1016	1017	1018	1019	1	members/head_char_S++_jin.png	topmembers/tophead_char_S++_jin.png	person/poster_char_S++_jin.png	chartex/tex_char_S++_jin.png	card04	battleperson/poster_battle_S++_jin.png	sound/man03.mp3	1
980	疫灾·奎因	5	1	新世界四皇凯多麾下三灾之一疫灾，长相肥胖，却拥有超人的能力。	31	580	350	350	850	184	1020	1021	1022	1023	1024	1025	1	members/head_char_S++_kuiyin.png	topmembers/tophead_char_S++_kuiyin.png	person/poster_char_S++_kuiyin.png	chartex/tex_char_S++_kuiyin.png	card04	battleperson/poster_battle_S++_kuiyin.png	sound/man03.mp3	1
991	恶魔·巴雷特	5	1	在罗杰被处刑后，巴雷特将大海搅了个天翻地覆，最终被收押至推进城LEVEL6，被称为「史上最恶的越狱犯」。	10	650	400	400	900	184	1027	1028	1029	1030	1031	1032	1	members/head_char_S++_baleite.png	topmembers/tophead_char_S++_baleite.png	person/poster_char_S++_baleite.png	chartex/tex_char_S++_baleite.png	card04	battleperson/poster_battle_S++_baleite.png	sound/man07.mp3	1
992	杰尔马·蕾玖	5	1	文斯莫克家族的长女，杰尔马66军团，山治的姐姐。绰号为“剧毒粉”	30	550	350	340	750	172	1033	1034	1035	1036	1037	1038	1	members/poster_battle_S++_1.png	topmembers/poster_battle_S++_1.png	person/poster_battle_S++_1.png	chartex/tex_char_leijiu.png	card03	battleperson/poster_battle_S++_1.png	sound/man07.mp3	1
993	杰尔马·勇治	5	1	文斯莫克家族的长子，杰尔马66军团，山治的大哥。绰号为“火花红”	30	550	350	340	750	172	1039	1040	1041	1042	1043	1044	1	members/poster_battle_S++_2.png	topmembers/poster_battle_S++_2.png	person/poster_battle_S++_2.png	chartex/tex_char_leijiu.png	card03	battleperson/poster_battle_S++_2.png	sound/man07.mp3	1
