Type	名称	类型	品质	初始经验	兑换所需碎片数量	兑换上限	属性ID	动态图片	Icom图片路径	Icom图片路径	说明	融合标示
1	身强	1	1	120	5	8	1	DragonSoulCoreB01.ccbi	EnergyCore/Poster_core_b_01.png	EnergyCore/Poster_core_b_01.png	增加上阵船员血量，最多可兑换8颗。	0
2	热血	1	1	120	5	8	2	DragonSoulCoreB02.ccbi	EnergyCore/Poster_core_b_02.png	EnergyCore/Poster_core_b_02.png	增加上阵船员攻击，最多可兑换8颗。	0
3	铁壁	1	1	120	5	8	3	DragonSoulCoreB03.ccbi	EnergyCore/Poster_core_b_03.png	EnergyCore/Poster_core_b_03.png	增加上阵船员防御，最多可兑换8颗。	0
4	高扬	1	1	120	5	8	4	DragonSoulCoreB04.ccbi	EnergyCore/Poster_core_b_01.png	EnergyCore/Poster_core_b_01.png	增加上阵船员意志，最多可兑换8颗。	0
5	勇猛	1	1	120	5	8	6	DragonSoulCoreB05.ccbi	EnergyCore/Poster_core_b_05.png	EnergyCore/Poster_core_b_05.png	增加上阵船员暴击，最多可兑换8颗。	0
6	坚韧	1	1	120	5	8	7	DragonSoulCoreB06.ccbi	EnergyCore/Poster_core_b_06.png	EnergyCore/Poster_core_b_06.png	增加上阵船员韧性，最多可兑换8颗。	0
7	敏捷	1	1	120	5	8	8	DragonSoulCoreB07.ccbi	EnergyCore/Poster_core_b_06.png	EnergyCore/Poster_core_b_06.png	增加上阵船员躲闪，最多可兑换8颗。	0
8	目利	1	1	120	5	8	9	DragonSoulCoreB08.ccbi	EnergyCore/Poster_core_b_05.png	EnergyCore/Poster_core_b_05.png	增加上阵船员命中，最多可兑换8颗。	0
9	招架	1	1	120	5	8	10	DragonSoulCoreB03.ccbi	EnergyCore/Poster_core_b_06.png	EnergyCore/Poster_core_b_06.png	增加上阵船员格挡，最多可兑换8颗。	0
10	力透	1	1	120	5	8	11	DragonSoulCoreB04.ccbi	EnergyCore/Poster_core_b_05.png	EnergyCore/Poster_core_b_05.png	增加上阵船员破防，最多可兑换8颗。	0
11	活力	1	2	60	none	none	1	DragonSoulCoreC01.ccbi	EnergyCore/Poster_core_c_01.png	EnergyCore/Poster_core_c_01.png	增加上阵船员血量	0
12	斗魂	1	2	60	none	none	2	DragonSoulCoreC02.ccbi	EnergyCore/Poster_core_c_02.png	EnergyCore/Poster_core_c_02.png	增加上阵船员攻击	0
13	坚守	1	2	60	none	none	3	DragonSoulCoreC03.ccbi	EnergyCore/Poster_core_c_03.png	EnergyCore/Poster_core_c_03.png	增加上阵船员防御	0
14	信念	1	2	60	none	none	4	DragonSoulCoreC04.ccbi	EnergyCore/Poster_core_c_01.png	EnergyCore/Poster_core_c_01.png	增加上阵船员意志	0
15	必杀	1	2	60	none	none	6	DragonSoulCoreC05.ccbi	EnergyCore/Poster_core_c_05.png	EnergyCore/Poster_core_c_05.png	增加上阵船员暴击	0
16	韧战	1	2	60	none	none	7	DragonSoulCoreC06.ccbi	EnergyCore/Poster_core_c_06.png	EnergyCore/Poster_core_c_06.png	增加上阵船员韧性	0
17	灵巧	1	2	60	none	none	8	DragonSoulCoreC07.ccbi	EnergyCore/Poster_core_c_06.png	EnergyCore/Poster_core_c_06.png	增加上阵船员躲闪	0
18	精准	1	2	60	none	none	9	DragonSoulCoreC08.ccbi	EnergyCore/Poster_core_c_05.png	EnergyCore/Poster_core_c_05.png	增加上阵船员命中	0
19	屏障	1	2	60	none	none	10	DragonSoulCoreC03.ccbi	EnergyCore/Poster_core_c_06.png	EnergyCore/Poster_core_c_06.png	增加上阵船员格挡	0
20	强袭	1	2	60	none	none	11	DragonSoulCoreC04.ccbi	EnergyCore/Poster_core_c_05.png	EnergyCore/Poster_core_c_05.png	增加上阵船员破防	0
21	体魄	1	3	30	none	none	1	DragonSoulCoreD01.ccbi	EnergyCore/Poster_core_d_01.png	EnergyCore/Poster_core_d_01.png	增加上阵船员血量	0
22	武烈	1	3	30	none	none	2	DragonSoulCoreD02.ccbi	EnergyCore/Poster_core_d_02.png	EnergyCore/Poster_core_d_02.png	增加上阵船员攻击	0
23	山岳	1	3	30	none	none	3	DragonSoulCoreD03.ccbi	EnergyCore/Poster_core_d_03.png	EnergyCore/Poster_core_d_03.png	增加上阵船员防御	0
24	入定	1	3	30	none	none	4	DragonSoulCoreD04.ccbi	EnergyCore/Poster_core_d_01.png	EnergyCore/Poster_core_d_01.png	增加上阵船员意志	0
25	暴狂	1	3	30	none	none	6	DragonSoulCoreD05.ccbi	EnergyCore/Poster_core_d_05.png	EnergyCore/Poster_core_d_05.png	增加上阵船员暴击	0
26	果敢	1	3	30	none	none	7	DragonSoulCoreD06.ccbi	EnergyCore/Poster_core_d_06.png	EnergyCore/Poster_core_d_06.png	增加上阵船员韧性	0
27	飞星	1	3	30	none	none	8	DragonSoulCoreD07.ccbi	EnergyCore/Poster_core_d_06.png	EnergyCore/Poster_core_d_06.png	增加上阵船员躲闪	0
28	真眼	1	3	30	none	none	9	DragonSoulCoreD08.ccbi	EnergyCore/Poster_core_d_05.png	EnergyCore/Poster_core_d_05.png	增加上阵船员命中	0
29	守御	1	3	30	none	none	10	DragonSoulCoreD03.ccbi	EnergyCore/Poster_core_d_06.png	EnergyCore/Poster_core_d_06.png	增加上阵船员格挡	0
30	穿云	1	3	30	none	none	11	DragonSoulCoreD04.ccbi	EnergyCore/Poster_core_d_05.png	EnergyCore/Poster_core_d_05.png	增加上阵船员破防	0
31	心头好	3	4	0	none	none	0	DragonSoulCoreD01.ccbi	EnergyCore/Poster_core_d_01.png	EnergyCore/Poster_core_d_01.png	除了出售换购贝里，这个能量之核一点用也没有。	0
