源装备ID	目标装备ID	需要精炼的次数	精炼需要的贝里	精炼需要的道具	保留等级进化需要钻石	进化需要贝里	进化需要道具
1	107	800	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
2	108	800	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
3	109	800	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
4	110	600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
5	111	600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
6	112	600	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
7	113	400	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
8	114	400	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
9	115	400	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
10	116	400	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
11	117	400	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
12	118	400	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
13	119	400	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
14	120	400	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
15	121	400	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
16	122	200	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
17	123	200	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
38	124	600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
39	125	400	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
40	126	400	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
41	127	400	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
42	128	400	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
43	129	200	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
44	130	200	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
45	131	200	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
46	132	200	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
47	133	200	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
48	134	200	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
49	135	200	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
50	136	200	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
66	137	1600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
67	138	1400	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
68	139	1400	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
69	140	1400	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
70	141	1400	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
71	142	800	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
72	143	800	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
73	144	800	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
74	145	800	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
75	146	800	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
76	147	800	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
77	148	800	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
78	149	800	11001:1002:100000	61001:2507001:1	11001:1001:500	11001:1002:5000000	61001:2507002:50
92	150	1000	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
93	151	800	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
94	152	600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
95	153	600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
96	154	1600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
98	155	600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
101	156	600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
102	157	1600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
103	158	800	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
106	159	600	11001:1002:500000	61001:2507001:1	11001:1001:1000	11001:1002:10000000	61001:2507002:50
97	160	2000	11001:1002:500000	61001:2507001:1	11001:1001:2000	11001:1002:50000000	61001:2507002:100
104	161	2000	11001:1002:500000	61001:2507001:1	11001:1001:2000	11001:1002:50000000	61001:2507002:100
105	162	2000	11001:1002:500000	61001:2507001:1	11001:1001:2000	11001:1002:50000000	61001:2507002:100
247	250	2000	11001:1002:500000	61001:2507001:1	11001:1001:2000	11001:1002:50000000	61001:2507002:150
248	251	2000	11001:1002:500000	61001:2507001:1	11001:1001:2000	11001:1002:50000000	61001:2507002:150
249	252	2000	11001:1002:500000	61001:2507001:1	11001:1001:2000	11001:1002:50000000	61001:2507002:150
