闯过关数	5人阵毎星银两	6人阵毎星银两	7人阵毎星银两	8人阵毎星银两	奖励类型文案
5	1000	1500	2000	2500	很多贝里，宝箱，钥匙，钻石
10	2000	3000	4000	5000	很多贝里，宝箱，钥匙，钻石
15	3000	4500	6000	7500	很多贝里，宝箱，钥匙，钻石
20	4000	6000	8000	10000	很多贝里，宝箱，钥匙，钻石
25	5000	7500	10000	12500	很多贝里，宝箱，钥匙，钻石
30	5500	8250	11000	13750	很多贝里，宝箱，钥匙，钻石
35	6000	9000	12000	15000	很多贝里，宝箱，钥匙，钻石
40	6500	9750	13000	16250	很多贝里，宝箱，钥匙，钻石
45	7000	10500	14000	17500	很多贝里，宝箱，钥匙，钻石
50	7500	11250	15000	18750	很多贝里，宝箱，钥匙，钻石
55	8000	12000	16000	20000	很多贝里，宝箱，钥匙，钻石
60	8500	12750	17000	21250	很多贝里，宝箱，钥匙，钻石
65	9000	13500	18000	22500	很多贝里，宝箱，钥匙，钻石
70	9500	14250	19000	23750	很多贝里，宝箱，钥匙，钻石
75	10000	15000	20000	25000	很多贝里，宝箱，钥匙，钻石
80	10500	15750	21000	26250	很多贝里，宝箱，钥匙，钻石
85	11000	16500	22000	27500	很多贝里，宝箱，钥匙，钻石
90	11500	17250	23000	28750	很多贝里，宝箱，钥匙，钻石
95	12000	18000	24000	30000	很多贝里，宝箱，钥匙，钻石
100	12500	18750	25000	31250	很多贝里，宝箱，钥匙，钻石
105	13000	19500	26000	32500	很多贝里，宝箱，钥匙，钻石
110	13500	20250	27000	33750	很多贝里，宝箱，钥匙，钻石
115	14000	21000	28000	35000	很多贝里，宝箱，钥匙，钻石
120	14500	21750	29000	36250	很多贝里，宝箱，钥匙，钻石
125	15000	22500	30000	37500	很多贝里，宝箱，钥匙，钻石
130	15500	23250	31000	38750	很多贝里，宝箱，钥匙，钻石
135	16000	24000	32000	40000	很多贝里，宝箱，钥匙，钻石
140	16500	24750	33000	41250	很多贝里，宝箱，钥匙，钻石
145	17000	25500	34000	42500	很多贝里，宝箱，钥匙，钻石
150	17500	26250	35000	43750	很多贝里，宝箱，钥匙，钻石
155	18000	27000	36000	45000	很多贝里，宝箱，钥匙，钻石
160	18500	27750	37000	46250	很多贝里，宝箱，钥匙，钻石
165	19000	28500	38000	47500	很多贝里，宝箱，钥匙，钻石
170	19500	29250	39000	48750	很多贝里，宝箱，钥匙，钻石
175	20000	30000	40000	50000	很多贝里，宝箱，钥匙，钻石
180	20500	30750	41000	51250	很多贝里，宝箱，钥匙，钻石
185	21000	31500	42000	52500	很多贝里，宝箱，钥匙，钻石
190	21500	32250	43000	53750	很多贝里，宝箱，钥匙，钻石
195	22000	33000	44000	55000	很多贝里，宝箱，钥匙，钻石
200	22500	33750	45000	56250	很多贝里，宝箱，钥匙，钻石
205	13000	19500	26000	32500	很多贝里，宝箱，钥匙，钻石
210	13500	20250	27000	33750	很多贝里，宝箱，钥匙，钻石
215	14000	21000	28000	35000	很多贝里，宝箱，钥匙，钻石
220	14500	21750	29000	36250	很多贝里，宝箱，钥匙，钻石
225	15000	22500	30000	37500	很多贝里，宝箱，钥匙，钻石
230	15500	23250	31000	38750	很多贝里，宝箱，钥匙，钻石
235	16000	24000	32000	40000	很多贝里，宝箱，钥匙，钻石
240	16500	24750	33000	41250	很多贝里，宝箱，钥匙，钻石
245	17000	25500	34000	42500	很多贝里，宝箱，钥匙，钻石
250	17500	26250	35000	43750	很多贝里，宝箱，钥匙，钻石
255	18000	27000	36000	45000	很多贝里，宝箱，钥匙，钻石
260	18500	27750	37000	46250	很多贝里，宝箱，钥匙，钻石
265	19000	28500	38000	47500	很多贝里，宝箱，钥匙，钻石
270	19500	29250	39000	48750	很多贝里，宝箱，钥匙，钻石
275	20000	30000	40000	50000	很多贝里，宝箱，钥匙，钻石
280	20500	30750	41000	51250	很多贝里，宝箱，钥匙，钻石
285	21000	31500	42000	52500	很多贝里，宝箱，钥匙，钻石
290	21500	32250	43000	53750	很多贝里，宝箱，钥匙，钻石
295	22000	33000	44000	55000	很多贝里，宝箱，钥匙，钻石
300	22500	33750	45000	56250	很多贝里，宝箱，钥匙，钻石
