ID	类型	开启等级	素材路径	打开页面	掉落物品类型	掉落物品ID	名字图片	左边的图片	右边的图片	左边的文字	右边的文字	展示类型	介绍的显示位置
1	1	2	GuidMoreMember.ccbi	TeamPage	1	-1	mainScene/u_NewPlayTeamPage.png	mainScene/u_framebutten02.png	none	@ViewTeam	none	3	2
2	1	3	NewPlayEnhance.ccbi	EquipPage	NULL	-1	mainScene/u_NewPlayEnhance.png	mainScene/u_mbutten04.png	none	none	@Enhance	2	1
3	1	5	GuidMoreMember.ccbi	TeamPage	1	-1	mainScene/u_NewPlayTeamPage.png	mainScene/u_framebutten02.png	none	@ViewTeam	none	3	2
4	1	6	NewPlayArena.ccbi	ArenaPage	NULL	-1	mainScene/u_NewPlayArena.png	mainScene/u_framebutten05.png	none	@Arena1	none	1	1
5	1	10	NewPlayTranExp.ccbi	DisciplePage	NULL	-1	mainScene/u_NewPlayTranExp.png	mainScene/u_mbutten07.png	none	none	@TransferExp	2	1
6	1	11	GuidMoreMember.ccbi	TeamPage	1	-1	mainScene/u_NewPlayTeamPage.png	mainScene/u_framebutten02.png	none	@ViewTeam	none	3	2
7	1	12	NewPlayFightEnd.ccbi	AdventurePage	fightEnd	-1	mainScene/u_NewPlayFightEnd.png	mainScene/u_framebutten03.png	mainScene/u_icoqy07.png	@Adventure	@GuideFightEnd	3	1
8	1	14	NewPlayHullRenovation.ccbi	TeamPage	1	-1	mainScene/u_NewPlayHullRenovation.png	mainScene/u_framebutten02.png	mainScene/u_icoqyHR.png	@Team	@GuideActiveCabin	3	1
9	1	15	NewPlayWishingTree.ccbi	WishingTree	adventure	-1	mainScene/u_NewPlayWishingTree.png	mainScene/u_framebutten03.png	mainScene/u_icoqyxuyuan.png	@Adventure	@GuideWishingTree	3	1
10	1	16	GuidMoreMember.ccbi	TeamPage	1	-1	mainScene/u_NewPlayTeamPage.png	mainScene/u_framebutten02.png	none	@ViewTeam	none	3	2
11	1	20	NewPlayStone.ccbi	EquipPage	NULL	-1	mainScene/u_NewPlayStone.png	mainScene/u_EncSystemHelpPic05.png	none.png	none	@Remold	2	1
12	1	21	GuidMoreMember.ccbi	TeamPage	1	-1	mainScene/u_NewPlayTeamPage.png	mainScene/u_framebutten02.png	none	@ViewTeam	none	3	2
13	1	26	GuidMoreMember.ccbi	TeamPage	1	-1	mainScene/u_NewPlayTeamPage.png	mainScene/u_framebutten02.png	none	@ViewTeam	none	3	2
14	2	-1	NewPlaySoul.ccbi	DisciplePage	soul	-1	mainScene/u_framebutten03.png	mainScene/u_framebutten03.png	mainScene/u_framebutten03.png	@Adventure	@Adventure	1	1
15	2	-1	newplaybrokenbook.ccbi	AdventurePage	skillBook	-1	mainScene/u_framebutten03.png	mainScene/u_framebutten03.png	mainScene/u_framebutten03.png	@Adventure	@Adventure	1	1
