武将等级	角色经验系数
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1.5
9	1.5
10	1.5
11	2
12	2
13	3
14	3
15	4
16	4
17	4
18	6
19	6
20	6
21	8
22	8
23	8
24	12
25	12
26	12
27	14
28	14
29	14
30	14
31	19
32	19
33	19
34	27
35	27
36	27
37	36
38	36
39	36
40	36
41	48
42	48
43	48
44	48
45	60
46	60
47	60
48	60
49	75
50	75
51	75
52	75
53	85
54	85
55	85
56	85
57	95
58	95
59	95
60	95
61	105
62	105
63	105
64	105
65	105
66	105
67	115
68	115
69	115
70	115
71	125
72	125
73	125
74	125
75	125
76	135
77	135
78	135
79	135
80	135
81	145
82	145
83	145
84	145
85	145
86	155
87	155
88	155
89	155
90	155
91	182
92	182
93	182
94	182
95	182
96	208
97	208
98	208
99	208
100	208
101	260
102	260
103	260
104	260
105	260
106	286
107	286
108	286
109	286
110	286
111	300
112	300
113	300
114	300
115	300
116	324
117	324
118	324
119	324
120	324
121	350
122	350
123	350
124	350
125	350
126	370
127	370
128	370
129	370
130	370
131	382
132	382
133	382
134	382
135	382
136	398
137	398
138	398
139	398
140	398
141	408
142	408
143	408
144	408
145	408
146	437
147	437
148	437
149	437
150	437
151	439
152	439
153	439
154	439
155	439
156	443
157	443
158	443
159	443
160	443
161	453
162	453
163	453
164	453
165	453
166	453
167	453
168	453
169	453
170	453
171	462
172	462
173	462
174	462
175	462
176	466
177	466
178	466
179	466
180	466
