ID	名称	品阶	技能说明	属性A类型	属性A加成类型	属性A初始加成额度	属性A成长幅度	属性B类型	属性B加成类型	属性B初始加成额度	属性B成长幅度	Icom图片路径	海报图片路径	名字图片路径	时长	ccb文件	攻击timeline	攻击置换资源	orderId
100001	高级撕咬	1	凶兽利齿的撕咬，颤抖吗？	2	1	120	120	0	0	0	0	Pet/skillposter/poster_skill_pet_siyao.png	Pet/skillposter/poster_skillinfo_pet_siyao.png	none	1	none	buffc	none	1
100002	高级爪击	1	把爪子磨尖，撕碎敌人的心脏吧	2	1	110	110	0	0	0	0	Pet/skillposter/poster_skill_pet_zhuaji.png	Pet/skillposter/poster_skillinfo_pet_zhuaji.png	none	1	none	buffc	none	2
100003	高级斩击	1	去地狱报到吧！	2	1	100	100	0	0	0	0	Pet/skillposter/poster_skill_pet_zhanji.png	Pet/skillposter/poster_skillinfo_pet_zhanji.png	none	1	none	buffc	none	3
100004	高级护盾	1	持上这魔法护盾，冲锋吧	3	1	120	120	0	0	0	0	Pet/skillposter/poster_skill_pet_hudun.png	Pet/skillposter/poster_skillinfo_pet_hudun.png	none	1	none	buffc	none	4
100005	高级霸体	1	使用霸气守护身体，使敌人无法撼动	3	1	110	110	0	0	0	0	Pet/skillposter/poster_skill_pet_bati.png	Pet/skillposter/poster_skillinfo_pet_bati.png	none	1	none	buffc	none	5
100006	高级净化	1	神圣之光，获得净化邪恶力量的神圣保护	3	1	100	100	0	0	0	0	Pet/skillposter/poster_skill_pet_jinghua.png	Pet/skillposter/poster_skillinfo_pet_jinghua.png	none	1	none	buffc	none	6
100007	高级嗜血	1	对血的渴望将无限增强生命力	1	1	66	66	0	0	0	0	Pet/skillposter/poster_skill_pet_shixue.png	Pet/skillposter/poster_skillinfo_pet_shixue.png	none	1	none	buffc	none	7
100008	高级血源	1	鲜血，就是我力量的源泉	1	1	66	66	0	0	0	0	Pet/skillposter/poster_skill_pet_xueyuan.png	Pet/skillposter/poster_skillinfo_pet_xueyuan.png	none	1	none	buffc	none	8
100009	高级化魔	1	化身为强大的恶魔，汲取源源不断的战意	4	1	40	40	0	0	0	0	Pet/skillposter/poster_skill_pet_huamo.png	Pet/skillposter/poster_skillinfo_pet_huamo.png	none	1	none	buffc	none	9
100010	高级毁灭	1	用这力量，获取毁灭天地的意志	4	1	40	40	0	0	0	0	Pet/skillposter/poster_skill_pet_huimie.png	Pet/skillposter/poster_skillinfo_pet_huimie.png	none	1	none	buffc	none	10
100011	高级狂暴	1	面对狂暴状态下的野兽，还要做无谓的抵抗吗	6	1	69	69	0	0	0	0	Pet/skillposter/poster_skill_pet_kuangbao.png	Pet/skillposter/poster_skillinfo_pet_kuangbao.png	none	1	none	buffc	none	11
100012	高级治疗	1	忘却伤痛继续作战吧！	7	1	83	83	0	0	0	0	Pet/skillposter/poster_skill_pet_zhiliao.png	Pet/skillposter/poster_skillinfo_pet_zhiliao.png	none	1	none	buffc	none	12
