id	name	时效	升级条件描述	说明	iconPic	namePic	加成属性类型	加成类型	加成额度	成就类型	成就条件数量	跳转页面	排序ID	changeOrPush	AdventureId	开启等级
1001	汪洋大盗	0	通关{冒险黎明-近海王兽}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	10	2	0	CareerPage	1	0	0	1
1002	汪洋大盗	0	通关{海贼猎人-营救索隆}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	20	2	0	CareerPage	1	0	0	1
1003	汪洋大盗	0	通关{小贼猫-四分五裂}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	30	2	0	CareerPage	1	0	0	1
1004	汪洋大盗	0	通关{狙击之王-智多星}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	40	2	0	CareerPage	1	0	0	1
1005	汪洋大盗	0	通关{黑脚厨师-海贼提督}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	50	2	0	CareerPage	1	0	0	1
1006	汪洋大盗	0	通关{恶龙领域-锯齿鲨鱼}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	60	2	0	CareerPage	1	0	0	1
1007	汪洋大盗	0	通关{终与始-颠倒山}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	70	2	0	CareerPage	1	0	0	1
1008	汪洋大盗	0	通关{威士忌山-爆爆果实}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	80	2	0	CareerPage	1	0	0	1
1009	汪洋大盗	0	通关{小花园-蜡烛盛宴}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	90	2	0	CareerPage	1	0	0	1
1010	汪洋大盗	0	通关{冬之岛-磁鼓国王}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	100	2	0	CareerPage	1	0	0	1
1011	汪洋大盗	0	通关{沙漠王国-超越}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	110	2	0	CareerPage	1	0	0	1
1012	汪洋大盗	0	通关{空之岛-遗迹对决}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	120	2	0	CareerPage	1	0	0	1
1013	汪洋大盗	0	通关{长环长岛-船长对决}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	130	2	0	CareerPage	1	0	0	1
1014	汪洋大盗	0	通关{水之七都-劫持}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	140	2	0	CareerPage	1	0	0	1
1015	汪洋大盗	0	通关{海上列车-空气门}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	150	2	0	CareerPage	1	0	0	1
1016	汪洋大盗	0	通关{司法岛-向世界宣战}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	160	2	0	CareerPage	1	0	0	1
