id	cabinId	position	unlockCondition	buff	addition	openLevel	upAddtion	upConsume
1	1	1	61001:1101007:1	攻击	10	14	3,3	61001:1101007:1;61001:1101007:1
2	1	2	61001:1101007:1	意志	10	16	3,3	61001:1101007:1;61001:1101007:1
3	1	3	61001:1101007:1	血量	10	19	3,3	61001:1101007:1;61001:1101007:1
4	1	4	61001:1101007:1	防御	10	22	3,3	61001:1101007:1;61001:1101007:1
5	1	5	61001:1101007:1	血量	15	25	7,7	61001:1101007:1;61001:1101007:1
6	1	6	61001:1101007:1	防御	15	28	7,7	61001:1101007:1;61001:1101007:1
7	1	7	61001:1101007:1	攻击	15	31	7,7	61001:1101007:1;61001:1101007:1
8	2	1	61001:1101007:5,61001:1101006:5	缘分	0	33	0	none
9	2	2	61001:1101007:5,61001:1101006:5	缘分	0	35	0	none
10	2	3	61001:1101007:5,61001:1101006:5	缘分	0	37	0	none
11	2	4	61001:1101007:5,61001:1101006:5	缘分	0	39	0	none
12	2	5	61001:1101007:5,61001:1101006:5	缘分	0	41	0	none
13	2	6	61001:1101007:5,61001:1101006:5	缘分	0	43	0	none
14	2	7	61001:1101007:5,61001:1101006:5	缘分	0	45	0	none
