id	人物名称	能否进化	进化后id	限定条件-船员等级	限定条件-船员突破等级	限定条件-进化药剂数量	限定条件-精华	限定条件-精华数量	潜力值成长值	攻击成长值	防御成长值	血量成长值	意志成长值	进化扣除等级
2	白胡子	1	230	100	3	40	61001:1101009:40	40	35	8.8	4.3	11.8	11.6	0
3	卡普	1	231	100	3	40	61001:1101014:40	40	36	8.3	4.6	12	10.5	0
4	战国	1	236	100	3	40	61001:1101010:40	40	36	7.1	4.6	11	11.5	0
5	龙	1	233	100	3	40	61001:1101011:40	40	35	8.5	4.3	11.4	11.4	0
6	雷利	1	240	100	3	40	61001:1101012:40	40	35	7.8	4.3	11.3	10.3	0
7	香克斯	1	241	100	3	40	61001:1101012:40	40	34	8.4	4.1	10.7	11.2	0
8	鹰眼	1	239	100	3	40	61001:1101012:40	40	36	8.5	3	10.4	11.3	0
9	赤犬	1	237	100	3	40	61001:1101011:40	40	36	8.2	4.1	10.6	10.6	0
10	青雉	1	242	100	3	40	61001:1101011:40	40	35	6	6.5	10.7	10.2	0
11	黄猿	1	244	100	3	40	61001:1101011:40	40	34	7.5	4.3	10.9	10.9	0
12	黑胡子	1	238	100	3	40	61001:1101011:40	40	36	7.6	4.2	11.3	10.2	0
13	凯多	1	235	100	3	40	61001:1101010:40	40	36	8.3	4.4	11.2	10.7	0
14	夏洛特玲玲	1	234	100	3	40	61001:1101009:40	40	35	6	6.6	11.2	11.8	0
15	多弗朗明哥	1	247	100	3	40	61001:1101009:40	40	33	7.5	4.2	10.8	10.8	0
19	艾斯	1	251	100	3	40	61001:1101011:40	40	36	8.3	5	11	8	0
20	基德	1	252	100	3	40	61001:1101009:40	40	32	6.9	4.4	10.9	10.8	0
23	艾尼路	1	248	100	3	40	61001:1101011:40	40	33	7.5	4.3	10	10.3	0
30	雨之希留	1	249	100	3	40	61001:1101012:40	40	30	7.5	4	10	10.2	0
31	基拉	1	254	100	3	40	61001:1101009:40	40	30	7.2	4.1	9.8	10.6	0
36	乌尔基	1	250	100	3	40	61001:1101009:40	40	30	7.1	3.9	9.9	10.5	0
201	罗杰	1	228	100	3	40	61001:1101014:40	40	37	8.8	4.8	12	11.8	0
203	白星	1	229	100	3	40	61001:1101013:40	40	36	7	4	12.1	13.5	0
210	2年后路飞	1	253	100	3	40	61001:1101009:40	40	36	8.3	4.5	10.6	10.2	0
222	萨博	1	255	100	3	40	61001:1101011:40	40	36	7.3	5.8	10.5	10	0
212	2年后索隆	1	256	100	3	40	61001:1101012:40	40	35	8.3	3.7	10.3	10.5	0
213	2年后香吉士	1	257	100	3	40	61001:1101014:40	40	34	7.6	4.3	10.5	10.2	0
217	2年后罗宾	1	258	100	3	40	61001:1101009:40	40	33	7.4	4.2	10.2	10.8	0
211	2年后娜美	1	259	100	3	40	61001:1101011:40	40	33	7.1	4	10.5	10.8	0
214	2年后乔巴	1	260	100	3	40	61001:1101010:40	40	33	7	4.2	10.4	10	0
216	2年后弗兰奇	1	261	100	3	40	61001:1101014:40	40	32	6	5.8	10.6	10.5	0
215	2年后乌索普	1	262	100	3	40	61001:1101014:40	40	33	7.8	4	10.2	9.5	0
219	空	1	232	100	3	40	61001:1101014:40	40	35	8.2	5.3	12	10.7	0
220	居鲁士	1	245	100	3	40	61001:1101012:40	40	34	7.5	4.4	10.5	11	0
221	藤虎	1	246	100	3	40	61001:1101012:40	40	34	8	4.1	10.7	10.5	0
223	卡文迪许	1	268	100	3	40	61001:1101012:40	40	30	7	4.1	9.8	10.4	0
206	尼普顿	1	243	100	3	40	61001:1101013:40	40	34	7.5	4.5	11.2	10.7	0
