ID	果实ID	等级	升级经验	吞噬经验转换百分比	售价	已解锁孔数	已解锁属性加成	已解锁技能ID	身价
10001	1	1	16000	100	147800	2	8	0	1124
10002	1	2	32000	100	1576800	3	8,17	0	2389
10003	1	3	64000	100	3153600	4	8,17,26	0	3654
10004	1	4	128000	100	6307200	5	8,17,26,36	0	5060
10005	1	5	128000	100	12614500	5	8,17,26,36,46	0	6465
20001	2	1	16000	100	147800	2	7	0	984
20002	2	2	32000	100	1576800	3	7,15	0	2108
20003	2	3	64000	100	3153600	4	7,15,23	0	3233
20004	2	4	128000	100	6307200	5	7,15,23,32	0	4498
20005	2	5	128000	100	12614500	5	7,15,23,32,42	0	5903
30001	3	1	16000	100	147800	2	8	0	1124
30002	3	2	32000	100	1576800	3	8,16	0	2249
30003	3	3	64000	100	3153600	4	8,16,25	0	3514
30004	3	4	128000	100	6307200	5	8,16,25,35	0	4919
30005	3	5	128000	100	12614500	5	8,16,25,35,45	0	6325
40001	4	1	16000	100	147800	2	8	0	1124
40002	4	2	32000	100	1576800	3	8,16	0	2249
40003	4	3	64000	100	3153600	4	8,16,25	0	3514
40004	4	4	128000	100	6307200	5	8,16,25,34	0	4779
40005	4	5	128000	100	12614500	5	8,16,25,34,44	0	6184
50001	5	1	16000	100	147800	2	6	0	843
50002	5	2	32000	100	1576800	3	6,14	0	1968
50003	5	3	64000	100	3153600	4	6,14,23	0	3233
50004	5	4	128000	100	6307200	5	6,14,23,33	0	4638
50005	5	5	128000	100	12614500	5	6,14,23,33,43	0	6044
60001	6	1	16000	100	147800	2	7	0	984
60002	6	2	32000	100	1576800	3	7,14	0	1968
60003	6	3	64000	100	3153600	4	7,14,22	0	3092
60004	6	4	128000	100	6307200	5	7,14,22,31	0	4357
60005	6	5	128000	100	12614500	5	7,14,22,31,40	0	5622
70001	7	1	16000	100	147800	2	7	0	984
70002	7	2	32000	100	1576800	3	7,16	0	2249
70003	7	3	64000	100	3153600	4	7,16,25	0	3514
70004	7	4	128000	100	6307200	5	7,16,25,34	0	4779
70005	7	5	128000	100	12614500	5	7,16,25,34,44	0	6184
80001	8	1	16000	100	147800	2	7	0	984
80002	8	2	32000	100	1576800	3	7,15	0	2108
80003	8	3	64000	100	3153600	4	7,15,24	0	3373
80004	8	4	128000	100	6307200	5	7,15,24,33	0	4638
80005	8	5	128000	100	12614500	5	7,15,24,33,43	0	6044
90001	9	1	16000	100	147800	2	6	0	843
90002	9	2	32000	100	1576800	3	6,13	0	1827
90003	9	3	64000	100	3153600	4	6,13,23	0	3233
90004	9	4	128000	100	6307200	5	6,13,23,33	0	4638
90005	9	5	128000	100	12614500	5	6,13,23,33,43	0	6044
100001	10	1	16000	100	147800	2	7	0	984
100002	10	2	32000	100	1576800	3	7,14	0	1968
100003	10	3	64000	100	3153600	4	7,14,22	0	3092
100004	10	4	128000	100	6307200	5	7,14,22,30	0	4217
100005	10	5	128000	100	12614500	5	7,14,22,30,39	0	5481
110001	11	1	16000	100	147800	2	6	0	843
110002	11	2	32000	100	1576800	3	6,13	0	1827
110003	11	3	64000	100	3153600	4	6,13,20	0	2811
110004	11	4	128000	100	6307200	5	6,13,20,29	0	4076
110005	11	5	128000	100	12614500	5	6,13,20,29,38	0	5341
120001	12	1	16000	100	147800	2	7	0	984
120002	12	2	32000	100	1576800	3	7,15	0	2108
120003	12	3	64000	100	3153600	4	7,15,23	0	3233
120004	12	4	128000	100	6307200	5	7,15,23,32	0	4498
120005	12	5	128000	100	12614500	5	7,15,23,32,41	0	5763
130001	13	1	16000	100	147800	2	7	0	984
130002	13	2	32000	100	1576800	3	7,15	0	2108
130003	13	3	64000	100	3153600	4	7,15,23	0	3233
130004	13	4	128000	100	6307200	5	7,15,23,32	0	4498
130005	13	5	128000	100	12614500	5	7,15,23,32,42	0	5903
140001	14	1	16000	100	147800	2	7	0	984
140002	14	2	32000	100	1576800	3	7,14	0	1968
140003	14	3	64000	100	3153600	4	7,14,21	0	2952
140004	14	4	128000	100	6307200	5	7,14,21,30	0	4217
140005	14	5	128000	100	12614500	5	7,14,21,30,40	0	5622
150001	15	1	16000	100	147800	2	6	0	843
150002	15	2	32000	100	1576800	3	6,12	0	1687
150003	15	3	64000	100	3153600	4	6,12,19	0	2670
150004	15	4	128000	100	6307200	5	6,12,19,27	0	3795
150005	15	5	128000	100	12614500	5	6,12,19,27,36	0	5060
160001	16	1	16000	100	147800	2	5	0	703
160002	16	2	32000	100	1576800	3	5,11	0	1546
160003	16	3	64000	100	3153600	4	5,11,18	0	2530
160004	16	4	128000	100	6307200	5	5,11,18,26	0	3654
160005	16	5	128000	100	12614500	5	5,11,18,26,34	0	4779
170001	17	1	16000	100	147800	2	7	0	984
170002	17	2	32000	100	1576800	3	7,14	0	1968
170003	17	3	64000	100	3153600	4	7,14,21	0	2952
170004	17	4	128000	100	6307200	5	7,14,21,29	0	4076
170005	17	5	128000	100	12614500	5	7,14,21,29,37	0	5200
180001	18	1	16000	100	147800	2	7	0	984
180002	18	2	32000	100	1576800	3	7,15	0	2108
180003	18	3	64000	100	3153600	4	7,15,23	0	3233
180004	18	4	128000	100	6307200	5	7,15,23,32	0	4498
180005	18	5	128000	100	12614500	5	7,15,23,32,41	0	5763
190001	19	1	16000	100	147800	2	6	0	843
190002	19	2	32000	100	1576800	3	6,13	0	1827
190003	19	3	64000	100	3153600	4	6,13,20	0	2811
190004	19	4	128000	100	6307200	5	6,13,20,28	0	3935
190005	19	5	128000	100	12614500	5	6,13,20,28,36	0	5060
200001	20	1	16000	100	147800	2	5	0	703
200002	20	2	32000	100	1576800	3	5,10	0	1406
200003	20	3	64000	100	3153600	4	5,10,16	0	2249
200004	20	4	128000	100	6307200	5	5,10,16,23	0	3233
200005	20	5	128000	100	12614500	5	5,10,16,23,31	0	4357
210001	21	1	16000	100	147800	2	5	0	703
210002	21	2	32000	100	1576800	3	5,11	0	1546
210003	21	3	64000	100	3153600	4	5,11,18	0	2530
210004	21	4	128000	100	6307200	5	5,11,18,25	0	3514
210005	21	5	128000	100	12614500	5	5,11,18,25,33	0	4638
220001	22	1	16000	100	147800	2	5	0	703
220002	22	2	32000	100	1576800	3	5,10	0	1406
220003	22	3	64000	100	3153600	4	5,10,16	0	2249
220004	22	4	128000	100	6307200	5	5,10,16,24	0	3373
220005	22	5	128000	100	12614500	5	5,10,16,24,32	0	4498
230001	23	1	16000	100	147800	2	6	0	843
230002	23	2	32000	100	1576800	3	6,13	0	1827
230003	23	3	64000	100	3153600	4	6,13,20	0	2811
230004	23	4	128000	100	6307200	5	6,13,20,27	0	3795
230005	23	5	128000	100	12614500	5	6,13,20,27,35	0	4919
240001	24	1	16000	100	147800	2	5	0	703
240002	24	2	32000	100	1576800	3	5,11	0	1546
240003	24	3	64000	100	3153600	4	5,11,18	0	2530
240004	24	4	128000	100	6307200	5	5,11,18,26	0	3654
240005	24	5	128000	100	12614500	5	5,11,18,26,35	0	4919
250001	25	1	16000	100	147800	2	6	0	843
250002	25	2	32000	100	1576800	3	6,13	0	1827
250003	25	3	64000	100	3153600	4	6,13,20	0	2811
250004	25	4	128000	100	6307200	5	6,13,20,29	0	4076
250005	25	5	128000	100	12614500	5	6,13,20,29,39	0	5481
260001	26	1	16000	100	147800	2	5	0	703
260002	26	2	32000	100	1576800	3	5,10	0	1406
260003	26	3	64000	100	3153600	4	5,10,16	0	2249
260004	26	4	128000	100	6307200	5	5,10,16,23	0	3233
260005	26	5	128000	100	12614500	5	5,10,16,23,30	0	4217
270001	27	1	16000	100	147800	2	5	0	703
270002	27	2	32000	100	1576800	3	5,11	0	1546
270003	27	3	64000	100	3153600	4	5,11,19	0	2670
270004	27	4	128000	100	6307200	5	5,11,19,28	0	3935
