原ID	目标ID	消耗道具
1	101	61001:2506002:66,61001:2506001:66
2	102	61001:2506002:66,61001:2506001:66
3	103	61001:2506002:66,61001:2506001:66
4	104	61001:2506002:66,61001:2506001:66
5	105	61001:2506002:66,61001:2506001:66
6	106	61001:2506002:66,61001:2506001:66
7	107	61001:2506002:66,61001:2506001:66
8	108	61001:2506002:66,61001:2506001:66
9	109	61001:2506002:66,61001:2506001:66
10	1010	61001:2506002:66,61001:2506001:66
11	1011	61001:2506002:66,61001:2506001:66
12	1012	61001:2506002:66,61001:2506001:66
13	1013	61001:2506002:66,61001:2506001:66
14	1014	61001:2506002:66,61001:2506001:66
15	1015	61001:2506002:66,61001:2506001:66
16	1016	61001:2506002:66,61001:2506001:66
17	1017	61001:2506002:66,61001:2506001:66
18	1018	61001:2506002:66,61001:2506001:66
19	1019	61001:2506002:66,61001:2506001:66
20	1020	61001:2506002:66,61001:2506001:66
21	1021	61001:2506002:66,61001:2506001:66
22	1022	61001:2506002:66,61001:2506001:66
23	1023	61001:2506002:66,61001:2506001:66
24	1024	61001:2506002:66,61001:2506001:66
78	1078	61001:2506002:66,61001:2506001:66
79	1079	61001:2506002:66,61001:2506001:66
82	1082	61001:2506002:66,61001:2506001:66
