战斗id	valid	报名开始时间	报名结束时间	报名最低等级	本服淘汰赛时间	本服淘汰赛结束时间	本服16进8时间	本服8进4时间	本服4进2时间	本服2进1时间	跨服淘汰赛时间	跨服淘汰赛结束时间	跨服16进8时间	跨服8进4时间	跨服4进2时间	跨服2进1时间	赛事回顾终止时间
1	1	2016-03-01#12:00:00	2016-03-03#12:00:00	16	2016-03-03#12:30:00	2016-03-03#13:30:00	2016-03-04#18:00:00	2016-03-04#19:00:00	2016-03-04#20:00:00	2016-03-04#21:00:00	2016-03-05#12:30:00	2016-03-05#13:30:00	2016-03-05#18:00:00	2016-03-05#19:00:00	2016-03-05#20:00:00	2016-03-05#21:00:00	2016-03-06#12:00:00
2	1	2016-03-15#12:00:00	2016-03-17#12:00:00	16	2016-03-17#12:30:00	2016-03-17#13:30:00	2016-03-18#18:00:00	2016-03-18#19:00:00	2016-03-18#20:00:00	2016-03-18#21:00:00	2016-03-19#12:30:00	2016-03-19#13:30:00	2016-03-19#18:00:00	2016-03-19#19:00:00	2016-03-19#20:00:00	2016-03-19#21:00:00	2016-03-20#12:00:00
3	1	2016-03-29#12:00:00	2016-03-31#12:00:00	16	2016-03-31#12:30:00	2016-03-31#13:30:00	2016-04-01#18:00:00	2016-04-01#19:00:00	2016-04-01#20:00:00	2016-04-01#21:00:00	2016-04-02#12:30:00	2016-04-02#13:30:00	2016-04-02#18:00:00	2016-04-02#19:00:00	2016-04-02#20:00:00	2016-04-02#21:00:00	2016-04-03#12:00:00
4	1	2016-04-12#12:00:00	2016-04-14#12:00:00	16	2016-04-14#12:30:00	2016-04-14#13:30:00	2016-04-15#18:00:00	2016-04-15#19:00:00	2016-04-15#20:00:00	2016-04-15#21:00:00	2016-04-16#12:30:00	2016-04-16#13:30:00	2016-04-16#18:00:00	2016-04-16#19:00:00	2016-04-16#20:00:00	2016-04-16#21:00:00	2016-04-17#12:00:00
5	1	2016-04-26#12:00:00	2016-04-28#12:00:00	16	2016-04-28#12:30:00	2016-04-28#13:30:00	2016-04-29#18:00:00	2016-04-29#19:00:00	2016-04-29#20:00:00	2016-04-29#21:00:00	2016-04-30#12:30:00	2016-04-30#13:30:00	2016-04-30#18:00:00	2016-04-30#19:00:00	2016-04-30#20:00:00	2016-04-30#21:00:00	2016-05-01#12:00:00
6	1	2016-05-10#12:00:00	2016-05-12#12:00:00	16	2016-05-12#12:30:00	2016-05-12#13:30:00	2016-05-13#18:00:00	2016-05-13#19:00:00	2016-05-13#20:00:00	2016-05-13#21:00:00	2016-05-14#12:30:00	2016-05-14#13:30:00	2016-05-14#18:00:00	2016-05-14#19:00:00	2016-05-14#20:00:00	2016-05-14#21:00:00	2016-05-15#12:00:00
7	1	2016-05-24#12:00:00	2016-05-26#12:00:00	16	2016-05-26#12:30:00	2016-05-26#13:30:00	2016-05-27#18:00:00	2016-05-27#19:00:00	2016-05-27#20:00:00	2016-05-27#21:00:00	2016-05-28#12:30:00	2016-05-28#13:30:00	2016-05-28#18:00:00	2016-05-28#19:00:00	2016-05-28#20:00:00	2016-05-28#21:00:00	2016-05-29#12:00:00
8	1	2016-06-07#12:00:00	2016-06-09#12:00:00	16	2016-06-09#12:30:00	2016-06-09#13:30:00	2016-06-10#18:00:00	2016-06-10#19:00:00	2016-06-10#20:00:00	2016-06-10#21:00:00	2016-06-11#12:30:00	2016-06-11#13:30:00	2016-06-11#18:00:00	2016-06-11#19:00:00	2016-06-11#20:00:00	2016-06-11#21:00:00	2016-06-12#12:00:00
9	1	2016-06-21#12:00:00	2016-06-23#12:00:00	16	2016-06-23#12:30:00	2016-06-23#13:30:00	2016-06-24#18:00:00	2016-06-24#19:00:00	2016-06-24#20:00:00	2016-06-24#21:00:00	2016-06-25#12:30:00	2016-06-25#13:30:00	2016-06-25#18:00:00	2016-06-25#19:00:00	2016-06-25#20:00:00	2016-06-25#21:00:00	2016-06-26#12:00:00
10	1	2016-07-05#12:00:00	2016-07-07#12:00:00	16	2016-07-07#12:30:00	2016-07-07#13:30:00	2016-07-08#18:00:00	2016-07-08#19:00:00	2016-07-08#20:00:00	2016-07-08#21:00:00	2016-07-09#12:30:00	2016-07-09#13:30:00	2016-07-09#18:00:00	2016-07-09#19:00:00	2016-07-09#20:00:00	2016-07-09#21:00:00	2016-07-10#12:00:00
