品质id	重生次数	限定条件-等级	限定条件-突破等级	重生药剂消耗阶梯基数	等级消耗阶梯基数	属性消耗阶梯基数	潜能返还阶梯基数
10001	1	5	5	10	10	10	10
10002	2	5	5	10	10	10	10
10003	3	5	5	10	10	10	10
10004	4	5	5	10	10	10	10
10005	5	5	5	10	10	10	10
10006	6	5	5	10	10	10	10
10007	7	5	5	10	10	10	10
20001	1	5	5	10	10	120	10
20002	2	5	5	10	10	120	10
20003	3	5	5	10	10	10	10
20004	4	5	5	10	10	10	10
20005	5	5	5	10	10	10	10
20006	6	5	5	10	10	10	10
20007	7	5	5	10	10	10	10
30001	1	5	5	10	10	10	10
30002	2	5	5	10	10	10	10
30003	3	5	5	10	10	10	10
30004	4	5	5	10	10	10	10
30005	5	5	5	10	10	10	10
30006	6	5	5	10	10	10	10
30007	7	5	5	10	10	10	10
40001	1	5	5	10	10	10	10
40002	2	5	5	10	10	10	10
40003	3	5	5	10	10	10	10
40004	4	5	5	10	10	10	10
40005	5	5	5	10	10	10	10
40006	6	5	5	10	10	10	10
40007	7	5	5	10	10	10	10
