关卡ID	章ID	节点属性(1级:类型_数值，2级：类型_数值)	需求消耗
1001	1	2:28,2:33,2:47,2:52,2:71,2:75	61001:2505001:10,61001:2505001:15#61001:2505007:2,61001:2505002:10#61001:2505007:4,61001:2505002:15#61001:2505007:5,61001:2505003:10#61001:2505007:7,61001:2505003:15#61001:2505007:8
1002	1	9:73,9:86,9:122,9:135,9:184,9:196	61001:2505001:10,61001:2505001:15#61001:2505007:2,61001:2505002:10#61001:2505007:4,61001:2505002:15#61001:2505007:5,61001:2505003:10#61001:2505007:7,61001:2505003:15#61001:2505007:8
1003	1	6:55,6:64,6:92,6:101,6:138,6:147	61001:2505001:10,61001:2505001:15#61001:2505007:2,61001:2505002:10#61001:2505007:4,61001:2505002:15#61001:2505007:5,61001:2505003:10#61001:2505007:7,61001:2505003:15#61001:2505007:8
1004	1	11:73,11:86,11:122,11:135,11:184,11:196	61001:2505001:10,61001:2505001:15#61001:2505007:2,61001:2505002:10#61001:2505007:4,61001:2505002:15#61001:2505007:5,61001:2505003:10#61001:2505007:7,61001:2505003:15#61001:2505007:8
1005	1	2:42,2:49,2:71,2:78,2:106,2:113	61001:2505001:15,61001:2505001:20#61001:2505007:2,61001:2505002:15#61001:2505007:4,61001:2505002:20#61001:2505007:5,61001:2505003:15#61001:2505007:7,61001:2505003:20#61001:2505007:8
1006	1	9:102,9:119,9:170,9:186,9:254,9:271	61001:2505001:15,61001:2505001:20#61001:2505007:2,61001:2505002:15#61001:2505007:4,61001:2505002:20#61001:2505007:5,61001:2505003:15#61001:2505007:7,61001:2505003:20#61001:2505007:8
1007	1	6:76,6:89,6:127,6:140,6:191,6:203	61001:2505001:15,61001:2505001:20#61001:2505007:2,61001:2505002:15#61001:2505007:4,61001:2505002:20#61001:2505007:5,61001:2505003:15#61001:2505007:7,61001:2505003:20#61001:2505007:8
1008	1	11:102,11:119,11:170,11:186,11:254,11:271	61001:2505001:15,61001:2505001:20#61001:2505007:2,61001:2505002:15#61001:2505007:4,61001:2505002:20#61001:2505007:5,61001:2505003:15#61001:2505007:7,61001:2505003:20#61001:2505007:8
1009	1	2:57,2:66,2:94,2:104,2:141,2:151	61001:2505001:20,61001:2505001:25#61001:2505007:2,61001:2505002:20#61001:2505007:4,61001:2505002:25#61001:2505007:5,61001:2505003:20#61001:2505007:7,61001:2505003:25#61001:2505007:8
1010	1	9:141,9:165,9:235,9:259,9:353,9:377	61001:2505001:20,61001:2505001:25#61001:2505007:2,61001:2505002:20#61001:2505007:4,61001:2505002:25#61001:2505007:5,61001:2505003:20#61001:2505007:7,61001:2505003:25#61001:2505007:8
1011	1	6:106,6:124,6:177,6:194,6:265,6:283	61001:2505001:20,61001:2505001:25#61001:2505007:2,61001:2505002:20#61001:2505007:4,61001:2505002:25#61001:2505007:5,61001:2505003:20#61001:2505007:7,61001:2505003:25#61001:2505007:8
1012	1	11:141,11:165,11:235,11:259,11:353,11:377	61001:2505001:20,61001:2505001:25#61001:2505007:2,61001:2505002:20#61001:2505007:4,61001:2505002:25#61001:2505007:5,61001:2505003:20#61001:2505007:7,61001:2505003:25#61001:2505007:8
1013	1	2:71,2:82,2:118,2:130,2:177,2:188	61001:2505001:25,61001:2505001:30#61001:2505007:2,61001:2505002:25#61001:2505007:4,61001:2505002:30#61001:2505007:5,61001:2505003:25#61001:2505007:7,61001:2505003:30#61001:2505007:8
2001	2	3:23,3:26,3:38,3:41,3:57,3:60	61001:2505001:10,61001:2505001:15#61001:2505005:2,61001:2505002:10#61001:2505005:4,61001:2505002:15#61001:2505005:5,61001:2505003:10#61001:2505005:7,61001:2505003:15#61001:2505005:8
