id	Type	组名	成员数	组合ID	加成类型	加成数值	orderId
1	1	四皇	4	2,7,13,14	2	100	1
2	1	王下七武海	7	8,15,16,24,25,26,27	3	80	2
3	1	红发	4	7,17,47,102	2	30	3
4	1	革命军	5	5,16,38,66,222	3	20	4
5	1	海军三大将	3	9,10,11	2	60	5
6	1	A.S.L	3	19,41,222	3	50	6
7	1	D的意志	6	201,41,19,3,5,12	4	200	7
8	1	鱼人岛	8	203,206,207,24,108,42,209,124	1	200	8
9	1	黑胡子	8	12,30,79,80,81,49,52,82	4	150	9
10	1	超新星	11	36,37,20,31,28,29,32,41,21,53,33	2	50	10
11	1	白胡子	11	2,18,54,55,56,57,40,83,86,34,19	2	50	11
12	1	CP9	9	77,78,95,96,113,114,139,153,39	1	100	12
13	1	巴洛克	13	115,158,159,161,162,163,181,183,184,26,105,106,182	2	30	13
14	1	空岛神官	4	128,129,130,131	3	20	14
15	1	深海监狱	8	133,134,135,136,137,22,30,107	4	50	15
16	1	foxy海贼团员	6	146,147,148,149,150,144	1	50	16
17	1	2年后草帽海贼团	9	210,211,212,213,214,215,216,217,218	2	200	17
18	1	蛇姬三姐妹	3	25,100,101	1	30	18
19	1	船匠师徒	3	186,62,174	4	30	19
20	1	草帽海贼团	9	59,60,61,62,63,64,65,41,53	3	80	20
21	2	海贼套装	4	59,60,56,32	4	50	21
22	2	快刀系列	7	1,3,9,10,11,12,21	2	50	22
23	2	顶级武器	7	1,2,3,4,5,92,93	2	100	23
24	2	顶级防具	8	38,39,40,41,42,94,95,98	3	80	24
25	2	顶级饰品	6	66,67,68,69,70,96	1	200	25
26	2	高级武器	12	6,7,8,9,10,11,12,13,14,15,16,17	2	50	26
27	2	高级防具	8	43,44,45,46,47,48,49,50	3	40	27
28	2	高级饰品	7	72,73,74,75,76,77,78	1	100	28
29	3	A级单体	10	2,4,5,6,7,10,13,15,20,22	9	200	29
30	3	B级单体	18	26,27,28,29,31,32,35,37,38,39,40,41,43,44,45,46,47,49	9	100	30
31	3	A级群体	8	1,3,11,12,14,16,17,21	6	200	31
32	3	B级群体	5	25,34,42,48,76	6	50	32
33	3	强化攻击	4	23,24,30,79	2	75	33
34	3	强化防御	4	18,19,33,78	3	60	34
35	3	强化意志	3	8,9,36	4	150	35
36	4	伙伴的力量	9	31,72,34,35,105,106,107,108,109	6	150	36
37	4	绝对正义	9	2,6,5,4,97,16,38,44,56	7	120	37
38	4	四皇之治	4	1,8,9,74	10	120	38
39	4	七武海之凭	7	10,101,11,18,19,20,99	8	120	39
40	4	新星之核	11	14,21,22,23,31,106,24,15,28,103,27	9	100	40
41	4	大海的儿子	6	12,13,104,25,43,101	7	80	41
42	4	革命风暴	4	3,11,29,36	6	80	42
43	4	剑心	5	99,98,106,102,104	9	80	43
44	4	海洋秘宝	4	110,111,101,112	8	80	44
45	4	CP9的秘密	6	40,41,48,49,59,30	9	50	45
46	4	巴洛克的野心	8	19,66,68,53,54,67,65,55	8	50	46
47	5	狠角色	4	1,2,6,11	2	100	47
48	5	萌萌哒	3	5,9,16	1	150	48
49	5	忠诚的伙伴	4	3,4,13,17	3	100	49
50	5	强大坐骑	3	10,19,14	4	120	50
51	5	皮糙肉厚	3	8,15,18	7	120	51
52	5	旅途的陪伴	3	7,12,21	8	80	52
53	5	C级宠物	5	20,21,22,23,24	9	50	53
