ID	名称	品阶	技能说明	属性A类型	属性A加成类型	属性A初始加成额度	属性A成长幅度	属性B类型	属性B加成类型	属性B初始加成额度	属性B成长幅度	Icom图片路径	海报图片路径	名字图片路径	orderId
100001	高级撕咬碎片	1	可以用来合成宠物技能-高级撕咬	2	1	120	120	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_siyao.png	Pet/skillposter/poster_skillinfo_pet_siyao.png	none	1
100002	高级爪击碎片	1	可以用来合成宠物技能-高级爪击	2	1	110	110	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_zhuaji.png	Pet/skillposter/poster_skillinfo_pet_zhuaji.png	none	2
100003	高级斩击碎片	1	可以用来合成宠物技能-高级斩击	2	1	100	100	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_zhanji.png	Pet/skillposter/poster_skillinfo_pet_zhanji.png	none	3
100004	高级护盾碎片	1	可以用来合成宠物技能-高级护盾	3	1	120	120	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_hudun.png	Pet/skillposter/poster_skillinfo_pet_hudun.png	none	4
100005	高级霸体碎片	1	可以用来合成宠物技能-高级霸体	3	1	110	110	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_bati.png	Pet/skillposter/poster_skillinfo_pet_bati.png	none	5
100006	高级净化碎片	1	可以用来合成宠物技能-高级净化	3	1	100	100	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_jinghua.png	Pet/skillposter/poster_skillinfo_pet_jinghua.png	none	6
100007	高级嗜血碎片	1	可以用来合成宠物技能-高级嗜血	1	1	66	66	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_shixue.png	Pet/skillposter/poster_skillinfo_pet_shixue.png	none	7
100008	高级血源碎片	1	可以用来合成宠物技能-高级血源	1	1	66	66	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_xueyuan.png	Pet/skillposter/poster_skillinfo_pet_xueyuan.png	none	8
100009	高级化魔碎片	1	可以用来合成宠物技能-高级化魔	4	1	40	40	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_huamo.png	Pet/skillposter/poster_skillinfo_pet_huamo.png	none	9
100010	高级毁灭碎片	1	可以用来合成宠物技能-高级毁灭	4	1	40	40	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_huimie.png	Pet/skillposter/poster_skillinfo_pet_huimie.png	none	10
