id	名称	描述	评星	页面分级	所属页面id	跳转页面	跳转的冒险子页面id	跳转类型	跳转条件
1	如何变强	none	none	1	none	none	0	0	0
2	如何快速升级	none	none	1	none	none	0	0	0
3	如何获得船员	none	none	1	none	none	0	0	0
4	如何获得装备	none	none	1	none	none	0	0	0
5	如何获得贝里	none	none	1	none	none	0	0	0
6	如何获得奥义	none	none	1	none	none	0	0	0
7	如何获得培养药剂	none	none	1	none	none	0	0	0
8	获取高品质船员	船员实力从高到低分为A、B、C、D四个品质，在商店中招募高品质船员，并搭配好的缘分，是提升战斗力的核心方式。	5	2	1	MarketPage	0	0	0
9	船员培养	有好的船员后，还需要进行培养，将玩家的潜力点转化为属性，并且调整4种属性的数值配比，才能更好的发挥船员实力。	5	2	1	DisciplePage	0	0	0
10	获取高品质装备	装备按强弱从高到低分为A、B、C、D四个品质，开宝箱是获取装备的最佳途径，宝箱可在商店购买，在航海中也会掉落。	5	2	1	BuyPropsPage	1	0	0
11	装备强化	对装备进行强化，可提升装备的能力。强化等级会受到船长等级限制。	4	2	1	EquipPage	0	0	0
12	镶嵌宝石	20级后，可给装备镶嵌宝石，每种宝石升级后加成数值均会翻倍，能极大提升各种能力。按照指定组合要求镶嵌宝石，还能获得额外属性加成。	5	2	1	EquipPage	0	0	0
13	提升气势	获取各种称号，可提升气势，气势高的玩家在战斗中会优先出手，从而占据优势。	3	2	1	TeamPage	-1	0	0
14	调整站位	在布阵界面，调整上阵船员站位，将弱小船员与对手强力船员对阵，以田忌赛马的策略达到以弱胜强的效果。	3	2	1	EmbattlePage	0	1	0
15	3星远航过关	在远航中每次战斗都会获得经验，而第一次3星通过某个远航关卡，能获得3倍的威望（船长经验）和贝里奖励。	5	2	2	CareerPage	0	0	0
16	决斗	决斗胜利后，可以获得一定的威望。	4	2	2	ArenaPage	0	0	canArena
17	抢夺奥义碎片	抢夺奥义碎片胜利后，也可以获得威望。	4	2	2	AdventurePage	8	0	adventureOpen
18	商店招募	在商店中可招募船员，第一次使用钻石进行亿万悬赏招募必得A船员。	5	2	3	MarketPage	0	0	0
19	影子招募	凑齐一定数量的船员“影子”，就可以招募对应船员。	5	2	3	DisciplePage	2	0	0
20	远航掉落	在远航过程中，有概率获得一些船员“影子”，凑齐一定数量可以招募对应船员。	4	2	3	CareerPage	0	0	0
21	游戏活动	留意不定期上线的活动，参与这些活动可以获得一些指定的船员。	4	2	3	none	0	0	0
22	开宝箱	开启宝箱，是获得装备的最佳途径，而金银宝箱更是获得A、B级装备的主要途径。宝箱可在商店购买，远航和勇往直前中也会掉落。	5	2	4	PackagePage	0	0	0
23	远航掉落	在远航过程中，有概率获得装备。在精英和Boss关卡中，有概率掉落指定的装备，可展开关卡信息条查看。	4	2	4	CareerPage	0	0	0
24	游戏活动	留意不定期上线的活动，参与这些活动可以获得一些指定的装备。	4	2	4	none	0	0	0
25	首充奖励	第一次充值会获得首充奖励，其中包含了100w贝里的奖励。	5	2	5	RechargePage	0	1	0
26	勇往直前	12级可在冒险页面进入“勇往直前”玩法，根据过关获得的星数，获得海量贝里奖励，是日常获得贝里的最佳途径。	5	2	5	AdventurePage	5	0	adventureOpen
27	开宝箱	开启金银铜木宝箱，都有概率获得一定数量的贝里。	4	2	5	PackagePage	0	0	0
28	远航掉落	远航中每个关卡都会固定掉落少量贝里，获胜即可获得，可打开关卡详细信息条查看。	3	2	5	CareerPage	0	0	0
29	开宝箱	开启金银铜木宝箱，都有概率获得奥义。金银宝箱是获得A、B级奥义的重要途径。	5	2	6	PackagePage	0	0	0
30	奥义碎片拼合	航海或其他途径中，可能获得奥义碎片，获得后可以在冒险页面中点击该碎片，抢夺其他玩家的碎片，凑齐后可拼合出完整奥义。	5	2	6	AdventurePage	8	0	adventureOpen
31	亲吻女帝	连续亲吻女帝不要中断，达到指定天数后，有较大概率获得A级奥义。	4	2	6	AdventurePage	7	0	adventureOpen
32	决斗排名奖励	在决斗中根据自己所处的排名，每隔一段时间都会获取一定数量的培养药剂，是日常获得药剂的重要途径。	5	2	7	ArenaPage	2	0	canArena
33	VIP礼包奖励	VIP7级以上的礼包中，都含有大量培养药剂。	5	2	7	BuyPropsPage	2	0	0
34	盟战胜利奖励	17级后加入联盟，参与每天的盟战，胜利方将获得大量培养药剂。	5	2	7	LianMengTotem	0	0	hasLeagua
35	日常任务奖励	完成每天的日常任务，可以获得一定数量的培养药剂。	5	2	7	TaskSystemPage	1	1	0
