品质id	重生次数	限定条件-等级	限定条件-突破等级	重生药剂消耗阶梯基数	等级消耗阶梯基数	属性消耗阶梯基数	潜能返还阶梯基数
10001	1	150	0	30	20	500	2000
10002	2	150	0	40	20	500	2000
10003	3	150	0	50	20	500	2000
10004	4	150	0	60	20	500	2000
10005	5	150	0	70	20	500	2000
10006	6	150	0	80	20	500	2000
20001	1	150	0	30	20	500	2000
20002	2	150	0	40	20	500	2000
20003	3	150	0	40	20	500	2000
20004	4	150	0	50	20	500	2000
20005	5	150	0	60	20	500	2000
20006	6	150	0	70	20	500	2000
50001	1	150	0	30	20	500	2000
50002	2	150	0	40	20	500	2000
50003	3	150	0	50	20	500	2000
50004	4	150	0	60	20	500	2000
50005	5	150	0	70	20	500	2000
50006	6	150	0	80	20	500	2000
50001	7	150	0	90	20	500	2000
50002	8	150	0	100	20	500	2000
50003	9	150	0	110	20	500	2000
50004	10	150	0	120	20	500	2000
50005	11	150	0	130	20	500	2000
50006	12	150	0	140	20	500	2000
50004	13	150	0	150	20	500	2000
50005	14	150	0	160	20	500	2000
50006	15	150	0	170	20	500	2000
