ID	宠物名称	宠物品质	人物说明	人物机缘1	人物机缘2	人物机缘3	人物机缘4	人物机缘5	初始经验值	Icom图片路径	海报图片路径	背景图片路径	阵容ccbi	战斗图片	音效	orderId	提供突破值	突破系数	灵魂技能	骨骼动画
1	迷你奥兹	1	Q版迷你奥兹，虽然体形变小了，但战斗力仍非常可怕。	1	2	3	4	5	200	Pet/members/head_pet_aozi.png	Pet/person/poster_pet_char_aozi.png	null	ccbi/Pet_B_Aozi.ccbi	Pet/person/poster_pet_char_aozi.png	Pet/backgroundmusic/1miniaozi.mp3	1	1240	1.168	4	Pet_sp_aoci
2	卡西神	1	空岛中巨大的蟒蛇，曾因吞噬路飞而惹怒了艾尼路，被艾尼路用“神之裁决”打晕。	6	7	8	9	10	200	Pet/members/head_pet_kaxishen.png	Pet/person/poster_pet_char_kaxishen.png	null	ccbi/Pet_B_Kaxishen.ccbi	Pet/person/poster_pet_char_kaxishen.png	Pet/backgroundmusic/2kaxishen.mp3	2	1240	1.168	5	Pet_sp_Kaxishen
3	拉布	1	一只拥有人类感情的鲸鱼，在灯塔驻守着，等待伦巴海贼团与草帽海贼团的归来。	11	12	13	14	15	200	Pet/members/head_pet_labu.png	Pet/person/poster_pet_char_labu.png	null	ccbi/Pet_B_Labu.ccbi	Pet/person/poster_pet_char_labu.png	Pet/backgroundmusic/3labu.mp3	3	1240	1.168	3	Pet_sp_Labu
4	哞哞	1	被恶龙海贼团从伟大航路带回来的海王类宠物。原阿龙海贼团成员、后卡里布海贼团拉船工。	16	17	18	19	20	200	Pet/members/head_pet_hainiu.png	Pet/person/poster_pet_char_hainiu.png	null	ccbi/Pet_B_Hainiu.ccbi	Pet/person/poster_pet_char_hainiu.png	Pet/backgroundmusic/4moumou.mp3	4	1240	1.168	1	Pet_sp_Hainiu
5	战国山羊	1	战国的迷之宠物，一直在不停的吃纸。	21	22	23	24	25	200	Pet/members/head_pet_zhanguoshanyang.png	Pet/person/poster_pet_char_zhanguoshanyang.png	null	ccbi/Pet_B_Shanyang.ccbi	Pet/person/poster_pet_char_zhanguoshanyang.png	Pet/backgroundmusic/5zhanguoshanyang.mp3	5	1240	1.168	2	Pet_sp_Shanyang
6	霍利	1	神官欧姆的宠物，身形巨大，擅长功夫。	26	27	28	29	30	200	Pet/members/head_pet_huoli.png	Pet/person/poster_pet_char_huoli.png	null	ccbi/Pet_B_Huoli.ccbi	Pet/person/poster_pet_char_huoli.png	Pet/backgroundmusic/6huoli.mp3	6	1240	1	7	Pet_sp_Huoli
7	狰狞企鹅	1	喜欢成群生活，旗帜猎人阿奇诺家族困住海贼船猎取海贼旗帜的帮凶。	31	32	33	34	35	200	Pet/members/head_pet_zhengningqie.png	Pet/person/poster_pet_char_zhengningqie.png	null	ccbi/Pet_B_Qie.ccbi	Pet/person/poster_pet_char_zhengningqie.png	Pet/backgroundmusic/7zhengningqie.mp3	7	1240	1	10	Pet_sp_Qie
8	拉邦	1	凶恶的肉食性兔子，因为受到路飞的帮助，曾帮助路飞抵挡磁鼓国王的攻击。	36	37	38	39	40	200	Pet/members/head_pet_labang.png	Pet/person/poster_pet_char_labang.png	null	ccbi/Pet_B_Labang.ccbi	Pet/person/poster_pet_char_labang.png	Pet/backgroundmusic/8labang.mp3	8	1240	1	8	Pet_sp_Labang
9	卡鲁鸭	1	可以超于常人快速奔跑，和比比公主从小一起成长，在战斗中多次帮助和保护比比。	41	42	43	44	45	200	Pet/members/head_pet_kaluya.png	Pet/person/poster_pet_char_kaluya.png	null	ccbi/Pet_B_Yazi.ccbi	Pet/person/poster_pet_char_kaluya.png	Pet/backgroundmusic/9kaluya.mp3	9	1240	1	6	Pet_sp_Yazi
10	沙露美	1	女帝汉库克的专属宠物，一条水性极佳的无毒蟒蛇。追踪能力极强，常被当作女帝的椅子使用。	46	47	48	49	50	200	Pet/members/head_pet_shalumei.png	Pet/person/poster_pet_char_shalumei.png	null	ccbi/Pet_B_Shalumei.ccbi	Pet/person/poster_pet_char_shalumei.png	Pet/backgroundmusic/10shalumei.mp3	10	1240	1	9	Pet_sp_Shalumei
11	庞克小龙	2	栖息在庞克哈萨特的巨大红龙。莫奈称它为"大笨龙"，被索隆一刀断头，成为了四人的大餐。	51	52	53	54	0	154	Pet/members/head_pet_pangbeixiaolong.png	Pet/person/poster_pet_char_pangbeixiaolong.png	null	ccbi/Pet_B_Pangkexiaolong	Pet/person/poster_pet_char_pangbeixiaolong.png	Pet/backgroundmusic/11pangkexiaolong.mp3	11	180	1	0	Pet_sp_Pangkexiaolong
12	芭秋拉	2	九蛇族皇帝饲养的凶猛黑豹，专门用来处刑。	55	56	57	58	0	154	Pet/members/head_pet_baqiula.png	Pet/person/poster_pet_char_baqiula.png	null	ccbi/Pet_B_Baqiula.ccbi	Pet/person/poster_pet_char_baqiula.png	Pet/backgroundmusic/12baqiula.mp3	12	180	1	0	Pet_sp_Baqiula
13	哈德利	2	CP9队长罗布。路奇的宠物，偶尔会展露出天然呆的属性。	59	60	61	62	0	154	Pet/members/head_pet_hadeli.png	Pet/person/poster_pet_char_hadeli.png	null	ccbi/Pet_B_Hadeli.ccbi	Pet/person/poster_pet_char_hadeli.png	Pet/backgroundmusic/13hadeli.mp3	13	180	1	0	Pet_sp_Hadeli
14	利基	2	巴基海贼团驯兽师摩奇的爱狮，在失去船长后，成为巴基海贼团的新船长。心底善良且贪吃。	63	64	65	66	0	154	Pet/members/head_pet_liji.png	Pet/person/poster_pet_char_liji.png	null	ccbi/Pet_B_Liji.ccbi	Pet/person/poster_pet_char_liji.png	Pet/backgroundmusic/14liji.mp3	14	180	1	0	Pet_sp_Liji
15	海猫	2	阿拉巴斯坦人认为海猫是神圣的生物，也是进入阿拉巴斯坦气候的一种征兆。	67	68	69	70	0	154	Pet/members/head_pet_haimao.png	Pet/person/poster_pet_char_haimao.png	null	ccbi/Pet_B_Haimao.ccbi	Pet/person/poster_pet_char_haimao.png	Pet/backgroundmusic/15haimao.mp3	15	180	1	0	Pet_sp_haimao
16	库玛西	2	一只可爱的布偶小熊。主人是莫利亚的干部之一佩罗娜——“不准说话！你又出声了”	71	72	73	74	0	154	Pet/members/head_pet_kumaxi.png	Pet/person/poster_pet_char_kumaxi.png	null	ccbi/Pet_B_Kumaxi.ccbi	Pet/person/poster_pet_char_kumaxi.png	Pet/backgroundmusic/16kumaxi.mp3	16	180	1	0	Pet_sp_Kumaxi
17	帕帕谷	2	鱼人岛流行服装品牌公司“犯人牌”的设计师兼社长。凯米的师父兼宠物。一只会说人话的海星。	75	76	77	78	0	154	Pet/members/head_pet_papagu.png	Pet/person/poster_pet_char_papagu.png	null	ccbi/Pet_B_Papagu.ccbi	Pet/person/poster_pet_char_papagu.png	Pet/backgroundmusic/17papagu.mp3	17	180	1	0	Pet_sp_papagu
18	横岗	2	汤姆工作室的宠物。每天在海上挑战海上列车冒烟汤姆，身上布满伤痕。	79	80	81	82	0	154	Pet/members/head_pet_henggang.png	Pet/person/poster_pet_char_henggang.png	null	ccbi/Pet_B_Henggang.ccbi	Pet/person/poster_pet_char_henggang.png	Pet/backgroundmusic/18henggang.mp3	18	180	1	0	Pet_sp_Henggang
19	罗布森	2	鼓磁国王瓦尔波的坐骑，拥有与其主人一样的大嘴巴和小眼睛。	83	84	85	86	0	154	Pet/members/head_pet_luobusen.png	Pet/person/poster_pet_char_luobusen.png	null	ccbi/Pet_B_Luobusen.ccbi	Pet/person/poster_pet_char_luobusen.png	Pet/backgroundmusic/19luobusen.mp3	19	180	1	0	Pet_sp_luobuseng
20	北海小妖	3	活跃在北海的海王类幼年体，外形酷似章鱼。	87	88	89	0	0	116	Pet/members/head_pet_kulaken.png	Pet/person/poster_pet_char_kulaken.png	null	ccbi/Pet_B_kulaken.ccbi	Pet/person/poster_pet_char_kulaken.png	Pet/backgroundmusic/20beihaixiaoyao.mp3	20	90	1	0	Pet_sp_Kulaken
21	狐狸咻	3	云狐，空岛特有的小动物。是柯妮丝的宠物。除了“丝-”的叫声以外也会说招呼语“肚脐”。	90	91	92	0	0	116	Pet/members/head_pet_hulixiu.png	Pet/person/poster_pet_char_hulixiu.png	null	ccbi/Pet_B_Yunhu.ccbi	Pet/person/poster_pet_char_hulixiu.png	Pet/backgroundmusic/21hulixiu.mp3	21	90	1	0	Pet_sp_Yunhu
