ID	名称	触发类别	属性提升额度	机缘描述
1	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
2	天赋共鸣	5	30	装备高级撕咬技能,攻击提升30%。
3	主人身份	1	21	与莫利亚齐上阵,防御提升21%。
4	影子僵尸	1	26	与路飞齐上阵,血量提升26%。
5	天然呆萌	4	24	与宠物哞哞齐上阵,攻击提升24%。
6	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
7	天赋共鸣	5	28	装备高级爪击技能,攻击提升28%。
8	一击获胜	1	21	与艾尼路齐上阵,防御提升21%。
9	神之传说	1	27	与雷利齐上阵,血量提升27%。
10	同根同源	4	21	与宠物沙露美齐上阵,攻击提升21%。
11	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
12	天赋共鸣	5	21	装备高级净化技能,防御提升21%。
13	永恒等待	1	30	与布鲁克齐上阵,攻击提升30%。
14	善恶之分	4	25	与宠物狰狞企鹅齐上阵,血量提升25%。
15	友谊深厚	1	25	与路飞齐上阵,防御提升25%。
16	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
17	天赋共鸣	5	22	装备高级护盾技能,防御提升22%。
18	海贼船工	1	28	与卡里布齐上阵,攻击提升28%。
19	天然呆萌	4	25	与宠物迷你奥兹齐上阵,血量提升25%。
20	手下败将	1	23	与香吉士齐上阵,防御提升23%。
21	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
22	天赋共鸣	5	23	装备高级霸体技能,防御提升23%。
23	主人身份	1	28	与战国齐上阵,攻击提升28%。
24	毫无战力	4	26	与宠物卡鲁鸭齐上阵,血量提升26%。
25	都有犄角	1	22	与乔巴齐上阵,防御提升22%。
26	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
27	天赋共鸣	5	26	装备高级斩击技能,攻击提升26%。
28	主人身份	1	24	与欧姆齐上阵,防御提升24%。
29	身手不凡	4	26	与宠物迷你奥兹齐上阵,血量提升26%。
30	功夫高强	1	22	与鹰眼齐上阵,攻击提升22%。
31	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
32	天赋共鸣	5	25	装备高级狂暴技能,攻击提升25%。
33	夺取旗帜	1	24	与帕泽鲁齐上阵,防御提升24%。
34	善恶之分	4	26	与宠物拉布齐上阵,血量提升26%。
35	海底袭击	1	22	与草帽海贼团任意成员齐上阵,攻击提升22%。
36	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
37	天赋共鸣	5	26	装备高级嗜血技能,攻击提升26%。
38	受人恩惠	1	24	与路飞齐上阵,防御提升24%。
39	磁鼓王国	1	26	与乔巴齐上阵,血量提升26%。
40	同根同源	4	21	与宠物兔子昆贝齐上阵,攻击提升21%。
41	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
42	天赋共鸣	5	23	装备高级化魔技能,防御提升23%。
43	推翻统治	1	27	与克洛克达尔齐上阵,攻击提升27%。
44	获得称赞	1	27	与香吉士齐上阵,血量提升27%。
45	奇特生物	4	22	与宠物哞哞齐上阵,防御提升22%。
46	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
47	天赋共鸣	5	24	装备高级血源技能,防御提升24%。
48	主人身份	1	26	与汉库克齐上阵,攻击提升26%。
49	个性帽子	1	26	与卡普齐上阵,血量提升26%。
50	同根同源	4	22	与宠物卡西神齐上阵,防御提升22%。
51	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
