id	名称	关注微信开关	服务器开服提示各平台差异	首冲翻倍额度	bbs开启状态	反馈信息跳转页面规则	运维公告页面开启状态	About页面	被排除的关于id	被排除的公告id	是否启用有爱大版本更新
111	Android_Youai	0	none	100000	1	none	1	AboutPage	0	0	1
0	Android_Default	1	none	100000	1	none	1	AboutPage	0	0	1
1	Android_91	1	none	100000	1	none	1	AboutPage	0	0	1
2	Android_UC	1	none	100000	1	none	1	AboutPage	0	0	1
3	Android_360	1	none	100000	1	none	1	AboutPage	0	0	1
4	Android_DangLe	1	none	100000	1	none	1	AboutPage	0	0	1
5	Android_XiaoMi	1	none	100000	1	none	1	AboutPage	0	0	1
6	Android_WanDouJia	1	none	100000	1	none	1	AboutPage	0	0	1
7	Android_BaiduDuoKu	0	咨询百度多酷客服	100000	1	none	1	AboutPage	2	4	1
8	Android_BaiduAppCenter	1	咨询百度多酷客服	100000	1	none	1	AboutPage	0	0	1
9	Android_AndroidMarket91	1	none	100000	1	none	1	AboutPage	0	0	1
10	Android_KuWo	1	none	100000	1	none	1	AboutPage	0	0	1
11	Android_FeiLiu	1	none	100000	1	none	1	AboutPage	0	0	1
12	Android_JiFeng	1	none	100000	1	none	1	AboutPage	0	0	1
13	Android_AnZhi	1	none	100000	1	none	1	AboutPage	0	0	1
14	Android_RenRen	1	none	100000	1	none	1	AboutPage	0	0	1
15	Android_Sina	1	none	100000	1	none	1	AboutPage	0	0	1
16	Android_Game4399	1	none	100000	1	none	1	AboutPage	0	0	1
17	Android_YingYongHui	1	none	100000	1	none	1	AboutPage	0	0	1
23	Android_JinShan	1	none	100000	1	none	1	AboutPage	0	0	1
25	Android_LvDouGame	1	none	100000	1	none	1	AboutPage	0	0	1
26	Android_Oppo	1	none	100000	1	none	1	AboutPage	0	0	1
27	Android_ChuKong	1	none	100000	1	none	1	AboutPage	0	0	1
28	Android_XunLei	1	none	100000	1	none	1	AboutPage	0	0	1
29	Android_GTV	1	none	100000	1	none	1	AboutPage	0	0	1
30	Android_KuGou	1	none	100000	1	none	1	AboutPage	0	0	1
31	Android_HuaWei	1	none	100000	1	none	1	AboutPage	0	0	1
32	Android_SouGou	1	none	100000	1	none	1	AboutPage	0	0	1
35	Android_YouaiYdmm	0	none	100000	1	none	1	AboutPage	2	4	1
36	Android_PiPaw	0	none	100000	1	none	1	AboutPage	0	0	1
37	Android_YouaiLenov	1	none	100000	1	none	1	AboutPage	0	0	1
38	Android_YouaiNduoa	1	none	100000	1	none	1	AboutPage	0	0	1
39	Android_Sjyx	1	none	100000	1	none	1	AboutPage	0	0	1
40	Android_OuPeng	1	none	100000	1	none	1	AboutPage	0	0	1
41	Android_YouaiMeizu	1	none	100000	1	none	1	AboutPage	0	0	1
42	Android_37ww	1	none	100000	1	none	1	AboutPage	0	0	1
47	Android_37wan	1	none	100000	1	none	1	AboutPage	0	0	1
48	Android_Zhuoran	1	none	100000	1	none	1	AboutPage	0	0	1
49	Android_Jinli	1	none	100000	1	none	1	AboutPage	0	0	1
50	Android_2324	1	none	100000	1	none	1	AboutPage	0	0	1
