id	type	目标	描述	品质	活跃值	完成次数	completeRewards	跳转页面	跳转的冒险子页面id	跳转类型	跳转条件	引导脚本
1	2	上阵3名船员	点击阵容按钮，滑动至空位上阵新船员	0	0	3	11001:1002:6000	TeamPage	3	0	hasTeamPosition	none
2	2	穿上或更换一个武器	在阵容界面，点击卡牌右侧的武器格子，穿上或更换武器	0	0	1	11001:1002:10000	TeamPage	0	0	none	Guide_EquipWeapon
3	2	穿上或更换一个防具	在阵容界面，点击卡牌右侧的防具格子，穿上或更换防具	0	0	1	11001:1002:10000	TeamPage	0	0	none	Guide_EquipArmor
4	2	通过杂耍参谋关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3001002:3	CareerPage	0	0	none	none
5	2	通过海贼提督关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3002002:3	CareerPage	0	0	none	none
6	2	通过锯齿鲨鱼关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3001002:5	CareerPage	0	0	none	none
7	2	通过颠倒山关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3002002:5	CareerPage	0	0	none	none
8	2	通过一万公斤关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	11001:1002:200000	CareerPage	0	0	none	none
9	2	通过蜡烛盛宴关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:1503001:2	CareerPage	0	0	none	none
10	2	通过磁鼓国王关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3001003:5	CareerPage	0	0	none	none
11	2	通过超越关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3002003:5	CareerPage	0	0	none	none
12	2	通过遗迹对决关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	11001:1002:200000	CareerPage	0	0	none	none
13	2	通过船长对决关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5001021:2	CareerPage	0	0	none	none
14	2	通过劫持关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5002001:15	CareerPage	0	0	none	none
15	2	通过空气门关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:1503002:1	CareerPage	0	0	none	none
16	2	通过向世界宣战关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:1501001:3	CareerPage	0	0	none	none
17	2	通过决战之桥关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:1501002:2	CareerPage	0	0	none	none
18	2	通过影子集合地关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5001032:2	CareerPage	0	0	none	none
19	2	通过闪光人关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5002001:30	CareerPage	0	0	none	none
20	2	通过致命之疾关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5001033:2	CareerPage	0	0	none	none
