关卡ID	试炼场ID	章ID	章节名称	关卡名称	BOSS类型	奖励类型	体力消耗数量	每日限制攻打成功次数	胜利后奖励经验	胜利后奖励银两	胜利后掉落物品	头像路径	战斗背景
10101	1	1	黑猫海贼团	黑猫海贼团-1	0	1	1	2	28	324	0	members/head_char_zhuangyuanshouwei.png	battle\battleBG_beach.png
10102	1	1	黑猫海贼团	黑猫海贼团-2	0	1	1	2	48	543	0	members/head_char_xiaohai1.png	battle\battleBG_beach.png
10103	1	1	黑猫海贼团	黑猫海贼团-3	0	1	1	2	58	677	0	members/head_char_zangao.png	battle\battleBG_beach.png
10104	1	1	黑猫海贼团	黑猫海贼团-4	2	1	2	10	79	800	32002_64_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_1_0,61001_3002004_1_0,11001_1001_15_0|32002_64_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_1_0,61001_3002004_1_0,11001_1001_15_0|32002_64_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_1_0,61001_3002004_1_0,11001_1001_15_0|32002_64_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_1_0,61001_3002004_1_0,11001_1001_15_0	members/head_char_keluo.png	battle\battleBG_beach.png
10201	1	2	磁鼓王国	磁鼓王国-1	0	1	1	2	50	476	0	members/head_char_jumin1.png	battle\battleBG_beach.png
10202	1	2	磁鼓王国	磁鼓王国-2	0	1	1	2	77	802	0	members/head_char_tuzi.png	battle\battleBG_beach.png
10203	1	2	磁鼓王国	磁鼓王国-3	0	1	1	2	89	975	0	members/head_char_qiaoba.png	battle\battleBG_beach.png
10204	1	2	磁鼓王国	磁鼓王国-4	2	1	2	10	105	1146	32002_63_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_2_0,61001_3002004_1_0,11001_1001_15_0,61001_5003002_1_0|32002_63_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_2_0,61001_3002004_1_0,11001_1001_15_0,61001_5003002_1_0|32002_63_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_2_0,61001_3002004_1_0,11001_1001_15_0,61001_5003002_1_0|32002_63_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_2_0,61001_3002004_1_0,11001_1001_15_0,61001_5003002_1_0	members/head_char_jiesi.png	battle\battleBG_beach.png
10301	1	3	恶龙海贼团	恶龙海贼团-1	0	1	1	2	96	1044	0	members/head_char_yuren1.png	battle\battleBG_beach.png
10302	1	3	恶龙海贼团	恶龙海贼团-2	0	1	1	2	155	1755	0	members/head_char_xiaoba.png	battle\battleBG_beach.png
