NPC组ID	气势	人物1ID	人物1等级	人物2ID	人物2等级	人物3ID	人物3等级	人物4ID	人物4等级	人物5ID	人物5等级	人物6ID	人物6等级	人物7ID	人物7等级	人物8ID	人物8等级
101	0	1011	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	0	1021	17	1022	11	0	0	0	0	0	0	0	0	0	0	0	0
103	0	1031	17	1032	11	0	0	0	0	0	0	0	0	0	0	0	0
104	0	1041	18	1042	11	0	0	0	0	0	0	0	0	0	0	0	0
105	0	1051	18	1052	11	0	0	0	0	0	0	0	0	0	0	0	0
106	0	1061	20	1062	13	0	0	0	0	0	0	0	0	0	0	0	0
201	0	2011	18	2012	12	2013	9	0	0	0	0	0	0	0	0	0	0
202	0	2021	19	2022	13	2023	9	0	0	0	0	0	0	0	0	0	0
203	0	2031	21	2032	14	2033	10	0	0	0	0	0	0	0	0	0	0
204	0	2041	21	2042	14	2043	10	0	0	0	0	0	0	0	0	0	0
205	0	2051	22	2052	15	2053	11	0	0	0	0	0	0	0	0	0	0
206	0	2061	23	2062	16	2063	11	0	0	0	0	0	0	0	0	0	0
207	0	2071	24	2072	16	2073	12	0	0	0	0	0	0	0	0	0	0
301	0	3011	28	3012	19	3013	14	0	0	0	0	0	0	0	0	0	0
302	0	3021	29	3022	20	3023	14	0	0	0	0	0	0	0	0	0	0
303	0	3031	30	3032	21	3033	15	0	0	0	0	0	0	0	0	0	0
304	0	3041	32	3042	22	3043	16	0	0	0	0	0	0	0	0	0	0
305	0	3051	33	3052	23	3053	16	0	0	0	0	0	0	0	0	0	0
306	0	3061	34	3062	23	3063	17	0	0	0	0	0	0	0	0	0	0
307	0	3071	35	3072	24	3073	17	0	0	0	0	0	0	0	0	0	0
308	0	3081	39	3082	27	3083	19	0	0	0	0	0	0	0	0	0	0
309	0	3091	41	3092	28	3093	20	0	0	0	0	0	0	0	0	0	0
401	0	4011	37	4012	25	4013	18	0	0	0	0	0	0	0	0	0	0
402	0	4021	38	4022	26	4023	19	0	0	0	0	0	0	0	0	0	0
403	0	4031	39	4032	27	4033	19	0	0	0	0	0	0	0	0	0	0
404	0	4041	44	4042	30	4043	22	0	0	0	0	0	0	0	0	0	0
405	0	4051	43	4052	30	4053	21	0	0	0	0	0	0	0	0	0	0
406	0	4061	44	4062	30	4063	22	0	0	0	0	0	0	0	0	0	0
407	0	4071	45	4072	31	4073	22	0	0	0	0	0	0	0	0	0	0
408	0	4081	46	4082	32	4083	23	0	0	0	0	0	0	0	0	0	0
409	0	4091	47	4092	32	4093	23	0	0	0	0	0	0	0	0	0	0
410	0	4101	49	4102	34	4103	26	0	0	0	0	0	0	0	0	0	0
501	0	5011	46	5012	34	5013	29	5014	25	0	0	0	0	0	0	0	0
502	0	5021	47	5022	34	5023	30	5024	25	0	0	0	0	0	0	0	0
503	0	5031	48	5032	35	5033	31	5034	26	0	0	0	0	0	0	0	0
504	0	5041	49	5042	36	5043	31	5044	26	0	0	0	0	0	0	0	0
505	0	5051	50	5052	37	5053	32	5054	27	0	0	0	0	0	0	0	0
506	0	5061	51	5062	37	5063	33	5064	28	0	0	0	0	0	0	0	0
507	0	5071	52	5072	38	5073	33	5074	28	0	0	0	0	0	0	0	0
508	0	5081	54	5082	39	5083	35	5084	29	0	0	0	0	0	0	0	0
509	0	5091	56	5092	41	5093	36	5094	30	0	0	0	0	0	0	0	0
510	0	5101	60	5102	44	5103	39	5104	33	0	0	0	0	0	0	0	0
601	0	6011	61	6012	45	6013	39	6014	33	0	0	0	0	0	0	0	0
602	0	6021	62	6022	45	6023	40	6024	34	0	0	0	0	0	0	0	0
603	0	6031	63	6032	46	6033	40	6034	34	0	0	0	0	0	0	0	0
604	0	6041	64	6042	47	6043	41	6044	35	0	0	0	0	0	0	0	0
605	0	6051	66	6052	48	6053	42	6054	36	0	0	0	0	0	0	0	0
606	0	6061	67	6062	49	6063	43	6064	36	0	0	0	0	0	0	0	0
607	0	6071	68	6072	50	6073	44	6074	37	0	0	0	0	0	0	0	0
608	0	6081	69	6082	51	6083	44	6084	37	0	0	0	0	0	0	0	0
